Date,YYAI
2022-02-28,1192.0
2022-03-01,1128.0
2022-03-02,1128.0
2022-03-03,1112.0
2022-03-04,1112.0
2022-03-07,1096.0
2022-03-08,1056.0
2022-03-09,1040.0
2022-03-10,1040.0
2022-03-11,1100.0
2022-03-14,1080.0
2022-03-15,1040.0
2022-03-16,1120.0
2022-03-17,1120.0
2022-03-18,1120.0
2022-03-21,1080.0
2022-03-22,1152.0
2022-03-23,1080.0
2022-03-24,1120.0
2022-03-25,1120.0
2022-03-28,1120.0
2022-03-29,1112.0
2022-03-30,1112.0
2022-03-31,1088.0
2022-04-01,1112.0
2022-04-04,1072.0
2022-04-05,1016.0
2022-04-06,976.0
2022-04-07,1044.0
2022-04-08,1044.0
2022-04-11,984.0
2022-04-12,984.0
2022-04-13,1000.0
2022-04-14,1112.0
2022-04-18,1064.0
2022-04-19,1040.0
2022-04-20,1040.0
2022-04-21,1017.5999755859375
2022-04-22,1017.5999755859375
2022-04-25,1000.0
2022-04-26,1008.0
2022-04-27,1112.0
2022-04-28,1080.0
2022-04-29,1080.0
2022-05-02,1080.0
2022-05-03,1040.0
2022-05-04,1064.0
2022-05-05,1056.0
2022-05-06,1040.0
2022-05-09,808.0
2022-05-10,792.0
2022-05-11,792.0
2022-05-12,800.0
2022-05-13,749.5999755859375
2022-05-16,718.4000244140625
2022-05-17,816.0
2022-05-18,832.0
2022-05-19,832.0
2022-05-20,800.0
2022-05-23,760.0
2022-05-24,760.0
2022-05-25,800.0
2022-05-26,728.7999877929688
2022-05-27,800.0
2022-05-31,760.0
2022-06-01,799.2000122070312
2022-06-02,721.5999755859375
2022-06-03,725.5999755859375
2022-06-06,720.0
2022-06-07,752.0
2022-06-08,680.0
2022-06-09,648.7999877929688
2022-06-10,630.4000244140625
2022-06-13,600.0
2022-06-14,544.0
2022-06-15,1576.0
2022-06-16,1336.0
2022-06-17,1288.0
2022-06-21,1297.5999755859375
2022-06-22,1416.0
2022-06-23,1224.0
2022-06-24,1208.0
2022-06-27,1128.0
2022-06-28,1245.5999755859375
2022-06-29,1240.0
2022-06-30,1184.0
2022-07-01,1150.4000244140625
2022-07-05,1144.0
2022-07-06,992.0
2022-07-07,840.0
2022-07-08,912.0
2022-07-11,736.0
2022-07-12,704.0
2022-07-13,690.4000244140625
2022-07-14,688.0
2022-07-15,768.0
2022-07-18,712.0
2022-07-19,712.0
2022-07-20,731.2000122070312
2022-07-21,737.5999755859375
2022-07-22,740.0
2022-07-25,720.0
2022-07-26,704.0
2022-07-27,715.2000122070312
2022-07-28,688.0
2022-07-29,720.0
2022-08-01,720.7999877929688
2022-08-02,864.0
2022-08-03,1168.0
2022-08-04,864.0
2022-08-05,880.0
2022-08-08,800.0
2022-08-09,736.0
2022-08-10,732.0
2022-08-11,704.7999877929688
2022-08-12,744.7999877929688
2022-08-15,758.4000244140625
2022-08-16,784.0
2022-08-17,752.0
2022-08-18,772.0
2022-08-19,749.5999755859375
2022-08-22,752.7999877929688
2022-08-23,800.0
2022-08-24,798.4000244140625
2022-08-25,808.0
2022-08-26,771.2000122070312
2022-08-29,736.7999877929688
2022-08-30,680.0
2022-08-31,698.4000244140625
2022-09-01,719.2000122070312
2022-09-02,740.0
2022-09-06,764.0
2022-09-07,646.4000244140625
2022-09-08,664.0
2022-09-09,591.2000122070312
2022-09-12,584.0
2022-09-13,576.0
2022-09-14,559.2000122070312
2022-09-15,536.0
2022-09-16,496.0
2022-09-19,372.0
2022-09-20,383.20001220703125
2022-09-21,376.0
2022-09-22,388.79998779296875
2022-09-23,336.0
2022-09-26,332.0
2022-09-27,312.0
2022-09-28,344.0
2022-09-29,296.0
2022-09-30,272.0
2022-10-03,232.0
2022-10-04,376.0
2022-10-05,312.0
2022-10-06,290.3999938964844
2022-10-07,256.0
2022-10-10,231.1999969482422
2022-10-11,212.0
2022-10-12,192.0
2022-10-13,184.8000030517578
2022-10-14,216.0
2022-10-17,217.60000610351562
2022-10-18,216.8000030517578
2022-10-19,192.8000030517578
2022-10-20,201.60000610351562
2022-10-21,200.0
2022-10-24,200.0
2022-10-25,191.1999969482422
2022-10-26,199.1999969482422
2022-10-27,211.1999969482422
2022-10-28,206.39999389648438
2022-10-31,208.0
2022-11-01,212.0
2022-11-02,204.0
2022-11-03,200.0
2022-11-04,192.0
2022-11-07,192.0
2022-11-08,173.60000610351562
2022-11-09,152.0
2022-11-10,181.60000610351562
2022-11-11,168.8000030517578
2022-11-14,165.60000610351562
2022-11-15,168.0
2022-11-16,156.0
2022-11-17,156.8000030517578
2022-11-18,154.39999389648438
2022-11-21,155.1999969482422
2022-11-22,153.60000610351562
2022-11-23,154.39999389648438
2022-11-25,180.0
2022-11-28,200.0
2022-11-29,190.39999389648438
2022-11-30,184.0
2022-12-01,188.0
2022-12-02,172.8000030517578
2022-12-05,177.60000610351562
2022-12-06,160.8000030517578
2022-12-07,157.60000610351562
2022-12-08,144.8000030517578
2022-12-09,129.60000610351562
2022-12-12,204.0
2022-12-13,159.1999969482422
2022-12-14,190.39999389648438
2022-12-15,159.1999969482422
2022-12-16,174.39999389648438
2022-12-19,150.39999389648438
2022-12-20,148.0
