Date,HYLN
2022-02-28,4.320000171661377
2022-03-01,4.179999828338623
2022-03-02,4.320000171661377
2022-03-03,3.9700000286102295
2022-03-04,3.7699999809265137
2022-03-07,3.740000009536743
2022-03-08,3.990000009536743
2022-03-09,4.210000038146973
2022-03-10,4.139999866485596
2022-03-11,3.9000000953674316
2022-03-14,3.5399999618530273
2022-03-15,3.640000104904175
2022-03-16,3.930000066757202
2022-03-17,4.21999979019165
2022-03-18,4.409999847412109
2022-03-21,4.329999923706055
2022-03-22,4.489999771118164
2022-03-23,4.380000114440918
2022-03-24,4.539999961853027
2022-03-25,4.369999885559082
2022-03-28,4.389999866485596
2022-03-29,4.630000114440918
2022-03-30,4.489999771118164
2022-03-31,4.429999828338623
2022-04-01,4.380000114440918
2022-04-04,4.5
2022-04-05,4.519999980926514
2022-04-06,4.210000038146973
2022-04-07,4.260000228881836
2022-04-08,3.9000000953674316
2022-04-11,3.8399999141693115
2022-04-12,3.809999942779541
2022-04-13,3.869999885559082
2022-04-14,3.7799999713897705
2022-04-18,3.5799999237060547
2022-04-19,3.740000009536743
2022-04-20,3.549999952316284
2022-04-21,3.3399999141693115
2022-04-22,3.380000114440918
2022-04-25,3.559999942779541
2022-04-26,3.299999952316284
2022-04-27,3.309999942779541
2022-04-28,3.3499999046325684
2022-04-29,3.2100000381469727
2022-05-02,3.299999952316284
2022-05-03,3.3299999237060547
2022-05-04,3.4700000286102295
2022-05-05,3.2899999618530273
2022-05-06,3.130000114440918
2022-05-09,2.819999933242798
2022-05-10,2.940000057220459
2022-05-11,2.8299999237060547
2022-05-12,2.8499999046325684
2022-05-13,3.259999990463257
2022-05-16,3.049999952316284
2022-05-17,3.2100000381469727
2022-05-18,3.059999942779541
2022-05-19,3.2200000286102295
2022-05-20,3.1600000858306885
2022-05-23,3.130000114440918
2022-05-24,3.0
2022-05-25,3.069999933242798
2022-05-26,3.3399999141693115
2022-05-27,3.5799999237060547
2022-05-31,3.630000114440918
2022-06-01,3.490000009536743
2022-06-02,3.7300000190734863
2022-06-03,3.7300000190734863
2022-06-06,3.6600000858306885
2022-06-07,3.700000047683716
2022-06-08,3.7100000381469727
2022-06-09,3.549999952316284
2022-06-10,3.5299999713897705
2022-06-13,3.390000104904175
2022-06-14,3.4700000286102295
2022-06-15,3.630000114440918
2022-06-16,3.559999942779541
2022-06-17,3.6600000858306885
2022-06-21,3.5799999237060547
2022-06-22,3.7100000381469727
2022-06-23,3.9600000381469727
2022-06-24,3.8499999046325684
