Date,HOLO
2023-02-03,1544.0
2023-02-06,1272.0
2023-02-07,618.0
2023-02-08,600.0
2023-02-09,582.0
2023-02-10,540.0
2023-02-13,538.0
2023-02-14,514.0
2023-02-15,530.0
2023-02-16,496.0
2023-02-17,456.0
2023-02-21,440.0
2023-02-22,436.0
2023-02-23,418.0
2023-02-24,392.0
2023-02-27,390.0
2023-02-28,408.0
2023-03-01,422.0
2023-03-02,440.0
2023-03-03,430.0
2023-03-06,430.0
2023-03-07,430.0
2023-03-08,422.0
2023-03-09,430.0
2023-03-10,430.0
2023-03-13,422.0
2023-03-14,420.0
2023-03-15,432.0
2023-03-16,424.0
2023-03-17,440.0
2023-03-20,438.0
2023-03-21,454.0
2023-03-22,458.0
2023-03-23,438.0
2023-03-24,444.0
2023-03-27,428.0
2023-03-28,420.0
2023-03-29,422.0
2023-03-30,440.0
2023-03-31,444.0
2023-04-03,486.0
2023-04-04,450.0
2023-04-05,466.0
2023-04-06,484.0
2023-04-10,484.0
2023-04-11,494.0
2023-04-12,474.0
2023-04-13,516.0
2023-04-14,476.0
2023-04-17,462.0
2023-04-18,460.0
2023-04-19,450.0
2023-04-20,488.0
2023-04-21,524.0
2023-04-24,566.0
2023-04-25,418.0
2023-04-26,302.0
2023-04-27,290.0
2023-04-28,302.0
2023-05-01,294.0
2023-05-02,290.0
2023-05-03,296.0
2023-05-04,362.0
2023-05-05,356.0
2023-05-08,355.0
2023-05-09,370.0
2023-05-10,392.0
2023-05-11,400.0
2023-05-12,404.79998779296875
2023-05-15,436.0
2023-05-16,432.0
2023-05-17,440.0
2023-05-18,454.0
2023-05-19,444.0
2023-05-22,430.0
2023-05-23,430.0
2023-05-24,444.0
2023-05-25,436.0
2023-05-26,448.0
2023-05-30,480.0
2023-05-31,506.0
2023-06-01,454.0
2023-06-02,464.0
2023-06-05,454.0
2023-06-06,460.0
2023-06-07,484.0
2023-06-08,474.0
2023-06-09,466.0
2023-06-12,486.0
2023-06-13,474.0
2023-06-14,473.20001220703125
2023-06-15,507.6000061035156
2023-06-16,520.0
2023-06-20,564.0
2023-06-21,582.0
2023-06-22,580.0
2023-06-23,588.0
2023-06-26,566.0
2023-06-27,592.0
2023-06-28,566.0
2023-06-29,564.0
2023-06-30,624.0
2023-07-03,686.0
2023-07-05,604.0
2023-07-06,630.0
2023-07-07,650.0
2023-07-10,742.0
2023-07-11,644.0
2023-07-12,672.0
2023-07-13,674.0
2023-07-14,606.0
2023-07-17,610.0
2023-07-18,624.0
2023-07-19,562.0
2023-07-20,478.0
2023-07-21,428.0
2023-07-24,460.0
2023-07-25,464.0
2023-07-26,478.0
2023-07-27,465.0
2023-07-28,542.0
2023-07-31,604.0
2023-08-01,652.0
2023-08-02,606.0
2023-08-03,628.0
2023-08-04,611.0
2023-08-07,566.0
2023-08-08,550.0
2023-08-09,488.0
2023-08-10,538.0
2023-08-11,642.0
2023-08-14,632.0
2023-08-15,636.0
2023-08-16,622.0
2023-08-17,662.0
2023-08-18,690.0
2023-08-21,898.0
2023-08-22,1172.0
2023-08-23,1506.0
2023-08-24,1406.0
2023-08-25,1520.0
2023-08-28,1962.0
2023-08-29,2116.0
2023-08-30,1984.0
2023-08-31,1808.0
2023-09-01,1820.0
2023-09-05,1952.0
2023-09-06,1828.0
2023-09-07,1816.0
2023-09-08,1878.0
2023-09-11,1920.0
2023-09-12,2126.0
2023-09-13,424.0
2023-09-14,264.0
2023-09-15,263.0
2023-09-18,260.0
2023-09-19,254.0
2023-09-20,246.0
2023-09-21,260.0
2023-09-22,248.0
2023-09-25,254.0
2023-09-26,266.0
2023-09-27,286.0
2023-09-28,268.0
2023-09-29,266.0
2023-10-02,262.0
2023-10-03,240.0
2023-10-04,250.0
2023-10-05,230.0
2023-10-06,234.0
2023-10-09,190.60000610351562
2023-10-10,192.0
2023-10-11,170.0
2023-10-12,155.39999389648438
2023-10-13,154.1999969482422
