Date,AGRI
2022-02-28,74.0
2022-03-01,77.0
2022-03-02,83.0
2022-03-03,85.0
2022-03-04,89.5
2022-03-07,101.0
2022-03-08,86.5
2022-03-09,84.5
2022-03-10,171.0
2022-03-11,157.5
2022-03-14,198.0
2022-03-15,188.0
2022-03-16,168.5
2022-03-17,170.5
2022-03-18,180.5
2022-03-21,180.5
2022-03-22,161.0
2022-03-23,182.0
2022-03-24,245.5
2022-03-25,219.5
2022-03-28,193.0
2022-03-29,180.0
2022-03-30,167.5
2022-03-31,154.0
2022-04-01,157.5
2022-04-04,166.5
2022-04-05,163.0
2022-04-06,174.5
2022-04-07,177.0
2022-04-08,173.0
2022-04-11,159.5
2022-04-12,113.0
2022-04-13,119.5
2022-04-14,110.5
2022-04-18,130.5
2022-04-19,121.0
2022-04-20,115.0
2022-04-21,117.5
2022-04-22,111.5
2022-04-25,116.5
2022-04-26,113.0
2022-04-27,107.0
2022-04-28,95.5
2022-04-29,97.0
2022-05-02,91.0
2022-05-03,99.5
2022-05-04,92.0
2022-05-05,88.0
2022-05-06,83.0
2022-05-09,73.5
2022-05-10,75.5
2022-05-11,72.5
2022-05-12,76.0
2022-05-13,83.5
2022-05-16,138.5
2022-05-17,134.0
2022-05-18,146.0
2022-05-19,131.0
2022-05-20,147.0
2022-05-23,153.0
2022-05-24,140.5
2022-05-25,150.5
2022-05-26,142.5
2022-05-27,140.0
2022-05-31,126.5
2022-06-01,121.0
2022-06-02,127.5
2022-06-03,120.5
2022-06-06,118.5
2022-06-07,111.0
2022-06-08,115.5
2022-06-09,106.0
2022-06-10,99.0
2022-06-13,116.0
2022-06-14,106.0
2022-06-15,106.5
2022-06-16,119.0
2022-06-17,118.5
2022-06-21,124.0
2022-06-22,124.5
2022-06-23,137.5
2022-06-24,125.0
2022-06-27,125.0
2022-06-28,116.5
2022-06-29,111.0
2022-06-30,115.5
2022-07-01,114.0
2022-07-05,111.0
2022-07-06,102.5
2022-07-07,105.0
2022-07-08,112.0
2022-07-11,106.5
2022-07-12,101.5
2022-07-13,103.0
2022-07-14,101.5
2022-07-15,101.5
2022-07-18,100.0
2022-07-19,98.0
2022-07-20,99.5
2022-07-21,107.5
2022-07-22,98.0
2022-07-25,100.5
2022-07-26,92.0
2022-07-27,91.5
2022-07-28,91.5
2022-07-29,91.5
2022-08-01,92.5
2022-08-02,92.0
2022-08-03,90.5
2022-08-04,88.0
2022-08-05,89.5
2022-08-08,89.0
2022-08-09,83.5
2022-08-10,85.5
2022-08-11,85.5
2022-08-12,88.0
2022-08-15,90.0
2022-08-16,89.5
2022-08-17,89.0
2022-08-18,87.0
2022-08-19,80.5
2022-08-22,85.0
2022-08-23,93.0
2022-08-24,97.0
2022-08-25,96.0
2022-08-26,92.5
2022-08-29,93.0
2022-08-30,87.0
2022-08-31,94.0
2022-09-01,91.0
2022-09-02,97.5
2022-09-06,95.0
2022-09-07,96.5
2022-09-08,89.5
2022-09-09,91.0
2022-09-12,91.5
2022-09-13,88.5
2022-09-14,81.5
2022-09-15,84.0
2022-09-16,82.0
2022-09-19,81.75
2022-09-20,84.0
2022-09-21,88.5
2022-09-22,74.0
2022-09-23,73.0
2022-09-26,70.0
2022-09-27,70.5
2022-09-28,74.0
2022-09-29,73.0
2022-09-30,75.0
2022-10-03,75.5
2022-10-04,78.5
2022-10-05,78.5
2022-10-06,77.30000305175781
2022-10-07,73.5
2022-10-10,75.0
2022-10-11,72.0
2022-10-12,65.25
2022-10-13,67.0
2022-10-14,65.0
2022-10-17,66.0
2022-10-18,66.0
2022-10-19,64.05000305175781
2022-10-20,61.0
2022-10-21,60.0
2022-10-24,58.0
2022-10-25,58.0
2022-10-26,58.5
2022-10-27,57.5
2022-10-28,59.0
2022-10-31,61.5
2022-11-01,61.0
2022-11-02,56.5
2022-11-03,58.0
2022-11-04,57.5
2022-11-07,58.0
2022-11-08,56.5
2022-11-09,56.0
2022-11-10,49.5
2022-11-11,49.0
2022-11-14,48.79999923706055
2022-11-15,53.0
2022-11-16,53.0
2022-11-17,55.0
2022-11-18,57.0
2022-11-21,62.5
2022-11-22,59.5
2022-11-23,55.5
2022-11-25,58.5
2022-11-28,65.5
2022-11-29,65.5
2022-11-30,66.5
2022-12-01,67.0
2022-12-02,69.0
2022-12-05,64.5
2022-12-06,62.0
2022-12-07,55.5
2022-12-08,53.5
2022-12-09,53.0
2022-12-12,51.5
2022-12-13,55.0
2022-12-14,55.5
2022-12-15,54.0
2022-12-16,56.5
2022-12-19,56.25
2022-12-20,53.5
2022-12-21,55.0
2022-12-22,54.29999923706055
2022-12-23,51.5
2022-12-27,51.5
2022-12-28,54.0
2022-12-29,55.5
2022-12-30,56.5
2023-01-03,54.5
2023-01-04,57.54999923706055
2023-01-05,55.0
2023-01-06,56.0
2023-01-09,60.5
2023-01-10,62.5
2023-01-11,65.80000305175781
2023-01-12,59.0
2023-01-13,60.5
2023-01-17,80.0
2023-01-18,61.0
2023-01-19,62.0
2023-01-20,63.849998474121094
2023-01-23,72.0
2023-01-24,66.5
2023-01-25,62.5
2023-01-26,62.5
2023-01-27,64.25
2023-01-30,62.0
2023-01-31,62.0
2023-02-01,63.5
2023-02-02,62.5
2023-02-03,64.0
2023-02-06,61.5
2023-02-07,61.5
2023-02-08,61.0
2023-02-09,54.5
2023-02-10,56.0
2023-02-13,57.5
2023-02-14,59.5
2023-02-15,58.0
2023-02-16,56.5
2023-02-17,56.0
2023-02-21,55.5
2023-02-22,54.5
2023-02-23,54.5
2023-02-24,54.54999923706055
2023-02-27,55.0
2023-02-28,55.0
2023-03-01,54.0
2023-03-02,52.5
2023-03-03,51.0
2023-03-06,51.5
2023-03-07,52.0
2023-03-08,50.5
2023-03-09,49.5
2023-03-10,48.0
2023-03-13,43.400001525878906
2023-03-14,42.25
2023-03-15,39.5
2023-03-16,40.0
2023-03-17,37.0
2023-03-20,35.75
2023-03-21,35.0
2023-03-22,34.5
2023-03-23,36.0
2023-03-24,35.0
2023-03-27,34.0
2023-03-28,31.5
2023-03-29,33.5
2023-03-30,33.849998474121094
2023-03-31,34.70000076293945
2023-04-03,34.79999923706055
2023-04-04,32.5
2023-04-05,31.25
2023-04-06,33.0
2023-04-10,35.0
2023-04-11,38.25
2023-04-12,35.75
2023-04-13,32.5
2023-04-14,32.5
2023-04-17,31.75
2023-04-18,31.5
2023-04-19,30.0
2023-04-20,30.0
2023-04-21,29.5
2023-04-24,29.25
2023-04-25,29.200000762939453
2023-04-26,32.650001525878906
2023-04-27,31.049999237060547
2023-04-28,30.25
2023-05-01,30.600000381469727
2023-05-02,30.399999618530273
2023-05-03,29.0
2023-05-04,27.75
2023-05-05,29.25
2023-05-08,29.0
2023-05-09,28.5
2023-05-10,28.049999237060547
2023-05-11,25.850000381469727
2023-05-12,25.0
2023-05-15,24.0
2023-05-16,24.649999618530273
2023-05-17,22.700000762939453
2023-05-18,24.0
2023-05-19,24.0
2023-05-22,23.5
2023-05-23,21.5
2023-05-24,20.5
2023-05-25,18.549999237060547
2023-05-26,19.200000762939453
2023-05-30,20.0
2023-05-31,19.5
2023-06-01,19.25
2023-06-02,17.0
2023-06-05,9.5
2023-06-06,15.649999618530273
2023-06-07,13.449999809265137
2023-06-08,12.300000190734863
2023-06-09,12.0
2023-06-12,11.75
2023-06-13,12.0
2023-06-14,12.0
2023-06-15,11.800000190734863
2023-06-16,12.899999618530273
2023-06-20,12.5
2023-06-21,12.0
2023-06-22,11.449999809265137
2023-06-23,11.699999809265137
2023-06-26,11.5
2023-06-27,10.899999618530273
2023-06-28,10.5
2023-06-29,12.5
2023-06-30,11.350000381469727
2023-07-03,11.0
2023-07-05,10.300000190734863
2023-07-06,9.75
2023-07-07,9.300000190734863
2023-07-10,9.0
2023-07-11,9.0
2023-07-12,9.149999618530273
2023-07-13,9.050000190734863
2023-07-14,8.800000190734863
2023-07-17,9.399999618530273
2023-07-18,7.849999904632568
2023-07-19,7.349999904632568
2023-07-20,6.5
2023-07-21,6.400000095367432
2023-07-24,6.650000095367432
2023-07-25,6.25
2023-07-26,5.800000190734863
2023-07-27,6.25
2023-07-28,6.199999809265137
2023-07-31,6.5
2023-08-01,6.5
2023-08-02,5.699999809265137
2023-08-03,6.050000190734863
2023-08-04,6.5
2023-08-07,7.75
2023-08-08,7.25
2023-08-09,6.75
2023-08-10,6.25
2023-08-11,6.650000095367432
2023-08-14,6.5
2023-08-15,5.900000095367432
2023-08-16,6.099999904632568
2023-08-17,6.150000095367432
2023-08-18,5.949999809265137
2023-08-21,5.849999904632568
2023-08-22,5.650000095367432
2023-08-23,5.5
2023-08-24,5.75
2023-08-25,5.449999809265137
2023-08-28,5.300000190734863
2023-08-29,5.25
2023-08-30,5.25
2023-08-31,5.449999809265137
2023-09-01,5.0
2023-09-05,4.650000095367432
2023-09-06,4.550000190734863
2023-09-07,4.25
2023-09-08,4.5
2023-09-11,4.300000190734863
2023-09-12,4.5
2023-09-13,4.650000095367432
2023-09-14,5.099999904632568
2023-09-15,7.25
2023-09-18,5.349999904632568
2023-09-19,5.349999904632568
2023-09-20,6.5
2023-09-21,7.699999809265137
2023-09-22,6.599999904632568
2023-09-25,5.949999809265137
2023-09-26,5.300000190734863
2023-09-27,5.849999904632568
2023-09-28,5.5
2023-09-29,5.599999904632568
2023-10-02,5.349999904632568
2023-10-03,5.550000190734863
2023-10-04,5.5
2023-10-05,6.949999809265137
