Date,AGRI
2023-10-06,5.650000095367432
2023-10-09,5.449999809265137
2023-10-10,3.9000000953674316
2023-10-11,3.049999952316284
2023-10-12,3.049999952316284
2023-10-13,2.9700000286102295
2023-10-16,2.619999885559082
2023-10-17,2.9800000190734863
2023-10-18,2.640000104904175
2023-10-19,2.4000000953674316
2023-10-20,2.4000000953674316
2023-10-23,2.0999999046325684
2023-10-24,1.9600000381469727
2023-10-25,1.840000033378601
2023-10-26,1.7999999523162842
2023-10-27,1.9700000286102295
2023-10-30,1.9299999475479126
2023-10-31,1.940000057220459
2023-11-01,1.7400000095367432
2023-11-02,1.6100000143051147
2023-11-03,1.5700000524520874
2023-11-06,1.4800000190734863
2023-11-07,1.590000033378601
2023-11-08,1.5099999904632568
2023-11-09,1.1799999475479126
2023-11-10,1.059999942779541
2023-11-13,1.1399999856948853
2023-11-14,1.1799999475479126
2023-11-15,1.2200000286102295
2023-11-16,1.149999976158142
2023-11-17,1.0700000524520874
2023-11-20,1.059999942779541
2023-11-21,0.949999988079071
2023-11-22,0.9599999785423279
2023-11-24,0.9700000286102295
2023-11-27,0.9039999842643738
2023-11-28,0.8339999914169312
2023-11-29,0.8999999761581421
2023-11-30,0.8370000123977661
2023-12-01,0.7699999809265137
2023-12-04,0.6600000262260437
2023-12-05,0.6600000262260437
2023-12-06,0.6620000004768372
2023-12-07,0.6510000228881836
2023-12-08,0.5899999737739563
2023-12-11,0.6150000095367432
2023-12-12,0.5600000023841858
2023-12-13,0.5509999990463257
2023-12-14,0.6100000143051147
2023-12-15,0.5899999737739563
2023-12-18,0.5849999785423279
2023-12-19,0.5799999833106995
2023-12-20,0.41999998688697815
2023-12-21,0.44999998807907104
2023-12-22,0.4690000116825104
2023-12-26,0.4699999988079071
2023-12-27,0.47999998927116394
2023-12-28,0.47099998593330383
2023-12-29,0.4699999988079071
2024-01-02,0.46700000762939453
2024-01-03,0.44699999690055847
2024-01-04,0.41600000858306885
2024-01-05,0.4189999997615814
2024-01-08,0.41200000047683716
2024-01-09,0.39899998903274536
2024-01-10,0.4000000059604645
2024-01-11,0.37400001287460327
2024-01-12,0.38199999928474426
2024-01-16,0.36800000071525574
2024-01-17,0.3700000047683716
2024-01-18,0.3440000116825104
2024-01-19,0.3140000104904175
2024-01-22,0.3100000023841858
2024-01-23,0.3190000057220459
2024-01-24,0.32499998807907104
2024-01-25,0.3199999928474426
2024-01-26,0.32499998807907104
2024-01-29,0.33500000834465027
2024-01-30,0.3190000057220459
2024-01-31,0.3100000023841858
2024-02-01,0.39399999380111694
2024-02-02,0.28999999165534973
2024-02-05,0.23999999463558197
2024-02-06,0.2280000001192093
2024-02-07,0.22699999809265137
2024-02-08,0.23899999260902405
2024-02-09,0.23899999260902405
2024-02-12,0.25
2024-02-13,0.22100000083446503
2024-02-14,0.2199999988079071
2024-02-15,0.210999995470047
2024-02-16,0.21400000154972076
2024-02-20,0.26899999380111694
2024-02-21,0.2329999953508377
2024-02-22,0.21799999475479126
2024-02-23,0.1979999989271164
2024-02-26,0.20499999821186066
2024-02-27,0.20000000298023224
2024-02-28,0.1940000057220459
2024-02-29,0.1899999976158142
2024-03-01,0.18299999833106995
2024-03-04,0.1720000058412552
2024-03-05,0.1720000058412552
2024-03-06,0.17000000178813934
2024-03-07,0.1720000058412552
2024-03-08,0.1599999964237213
2024-03-11,0.1599999964237213
2024-03-12,0.15399999916553497
2024-03-13,0.1679999977350235
2024-03-14,0.14800000190734863
2024-03-15,0.15399999916553497
2024-03-18,0.17100000381469727
2024-03-19,0.17100000381469727
2024-03-20,0.16599999368190765
2024-03-21,0.16099999845027924
2024-03-22,0.17100000381469727
2024-03-25,0.17000000178813934
2024-03-26,0.17800000309944153
2024-03-27,0.1850000023841858
2024-03-28,0.18400000035762787
2024-04-01,0.1770000010728836
2024-04-02,0.16699999570846558
2024-04-03,0.17000000178813934
2024-04-04,0.1679999977350235
2024-04-05,0.17800000309944153
2024-04-08,0.1720000058412552
2024-04-09,0.17399999499320984
2024-04-10,0.16300000250339508
2024-04-11,0.16599999368190765
2024-04-12,0.15800000727176666
2024-04-15,0.1599999964237213
2024-04-16,0.1469999998807907
2024-04-17,0.15199999511241913
2024-04-18,0.15000000596046448
2024-04-19,0.164000004529953
2024-04-22,0.15199999511241913
2024-04-23,0.15199999511241913
2024-04-24,0.1459999978542328
2024-04-25,0.15399999916553497
2024-04-26,0.14900000393390656
2024-04-29,0.15399999916553497
2024-04-30,0.1599999964237213
2024-05-01,0.14399999380111694
2024-05-02,0.1459999978542328
2024-05-03,0.14800000190734863
2024-05-06,0.14399999380111694
2024-05-07,0.10400000214576721
2024-05-08,0.0989999994635582
2024-05-09,0.10000000149011612
2024-05-10,0.0989999994635582
2024-05-13,0.09700000286102295
2024-05-14,0.09300000220537186
2024-05-15,0.10599999874830246
2024-05-16,0.11500000208616257
2024-05-17,0.10300000011920929
2024-05-20,0.12999999523162842
2024-05-21,0.15199999511241913
2024-05-22,0.12999999523162842
2024-05-23,0.14399999380111694
2024-05-24,0.12300000339746475
2024-05-28,0.1340000033378601
2024-05-29,0.13199999928474426
2024-05-30,0.11800000071525574
2024-05-31,0.1120000034570694
2024-06-03,0.1120000034570694
2024-06-04,0.10599999874830246
2024-06-05,0.10499999672174454
2024-06-06,0.09600000083446503
2024-06-07,0.09300000220537186
2024-06-10,0.0989999994635582
2024-06-11,0.0949999988079071
2024-06-12,0.09300000220537186
2024-06-13,0.0860000029206276
2024-06-14,0.0820000022649765
2024-06-17,0.08900000154972076
2024-06-18,0.08900000154972076
2024-06-20,0.08299999684095383
2024-06-21,0.0820000022649765
2024-06-24,0.08500000089406967
2024-06-25,0.08399999886751175
2024-06-26,0.0820000022649765
2024-06-27,0.08399999886751175
2024-06-28,0.08799999952316284
2024-07-01,0.07500000298023224
2024-07-02,0.07500000298023224
2024-07-03,0.07500000298023224
2024-07-05,0.07199999690055847
2024-07-08,0.07199999690055847
2024-07-09,0.07599999755620956
2024-07-10,0.07699999958276749
2024-07-11,0.0820000022649765
2024-07-12,0.10000000149011612
2024-07-15,0.08699999749660492
2024-07-16,0.0860000029206276
2024-07-17,0.07900000363588333
2024-07-18,0.0729999989271164
2024-07-19,0.0729999989271164
2024-07-22,0.07599999755620956
2024-07-23,0.0729999989271164
2024-07-24,0.07999999821186066
2024-07-25,0.0729999989271164
2024-07-26,0.07500000298023224
2024-07-29,0.07199999690055847
2024-07-30,0.07100000232458115
2024-07-31,0.07000000029802322
2024-08-01,0.06700000166893005
2024-08-02,0.06300000101327896
2024-08-05,0.057999998331069946
2024-08-06,0.0689999982714653
2024-08-07,0.05900000035762787
2024-08-08,0.06800000369548798
2024-08-09,0.07599999755620956
2024-08-12,0.0689999982714653
2024-08-13,0.06599999964237213
2024-08-14,0.057999998331069946
2024-08-15,0.061000000685453415
2024-08-16,0.05900000035762787
2024-08-19,0.06300000101327896
2024-08-20,0.06300000101327896
2024-08-21,0.06499999761581421
2024-08-22,0.06599999964237213
2024-08-23,0.06499999761581421
2024-08-26,0.06800000369548798
2024-08-27,0.06199999898672104
2024-08-28,0.07100000232458115
2024-08-29,0.06800000369548798
2024-08-30,0.05999999865889549
2024-09-03,0.061000000685453415
2024-09-04,0.05900000035762787
2024-09-05,0.05999999865889549
2024-09-06,0.057999998331069946
2024-09-09,0.0560000017285347
2024-09-10,0.05900000035762787
2024-09-11,0.057999998331069946
2024-09-12,0.0560000017285347
2024-09-13,0.05700000002980232
2024-09-16,0.0560000017285347
2024-09-17,0.054999999701976776
2024-09-18,0.052000001072883606
2024-09-19,0.050999999046325684
2024-09-20,0.054999999701976776
2024-09-23,0.05400000140070915
2024-09-24,0.052000001072883606
2024-09-25,0.052000001072883606
2024-09-26,0.052000001072883606
2024-09-27,0.052000001072883606
2024-09-30,0.050999999046325684
2024-10-01,0.05000000074505806
2024-10-02,0.04800000041723251
2024-10-03,0.04899999871850014
2024-10-04,0.05000000074505806
2024-10-07,0.04800000041723251
2024-10-08,0.05999999865889549
2024-10-09,0.06800000369548798
2024-10-10,0.06300000101327896
2024-10-11,0.057999998331069946
2024-10-14,0.06199999898672104
2024-10-15,0.05400000140070915
2024-10-16,0.05299999937415123
2024-10-17,0.05299999937415123
2024-10-18,0.0560000017285347
2024-10-21,0.0560000017285347
2024-10-22,0.054999999701976776
2024-10-23,0.05999999865889549
2024-10-24,0.05900000035762787
2024-10-25,0.05900000035762787
2024-10-28,0.061000000685453415
2024-10-29,0.057999998331069946
2024-10-30,0.05900000035762787
2024-10-31,0.052000001072883606
2024-11-01,0.04800000041723251
2024-11-04,0.050999999046325684
2024-11-05,0.05000000074505806
2024-11-06,0.052000001072883606
2024-11-07,0.04899999871850014
2024-11-08,0.04699999839067459
2024-11-11,0.04699999839067459
2024-11-12,0.04699999839067459
2024-11-13,0.04899999871850014
2024-11-14,0.04699999839067459
2024-11-15,0.0430000014603138
2024-11-18,0.0430000014603138
2024-11-19,0.04100000113248825
2024-11-20,0.041999999433755875
2024-11-21,0.04100000113248825
