Date,OSUR
2022-02-28,7.800000190734863
2022-03-01,7.699999809265137
2022-03-02,7.679999828338623
2022-03-03,7.670000076293945
2022-03-04,7.5
2022-03-07,7.400000095367432
2022-03-08,7.019999980926514
2022-03-09,7.21999979019165
2022-03-10,7.039999961853027
2022-03-11,6.809999942779541
2022-03-14,6.619999885559082
2022-03-15,6.659999847412109
2022-03-16,6.880000114440918
2022-03-17,7.059999942779541
2022-03-18,7.28000020980835
2022-03-21,7.179999828338623
2022-03-22,7.289999961853027
2022-03-23,7.010000228881836
2022-03-24,6.949999809265137
2022-03-25,6.840000152587891
2022-03-28,6.949999809265137
2022-03-29,6.96999979019165
2022-03-30,7.019999980926514
2022-03-31,6.78000020980835
2022-04-01,6.829999923706055
2022-04-04,7.119999885559082
2022-04-05,6.789999961853027
2022-04-06,6.769999980926514
2022-04-07,7.099999904632568
2022-04-08,7.050000190734863
2022-04-11,6.829999923706055
2022-04-12,6.789999961853027
2022-04-13,6.789999961853027
2022-04-14,6.739999771118164
2022-04-18,6.849999904632568
2022-04-19,6.789999961853027
2022-04-20,6.800000190734863
2022-04-21,6.559999942779541
2022-04-22,6.489999771118164
2022-04-25,6.5
2022-04-26,6.349999904632568
2022-04-27,6.110000133514404
2022-04-28,6.03000020980835
2022-04-29,6.139999866485596
2022-05-02,6.320000171661377
2022-05-03,6.179999828338623
2022-05-04,6.369999885559082
2022-05-05,6.050000190734863
2022-05-06,5.949999809265137
2022-05-09,5.639999866485596
2022-05-10,5.269999980926514
2022-05-11,5.139999866485596
2022-05-12,5.159999847412109
2022-05-13,5.420000076293945
2022-05-16,5.110000133514404
2022-05-17,5.230000019073486
2022-05-18,5.230000019073486
2022-05-19,5.449999809265137
2022-05-20,5.480000019073486
2022-05-23,5.570000171661377
2022-05-24,4.510000228881836
2022-05-25,4.329999923706055
2022-05-26,4.21999979019165
2022-05-27,4.349999904632568
2022-05-31,4.150000095367432
2022-06-01,4.0
2022-06-02,4.119999885559082
2022-06-03,3.8499999046325684
2022-06-06,3.369999885559082
2022-06-07,3.3299999237060547
2022-06-08,3.0299999713897705
2022-06-09,2.890000104904175
2022-06-10,2.7300000190734863
2022-06-13,2.7200000286102295
2022-06-14,2.75
2022-06-15,2.930000066757202
2022-06-16,2.809999942779541
2022-06-17,2.7799999713897705
2022-06-21,2.7799999713897705
2022-06-22,2.819999933242798
2022-06-23,2.859999895095825
2022-06-24,2.890000104904175
2022-06-27,2.890000104904175
2022-06-28,2.7899999618530273
2022-06-29,2.740000009536743
2022-06-30,2.7100000381469727
