Date,STRO
2022-02-28,8.920000076293945
2022-03-01,8.65999984741211
2022-03-02,8.729999542236328
2022-03-03,8.3100004196167
2022-03-04,8.170000076293945
2022-03-07,7.940000057220459
2022-03-08,7.909999847412109
2022-03-09,8.34000015258789
2022-03-10,8.15999984741211
2022-03-11,7.960000038146973
2022-03-14,7.78000020980835
2022-03-15,8.100000381469727
2022-03-16,8.5
2022-03-17,9.119999885559082
2022-03-18,9.699999809265137
2022-03-21,7.96999979019165
2022-03-22,8.600000381469727
2022-03-23,8.5
2022-03-24,8.510000228881836
2022-03-25,8.279999732971191
2022-03-28,8.289999961853027
2022-03-29,8.420000076293945
2022-03-30,8.140000343322754
2022-03-31,8.220000267028809
2022-04-01,8.5600004196167
2022-04-04,8.829999923706055
2022-04-05,8.710000038146973
2022-04-06,8.949999809265137
2022-04-07,8.630000114440918
2022-04-08,8.460000038146973
2022-04-11,7.639999866485596
2022-04-12,7.570000171661377
2022-04-13,7.940000057220459
2022-04-14,7.260000228881836
2022-04-18,6.809999942779541
2022-04-19,7.03000020980835
2022-04-20,7.130000114440918
2022-04-21,6.900000095367432
2022-04-22,6.949999809265137
2022-04-25,7.400000095367432
2022-04-26,6.769999980926514
2022-04-27,6.130000114440918
2022-04-28,6.159999847412109
2022-04-29,6.010000228881836
2022-05-02,6.599999904632568
2022-05-03,6.400000095367432
2022-05-04,6.53000020980835
2022-05-05,6.059999942779541
2022-05-06,5.71999979019165
2022-05-09,5.03000020980835
2022-05-10,5.329999923706055
2022-05-11,4.929999828338623
2022-05-12,4.900000095367432
2022-05-13,4.599999904632568
2022-05-16,4.739999771118164
2022-05-17,5.099999904632568
2022-05-18,4.610000133514404
2022-05-19,4.53000020980835
2022-05-20,4.670000076293945
2022-05-23,4.619999885559082
2022-05-24,4.449999809265137
2022-05-25,4.440000057220459
2022-05-26,4.380000114440918
2022-05-27,4.440000057220459
2022-05-31,4.349999904632568
2022-06-01,4.199999809265137
2022-06-02,4.309999942779541
2022-06-03,4.489999771118164
2022-06-06,4.440000057220459
2022-06-07,4.539999961853027
2022-06-08,4.619999885559082
2022-06-09,4.510000228881836
2022-06-10,3.990000009536743
2022-06-13,3.5799999237060547
2022-06-14,3.6500000953674316
2022-06-15,3.8399999141693115
2022-06-16,3.4100000858306885
2022-06-17,3.859999895095825
2022-06-21,3.9200000762939453
2022-06-22,4.070000171661377
2022-06-23,4.300000190734863
2022-06-24,4.320000171661377
2022-06-27,4.329999923706055
2022-06-28,5.230000019073486
2022-06-29,5.239999771118164
2022-06-30,5.210000038146973
2022-07-01,5.25
2022-07-05,5.519999980926514
2022-07-06,5.440000057220459
2022-07-07,5.809999942779541
2022-07-08,6.039999961853027
2022-07-11,5.909999847412109
2022-07-12,6.079999923706055
2022-07-13,6.25
2022-07-14,6.25
2022-07-15,5.849999904632568
2022-07-18,5.590000152587891
2022-07-19,5.829999923706055
2022-07-20,6.139999866485596
2022-07-21,6.369999885559082
2022-07-22,6.03000020980835
2022-07-25,6.03000020980835
2022-07-26,6.230000019073486
2022-07-27,6.389999866485596
2022-07-28,6.03000020980835
2022-07-29,5.849999904632568
2022-08-01,5.440000057220459
2022-08-02,5.510000228881836
2022-08-03,5.369999885559082
2022-08-04,5.489999771118164
2022-08-05,5.760000228881836
2022-08-08,6.190000057220459
2022-08-09,6.599999904632568
2022-08-10,6.730000019073486
2022-08-11,6.800000190734863
2022-08-12,7.090000152587891
2022-08-15,7.110000133514404
2022-08-16,6.889999866485596
2022-08-17,6.639999866485596
2022-08-18,6.639999866485596
2022-08-19,6.599999904632568
2022-08-22,6.079999923706055
2022-08-23,6.059999942779541
2022-08-24,6.159999847412109
2022-08-25,6.190000057220459
2022-08-26,5.960000038146973
2022-08-29,5.809999942779541
2022-08-30,5.690000057220459
2022-08-31,5.659999847412109
2022-09-01,5.869999885559082
2022-09-02,5.760000228881836
2022-09-06,5.559999942779541
2022-09-07,5.619999885559082
2022-09-08,5.829999923706055
2022-09-09,5.820000171661377
2022-09-12,5.809999942779541
2022-09-13,5.679999828338623
2022-09-14,5.699999809265137
2022-09-15,5.739999771118164
2022-09-16,5.699999809265137
2022-09-19,5.659999847412109
2022-09-20,5.599999904632568
2022-09-21,5.369999885559082
2022-09-22,5.230000019073486
2022-09-23,5.170000076293945
2022-09-26,5.320000171661377
2022-09-27,5.369999885559082
2022-09-28,5.639999866485596
2022-09-29,5.429999828338623
2022-09-30,5.550000190734863
2022-10-03,5.789999961853027
2022-10-04,5.880000114440918
2022-10-05,5.860000133514404
2022-10-06,5.789999961853027
2022-10-07,5.5
2022-10-10,5.53000020980835
2022-10-11,5.489999771118164
2022-10-12,5.409999847412109
2022-10-13,5.670000076293945
2022-10-14,5.590000152587891
2022-10-17,5.679999828338623
2022-10-18,5.650000095367432
2022-10-19,5.480000019073486
2022-10-20,5.429999828338623
2022-10-21,5.639999866485596
2022-10-24,6.46999979019165
2022-10-25,6.940000057220459
2022-10-26,7.139999866485596
2022-10-27,7.010000228881836
2022-10-28,7.230000019073486
2022-10-31,7.329999923706055
2022-11-01,7.739999771118164
2022-11-02,7.320000171661377
2022-11-03,7.369999885559082
2022-11-04,7.340000152587891
2022-11-07,7.53000020980835
2022-11-08,7.150000095367432
2022-11-09,7.340000152587891
2022-11-10,7.369999885559082
2022-11-11,7.25
2022-11-14,7.639999866485596
2022-11-15,7.329999923706055
2022-11-16,7.550000190734863
2022-11-17,7.409999847412109
2022-11-18,7.739999771118164
2022-11-21,8.039999961853027
2022-11-22,7.980000019073486
