Date,ALXO
2022-02-28,18.1200008392334
2022-03-01,18.139999389648438
2022-03-02,18.860000610351562
2022-03-03,17.420000076293945
2022-03-04,16.6299991607666
2022-03-07,17.149999618530273
2022-03-08,17.56999969482422
2022-03-09,18.6299991607666
2022-03-10,18.690000534057617
2022-03-11,18.1299991607666
2022-03-14,15.789999961853027
2022-03-15,16.600000381469727
2022-03-16,18.31999969482422
2022-03-17,19.0
2022-03-18,20.0
2022-03-21,17.93000030517578
2022-03-22,18.8799991607666
2022-03-23,18.540000915527344
2022-03-24,18.8700008392334
2022-03-25,17.950000762939453
2022-03-28,17.75
2022-03-29,18.6200008392334
2022-03-30,17.309999465942383
2022-03-31,16.899999618530273
2022-04-01,18.18000030517578
2022-04-04,19.459999084472656
2022-04-05,18.770000457763672
2022-04-06,19.059999465942383
2022-04-07,17.670000076293945
2022-04-08,16.93000030517578
2022-04-11,16.790000915527344
2022-04-12,17.209999084472656
2022-04-13,17.959999084472656
2022-04-14,16.010000228881836
2022-04-18,14.899999618530273
2022-04-19,15.5600004196167
2022-04-20,15.850000381469727
2022-04-21,14.640000343322754
2022-04-22,14.399999618530273
2022-04-25,15.109999656677246
2022-04-26,13.960000038146973
2022-04-27,13.65999984741211
2022-04-28,13.829999923706055
2022-04-29,12.779999732971191
2022-05-02,13.0
2022-05-03,12.630000114440918
2022-05-04,12.170000076293945
2022-05-05,11.050000190734863
2022-05-06,10.510000228881836
2022-05-09,9.300000190734863
2022-05-10,9.800000190734863
2022-05-11,8.579999923706055
2022-05-12,9.0
2022-05-13,9.65999984741211
2022-05-16,9.579999923706055
2022-05-17,9.75
2022-05-18,8.640000343322754
2022-05-19,8.760000228881836
2022-05-20,8.75
2022-05-23,8.460000038146973
2022-05-24,7.75
2022-05-25,7.900000095367432
2022-05-26,7.940000057220459
2022-05-27,8.050000190734863
2022-05-31,7.670000076293945
2022-06-01,7.420000076293945
2022-06-02,7.480000019073486
2022-06-03,7.599999904632568
2022-06-06,7.150000095367432
2022-06-07,7.75
2022-06-08,7.980000019073486
2022-06-09,7.78000020980835
2022-06-10,6.784999847412109
2022-06-13,6.460000038146973
2022-06-14,6.630000114440918
2022-06-15,6.670000076293945
2022-06-16,5.889999866485596
2022-06-17,6.46999979019165
2022-06-21,6.739999771118164
2022-06-22,6.789999961853027
2022-06-23,7.449999809265137
2022-06-24,8.0
2022-06-27,8.180000305175781
2022-06-28,8.0600004196167
2022-06-29,8.100000381469727
2022-06-30,8.09000015258789
2022-07-01,8.229999542236328
2022-07-05,9.149999618530273
2022-07-06,9.40999984741211
2022-07-07,9.760000228881836
2022-07-08,9.75
2022-07-11,9.260000228881836
2022-07-12,10.140000343322754
2022-07-13,10.859999656677246
2022-07-14,10.470000267028809
2022-07-15,10.359999656677246
2022-07-18,10.369999885559082
2022-07-19,10.619999885559082
2022-07-20,11.510000228881836
2022-07-21,11.979999542236328
2022-07-22,11.649999618530273
2022-07-25,11.550000190734863
2022-07-26,11.8100004196167
2022-07-27,11.970000267028809
2022-07-28,11.039999961853027
2022-07-29,9.680000305175781
2022-08-01,9.420000076293945
2022-08-02,9.829999923706055
2022-08-03,10.1899995803833
2022-08-04,10.859999656677246
2022-08-05,11.470000267028809
2022-08-08,11.760000228881836
2022-08-09,11.770000457763672
2022-08-10,12.789999961853027
2022-08-11,12.979999542236328
2022-08-12,14.520000457763672
2022-08-15,15.140000343322754
2022-08-16,14.619999885559082
2022-08-17,14.380000114440918
2022-08-18,14.4399995803833
2022-08-19,13.859999656677246
2022-08-22,13.40999984741211
2022-08-23,13.65999984741211
2022-08-24,13.949999809265137
2022-08-25,13.930000305175781
2022-08-26,13.25
2022-08-29,13.300000190734863
2022-08-30,12.899999618530273
2022-08-31,13.0
2022-09-01,13.1899995803833
2022-09-02,13.34000015258789
2022-09-06,11.880000114440918
2022-09-07,12.109999656677246
2022-09-08,13.600000381469727
2022-09-09,13.079999923706055
2022-09-12,13.010000228881836
2022-09-13,12.449999809265137
2022-09-14,12.4399995803833
2022-09-15,12.640000343322754
2022-09-16,12.180000305175781
2022-09-19,11.020000457763672
2022-09-20,10.989999771118164
2022-09-21,10.539999961853027
2022-09-22,10.579999923706055
2022-09-23,9.789999961853027
2022-09-26,9.630000114440918
2022-09-27,9.479999542236328
2022-09-28,9.9399995803833
2022-09-29,9.5
2022-09-30,9.569999694824219
2022-10-03,9.720000267028809
2022-10-04,10.520000457763672
2022-10-05,10.5
2022-10-06,10.529999732971191
2022-10-07,10.010000228881836
2022-10-10,9.880000114440918
2022-10-11,10.4399995803833
2022-10-12,10.850000381469727
2022-10-13,11.399999618530273
2022-10-14,10.989999771118164
2022-10-17,11.489999771118164
2022-10-18,11.800000190734863
2022-10-19,11.390000343322754
2022-10-20,11.380000114440918
2022-10-21,11.710000038146973
2022-10-24,11.600000381469727
2022-10-25,12.039999961853027
2022-10-26,12.489999771118164
2022-10-27,11.890000343322754
2022-10-28,12.510000228881836
2022-10-31,12.140000343322754
2022-11-01,12.890000343322754
2022-11-02,12.8100004196167
2022-11-03,12.640000343322754
2022-11-04,12.210000038146973
2022-11-07,12.649999618530273
2022-11-08,12.5
2022-11-09,12.420000076293945
2022-11-10,12.609999656677246
2022-11-11,12.789999961853027
2022-11-14,12.380000114440918
2022-11-15,11.600000381469727
2022-11-16,11.0
2022-11-17,10.579999923706055
2022-11-18,10.520000457763672
2022-11-21,10.479999542236328
2022-11-22,10.710000038146973
2022-11-23,10.619999885559082
2022-11-25,10.680000305175781
2022-11-28,10.069999694824219
