Date,OM
2022-02-28,43.970001220703125
2022-03-01,43.61000061035156
2022-03-02,45.599998474121094
2022-03-03,43.77000045776367
2022-03-04,43.099998474121094
2022-03-07,41.65999984741211
2022-03-08,41.22999954223633
2022-03-09,42.61000061035156
2022-03-10,42.33000183105469
2022-03-11,40.72999954223633
2022-03-14,38.54999923706055
2022-03-15,39.84000015258789
2022-03-16,41.029998779296875
2022-03-17,43.869998931884766
2022-03-18,43.59000015258789
2022-03-21,42.63999938964844
2022-03-22,42.93000030517578
2022-03-23,42.45000076293945
2022-03-24,41.77000045776367
2022-03-25,41.189998626708984
2022-03-28,41.369998931884766
2022-03-29,44.02000045776367
2022-03-30,44.18000030517578
2022-03-31,45.400001525878906
2022-04-01,46.97999954223633
2022-04-04,47.459999084472656
2022-04-05,47.43000030517578
2022-04-06,48.15999984741211
2022-04-07,47.119998931884766
2022-04-08,47.150001525878906
2022-04-11,45.459999084472656
2022-04-12,44.91999816894531
2022-04-13,45.27000045776367
2022-04-14,43.86000061035156
2022-04-18,43.56999969482422
2022-04-19,44.5099983215332
2022-04-20,44.0
2022-04-21,41.290000915527344
2022-04-22,38.2400016784668
2022-04-25,38.91999816894531
2022-04-26,37.4900016784668
2022-04-27,36.4900016784668
2022-04-28,36.0
2022-04-29,34.880001068115234
2022-05-02,36.709999084472656
2022-05-03,37.4900016784668
2022-05-04,39.939998626708984
2022-05-05,32.54999923706055
2022-05-06,27.729999542236328
2022-05-09,23.059999465942383
2022-05-10,22.579999923706055
2022-05-11,20.8700008392334
2022-05-12,20.219999313354492
2022-05-13,24.860000610351562
2022-05-16,25.780000686645508
2022-05-17,26.100000381469727
2022-05-18,23.8799991607666
2022-05-19,23.540000915527344
2022-05-20,23.420000076293945
2022-05-23,23.90999984741211
2022-05-24,22.780000686645508
2022-05-25,22.40999984741211
2022-05-26,21.809999465942383
2022-05-27,22.709999084472656
2022-05-31,21.799999237060547
2022-06-01,20.93000030517578
2022-06-02,22.920000076293945
2022-06-03,22.700000762939453
2022-06-06,22.010000228881836
2022-06-07,22.68000030517578
2022-06-08,22.1200008392334
2022-06-09,20.6200008392334
2022-06-10,21.0
2022-06-13,20.40999984741211
2022-06-14,13.460000038146973
2022-06-15,14.579999923706055
2022-06-16,13.770000457763672
2022-06-17,14.609999656677246
2022-06-21,14.319999694824219
2022-06-22,14.40999984741211
