Date,GLXG
2024-09-12,4.449999809265137
2024-09-13,4.449999809265137
2024-09-16,4.829999923706055
2024-09-17,4.590000152587891
2024-09-18,6.059999942779541
2024-09-19,4.800000190734863
2024-09-20,5.789999961853027
2024-09-23,6.119999885559082
2024-09-24,5.840000152587891
2024-09-25,6.059999942779541
2024-09-26,5.960000038146973
2024-09-27,6.010000228881836
2024-09-30,6.170000076293945
2024-10-01,6.78000020980835
2024-10-02,7.289999961853027
2024-10-03,7.619999885559082
2024-10-04,7.7789998054504395
2024-10-07,7.570000171661377
2024-10-08,8.0
2024-10-09,7.699999809265137
2024-10-10,10.300000190734863
2024-10-11,10.130000114440918
2024-10-14,9.4399995803833
2024-10-15,9.729999542236328
2024-10-16,9.859999656677246
2024-10-17,10.220000267028809
2024-10-18,10.770000457763672
2024-10-21,10.9399995803833
2024-10-22,10.930000305175781
2024-10-23,11.220000267028809
2024-10-24,11.609999656677246
2024-10-25,12.899999618530273
2024-10-28,12.25
2024-10-29,12.920000076293945
2024-10-30,12.329999923706055
2024-10-31,12.670000076293945
2024-11-01,13.270000457763672
2024-11-04,13.029999732971191
2024-11-05,14.960000038146973
2024-11-06,16.1200008392334
2024-11-07,13.520000457763672
2024-11-08,14.680000305175781
2024-11-11,15.5
2024-11-12,14.3100004196167
2024-11-13,6.239999771118164
2024-11-14,4.360000133514404
2024-11-15,5.019999980926514
2024-11-18,3.3399999141693115
2024-11-19,3.450000047683716
2024-11-20,3.9100000858306885
2024-11-21,1.809999942779541
