Date,AKTS
2022-02-28,6.300000190734863
2022-03-01,6.170000076293945
2022-03-02,6.130000114440918
2022-03-03,5.840000152587891
2022-03-04,5.829999923706055
2022-03-07,5.840000152587891
2022-03-08,5.920000076293945
2022-03-09,6.179999828338623
2022-03-10,6.179999828338623
2022-03-11,5.960000038146973
2022-03-14,5.369999885559082
2022-03-15,5.300000190734863
2022-03-16,5.800000190734863
2022-03-17,6.050000190734863
2022-03-18,6.320000171661377
2022-03-21,5.989999771118164
2022-03-22,6.039999961853027
2022-03-23,6.369999885559082
2022-03-24,6.980000019073486
2022-03-25,6.659999847412109
2022-03-28,6.349999904632568
2022-03-29,6.860000133514404
2022-03-30,6.610000133514404
2022-03-31,6.5
2022-04-01,6.539999961853027
2022-04-04,7.059999942779541
2022-04-05,6.71999979019165
2022-04-06,6.210000038146973
2022-04-07,6.070000171661377
2022-04-08,5.900000095367432
2022-04-11,5.690000057220459
2022-04-12,5.599999904632568
2022-04-13,5.699999809265137
2022-04-14,5.559999942779541
2022-04-18,5.380000114440918
2022-04-19,5.400000095367432
2022-04-20,5.289999961853027
2022-04-21,4.989999771118164
2022-04-22,4.75
2022-04-25,4.869999885559082
2022-04-26,4.550000190734863
2022-04-27,4.400000095367432
2022-04-28,4.690000057220459
2022-04-29,4.440000057220459
2022-05-02,4.489999771118164
2022-05-03,4.510000228881836
2022-05-04,4.710000038146973
2022-05-05,4.409999847412109
2022-05-06,4.289999961853027
2022-05-09,3.9000000953674316
2022-05-10,3.819999933242798
2022-05-11,3.630000114440918
2022-05-12,3.640000104904175
2022-05-13,3.890000104904175
2022-05-16,3.819999933242798
2022-05-17,4.050000190734863
2022-05-18,3.859999895095825
2022-05-19,3.7300000190734863
2022-05-20,3.680000066757202
2022-05-23,3.5899999141693115
2022-05-24,3.359999895095825
2022-05-25,3.450000047683716
2022-05-26,3.690000057220459
2022-05-27,4.25
2022-05-31,4.0
2022-06-01,3.9000000953674316
2022-06-02,4.289999961853027
2022-06-03,4.150000095367432
2022-06-06,4.480000019073486
2022-06-07,4.400000095367432
2022-06-08,4.170000076293945
2022-06-09,4.079999923706055
2022-06-10,3.869999885559082
2022-06-13,3.5399999618530273
2022-06-14,3.4000000953674316
2022-06-15,3.5199999809265137
2022-06-16,3.359999895095825
2022-06-17,3.5199999809265137
2022-06-21,3.7899999618530273
2022-06-22,3.9700000286102295
2022-06-23,4.159999847412109
2022-06-24,4.309999942779541
2022-06-27,4.059999942779541
2022-06-28,3.7899999618530273
2022-06-29,3.6500000953674316
2022-06-30,3.700000047683716
2022-07-01,3.609999895095825
2022-07-05,3.7899999618530273
2022-07-06,3.609999895095825
2022-07-07,3.5999999046325684
2022-07-08,3.6700000762939453
2022-07-11,3.430000066757202
2022-07-12,3.450000047683716
2022-07-13,3.5
2022-07-14,3.4200000762939453
2022-07-15,3.5899999141693115
2022-07-18,3.609999895095825
2022-07-19,3.930000066757202
2022-07-20,4.150000095367432
2022-07-21,4.28000020980835
2022-07-22,4.119999885559082
2022-07-25,3.950000047683716
2022-07-26,3.7899999618530273
2022-07-27,4.0
2022-07-28,4.090000152587891
2022-07-29,4.28000020980835
2022-08-01,4.369999885559082
2022-08-02,4.400000095367432
2022-08-03,4.559999942779541
2022-08-04,4.769999980926514
2022-08-05,4.769999980926514
2022-08-08,4.679999828338623
2022-08-09,4.369999885559082
2022-08-10,4.900000095367432
2022-08-11,4.889999866485596
2022-08-12,5.230000019073486
2022-08-15,5.199999809265137
2022-08-16,5.119999885559082
2022-08-17,4.71999979019165
2022-08-18,4.889999866485596
2022-08-19,4.760000228881836
2022-08-22,4.650000095367432
2022-08-23,4.75
2022-08-24,4.829999923706055
2022-08-25,4.869999885559082
2022-08-26,4.590000152587891
2022-08-29,4.480000019073486
2022-08-30,4.369999885559082
2022-08-31,4.380000114440918
2022-09-01,4.28000020980835
2022-09-02,4.099999904632568
2022-09-06,3.8299999237060547
2022-09-07,4.139999866485596
2022-09-08,4.25
2022-09-09,4.429999828338623
2022-09-12,3.9700000286102295
2022-09-13,3.619999885559082
