Date,IRWD
2022-02-28,10.760000228881836
2022-03-01,10.6899995803833
2022-03-02,10.90999984741211
2022-03-03,11.050000190734863
2022-03-04,11.210000038146973
2022-03-07,11.510000228881836
2022-03-08,11.369999885559082
2022-03-09,11.470000267028809
2022-03-10,11.720000267028809
2022-03-11,11.670000076293945
2022-03-14,11.640000343322754
2022-03-15,11.930000305175781
2022-03-16,12.300000190734863
2022-03-17,12.569999694824219
2022-03-18,12.489999771118164
2022-03-21,12.34000015258789
2022-03-22,12.539999961853027
2022-03-23,12.520000457763672
2022-03-24,12.760000228881836
2022-03-25,12.449999809265137
2022-03-28,12.739999771118164
2022-03-29,12.880000114440918
2022-03-30,12.65999984741211
2022-03-31,12.579999923706055
2022-04-01,12.539999961853027
2022-04-04,12.649999618530273
2022-04-05,12.470000267028809
2022-04-06,12.4399995803833
2022-04-07,12.720000267028809
2022-04-08,12.609999656677246
2022-04-11,12.270000457763672
2022-04-12,12.079999923706055
2022-04-13,12.279999732971191
2022-04-14,12.319999694824219
2022-04-18,11.859999656677246
2022-04-19,12.020000457763672
2022-04-20,12.029999732971191
2022-04-21,11.779999732971191
2022-04-22,12.180000305175781
2022-04-25,12.180000305175781
2022-04-26,11.819999694824219
2022-04-27,11.890000343322754
2022-04-28,11.890000343322754
2022-04-29,12.0
2022-05-02,12.109999656677246
2022-05-03,12.149999618530273
2022-05-04,12.399999618530273
2022-05-05,12.239999771118164
2022-05-06,12.029999732971191
2022-05-09,11.880000114440918
2022-05-10,11.359999656677246
2022-05-11,11.399999618530273
2022-05-12,11.729999542236328
2022-05-13,11.59000015258789
2022-05-16,11.520000457763672
2022-05-17,11.649999618530273
2022-05-18,11.40999984741211
2022-05-19,11.460000038146973
2022-05-20,11.390000343322754
2022-05-23,11.369999885559082
2022-05-24,11.069999694824219
2022-05-25,11.069999694824219
2022-05-26,11.1899995803833
2022-05-27,11.380000114440918
2022-05-31,11.270000457763672
2022-06-01,11.220000267028809
2022-06-02,11.1899995803833
2022-06-03,11.279999732971191
2022-06-06,12.0
2022-06-07,12.09000015258789
2022-06-08,12.100000381469727
2022-06-09,12.15999984741211
2022-06-10,11.75
2022-06-13,11.65999984741211
