Date,UONE
2022-02-28,5.320000171661377
2022-03-01,5.289999961853027
2022-03-02,5.309999942779541
2022-03-03,5.369999885559082
2022-03-04,5.619999885559082
2022-03-07,5.239999771118164
2022-03-08,5.179999828338623
2022-03-09,5.269999980926514
2022-03-10,5.230000019073486
2022-03-11,5.050000190734863
2022-03-14,5.090000152587891
2022-03-15,5.119999885559082
2022-03-16,5.170000076293945
2022-03-17,5.28000020980835
2022-03-18,5.380000114440918
2022-03-21,5.599999904632568
2022-03-22,5.730000019073486
2022-03-23,5.920000076293945
2022-03-24,6.210000038146973
2022-03-25,6.619999885559082
2022-03-28,6.440000057220459
2022-03-29,6.579999923706055
2022-03-30,6.239999771118164
2022-03-31,6.25
2022-04-01,6.349999904632568
2022-04-04,6.590000152587891
2022-04-05,6.679999828338623
2022-04-06,6.579999923706055
2022-04-07,6.659999847412109
2022-04-08,6.920000076293945
2022-04-11,7.409999847412109
2022-04-12,8.050000190734863
2022-04-13,8.069999694824219
2022-04-14,8.100000381469727
2022-04-18,8.229999542236328
2022-04-19,8.399999618530273
2022-04-20,8.220000267028809
2022-04-21,7.349999904632568
2022-04-22,6.980000019073486
2022-04-25,7.619999885559082
2022-04-26,7.360000133514404
2022-04-27,7.619999885559082
2022-04-28,7.860000133514404
2022-04-29,8.09000015258789
2022-05-02,8.65999984741211
2022-05-03,8.510000228881836
2022-05-04,8.4399995803833
2022-05-05,8.899999618530273
2022-05-06,9.720000267028809
2022-05-09,9.4399995803833
2022-05-10,9.569999694824219
2022-05-11,9.260000228881836
2022-05-12,8.489999771118164
2022-05-13,9.399999618530273
2022-05-16,11.260000228881836
2022-05-17,11.289999961853027
2022-05-18,10.390000343322754
2022-05-19,10.539999961853027
2022-05-20,10.050000190734863
2022-05-23,10.079999923706055
2022-05-24,10.130000114440918
2022-05-25,10.760000228881836
2022-05-26,10.770000457763672
2022-05-27,12.140000343322754
2022-05-31,12.920000076293945
2022-06-01,12.720000267028809
2022-06-02,13.0
2022-06-03,12.479999542236328
2022-06-06,6.940000057220459
2022-06-07,7.039999961853027
2022-06-08,6.809999942779541
2022-06-09,6.920000076293945
2022-06-10,7.650000095367432
2022-06-13,6.300000190734863
2022-06-14,6.559999942779541
2022-06-15,7.010000228881836
2022-06-16,6.630000114440918
2022-06-17,6.510000228881836
2022-06-21,6.269999980926514
2022-06-22,6.21999979019165
2022-06-23,5.510000228881836
2022-06-24,5.730000019073486
2022-06-27,6.050000190734863
2022-06-28,5.789999961853027
2022-06-29,5.599999904632568
2022-06-30,5.460000038146973
2022-07-01,5.659999847412109
2022-07-05,5.800000190734863
2022-07-06,5.789999961853027
2022-07-07,5.840000152587891
2022-07-08,5.869999885559082
2022-07-11,5.619999885559082
2022-07-12,5.309999942779541
2022-07-13,5.409999847412109
2022-07-14,5.349999904632568
2022-07-15,5.409999847412109
2022-07-18,5.449999809265137
2022-07-19,5.539999961853027
2022-07-20,5.559999942779541
2022-07-21,5.550000190734863
2022-07-22,5.28000020980835
2022-07-25,5.400000095367432
2022-07-26,4.96999979019165
2022-07-27,5.0
2022-07-28,5.090000152587891
2022-07-29,5.03000020980835
2022-08-01,5.179999828338623
2022-08-02,5.159999847412109
2022-08-03,5.300000190734863
2022-08-04,5.380000114440918
2022-08-05,5.380000114440918
2022-08-08,5.440000057220459
2022-08-09,5.190000057220459
2022-08-10,6.130000114440918
2022-08-11,6.489999771118164
2022-08-12,6.599999904632568
2022-08-15,6.460000038146973
2022-08-16,6.25
2022-08-17,6.159999847412109
2022-08-18,6.159999847412109
2022-08-19,5.960000038146973
2022-08-22,5.78000020980835
2022-08-23,5.489999771118164
2022-08-24,5.639999866485596
2022-08-25,5.849999904632568
2022-08-26,5.75
2022-08-29,5.670000076293945
2022-08-30,5.570000171661377
2022-08-31,5.460000038146973
2022-09-01,5.619999885559082
2022-09-02,5.570000171661377
2022-09-06,5.639999866485596
2022-09-07,5.71999979019165
2022-09-08,5.699999809265137
2022-09-09,5.679999828338623
2022-09-12,5.820000171661377
2022-09-13,5.53000020980835
2022-09-14,5.630000114440918
2022-09-15,5.579999923706055
2022-09-16,5.460000038146973
2022-09-19,5.590000152587891
2022-09-20,5.75
2022-09-21,5.75
2022-09-22,5.679999828338623
2022-09-23,5.400000095367432
2022-09-26,5.179999828338623
2022-09-27,5.389999866485596
2022-09-28,5.53000020980835
2022-09-29,5.369999885559082
2022-09-30,5.289999961853027
2022-10-03,5.610000133514404
2022-10-04,5.690000057220459
2022-10-05,5.699999809265137
2022-10-06,5.619999885559082
2022-10-07,5.320000171661377
2022-10-10,5.260000228881836
2022-10-11,5.380000114440918
2022-10-12,5.420000076293945
2022-10-13,5.599999904632568
2022-10-14,5.429999828338623
2022-10-17,5.639999866485596
2022-10-18,5.53000020980835
2022-10-19,5.449999809265137
2022-10-20,5.440000057220459
2022-10-21,5.5
2022-10-24,5.710000038146973
2022-10-25,6.139999866485596
2022-10-26,6.059999942779541
2022-10-27,5.869999885559082
2022-10-28,6.070000171661377
2022-10-31,6.03000020980835
2022-11-01,6.070000171661377
2022-11-02,5.75
2022-11-03,5.800000190734863
2022-11-04,5.909999847412109
2022-11-07,5.940000057220459
2022-11-08,5.909999847412109
2022-11-09,5.369999885559082
2022-11-10,5.539999961853027
2022-11-11,5.590000152587891
2022-11-14,5.650000095367432
2022-11-15,5.510000228881836
2022-11-16,5.599999904632568
2022-11-17,5.599999904632568
2022-11-18,5.590000152587891
2022-11-21,5.510000228881836
2022-11-22,5.460000038146973
2022-11-23,5.420000076293945
