Date,BENF
2022-02-28,792.0
2022-03-01,794.4000244140625
2022-03-02,794.4000244140625
2022-03-03,794.7999877929688
2022-03-04,796.0
2022-03-07,793.5999755859375
2022-03-08,793.5999755859375
2022-03-09,794.5599975585938
2022-03-10,794.4000244140625
2022-03-11,794.4000244140625
2022-03-14,795.2000122070312
2022-03-15,794.4000244140625
2022-03-16,796.47998046875
2022-03-17,794.4000244140625
2022-03-18,794.4000244140625
2022-03-21,795.2000122070312
2022-03-22,795.2000122070312
2022-03-23,795.2000122070312
2022-03-24,796.0
2022-03-25,796.7999877929688
2022-03-28,796.0
2022-03-29,796.0
2022-03-30,796.7999877929688
2022-03-31,796.7999877929688
2022-04-01,797.2000122070312
2022-04-04,796.7999877929688
2022-04-05,796.9600219726562
2022-04-06,796.7999877929688
2022-04-07,796.0
2022-04-08,796.0
2022-04-11,796.0
2022-04-12,796.7999877929688
2022-04-13,798.4000244140625
2022-04-14,798.4000244140625
2022-04-18,798.4000244140625
2022-04-19,798.4000244140625
2022-04-20,798.4000244140625
2022-04-21,797.5999755859375
2022-04-22,798.4000244140625
2022-04-25,797.5999755859375
2022-04-26,800.0
2022-04-27,797.5999755859375
2022-04-28,797.5999755859375
2022-04-29,800.7999877929688
2022-05-02,800.7999877929688
2022-05-03,797.5999755859375
2022-05-04,797.5999755859375
2022-05-05,797.5999755859375
2022-05-06,797.5999755859375
2022-05-09,797.5999755859375
2022-05-10,797.5999755859375
2022-05-11,796.0
2022-05-12,796.7999877929688
2022-05-13,796.7999877929688
2022-05-16,796.0
2022-05-17,796.0
2022-05-18,796.0
2022-05-19,795.2000122070312
2022-05-20,795.2000122070312
2022-05-23,798.4000244140625
2022-05-24,797.5999755859375
2022-05-25,797.5999755859375
2022-05-26,797.5999755859375
2022-05-27,796.0
2022-05-31,797.5999755859375
2022-06-01,796.0
2022-06-02,797.1199951171875
2022-06-03,796.7999877929688
2022-06-06,799.2000122070312
2022-06-07,799.2000122070312
2022-06-08,799.2000122070312
2022-06-09,796.7999877929688
2022-06-10,796.7999877929688
2022-06-13,796.7999877929688
2022-06-14,796.0
2022-06-15,798.7999877929688
