Date,HOUS
2022-02-28,18.18000030517578
2022-03-01,18.0
2022-03-02,18.549999237060547
2022-03-03,18.190000534057617
2022-03-04,17.010000228881836
2022-03-07,15.329999923706055
2022-03-08,15.0
2022-03-09,15.770000457763672
2022-03-10,15.579999923706055
2022-03-11,15.489999771118164
2022-03-14,15.399999618530273
2022-03-15,16.010000228881836
2022-03-16,16.489999771118164
2022-03-17,17.030000686645508
2022-03-18,17.030000686645508
2022-03-21,16.270000457763672
2022-03-22,16.350000381469727
2022-03-23,16.020000457763672
2022-03-24,16.1299991607666
2022-03-25,15.890000343322754
2022-03-28,15.520000457763672
2022-03-29,16.420000076293945
2022-03-30,15.949999809265137
2022-03-31,15.680000305175781
2022-04-01,15.539999961853027
2022-04-04,16.06999969482422
2022-04-05,14.680000305175781
2022-04-06,13.84000015258789
2022-04-07,13.359999656677246
2022-04-08,13.4399995803833
2022-04-11,13.510000228881836
2022-04-12,13.180000305175781
2022-04-13,13.59000015258789
2022-04-14,13.319999694824219
2022-04-18,13.319999694824219
2022-04-19,13.59000015258789
2022-04-20,13.699999809265137
2022-04-21,13.699999809265137
2022-04-22,13.260000228881836
2022-04-25,13.319999694824219
2022-04-26,12.619999885559082
2022-04-27,12.5
2022-04-28,11.75
2022-04-29,10.960000038146973
2022-05-02,11.390000343322754
2022-05-03,11.479999542236328
2022-05-04,11.609999656677246
2022-05-05,11.170000076293945
2022-05-06,11.210000038146973
2022-05-09,10.760000228881836
2022-05-10,10.199999809265137
2022-05-11,9.869999885559082
2022-05-12,10.520000457763672
2022-05-13,10.920000076293945
2022-05-16,11.100000381469727
2022-05-17,11.680000305175781
2022-05-18,11.260000228881836
2022-05-19,11.569999694824219
2022-05-20,11.34000015258789
2022-05-23,11.800000190734863
2022-05-24,11.119999885559082
2022-05-25,11.819999694824219
2022-05-26,12.359999656677246
2022-05-27,12.789999961853027
2022-05-31,12.380000114440918
2022-06-01,12.25
2022-06-02,12.460000038146973
2022-06-03,11.979999542236328
2022-06-06,11.960000038146973
2022-06-07,12.25
2022-06-08,12.079999923706055
2022-06-09,11.65999984741211
2022-06-10,10.960000038146973
2022-06-13,9.9399995803833
2022-06-14,9.40999984741211
2022-06-15,9.880000114440918
2022-06-16,9.220000267028809
2022-06-17,9.34000015258789
2022-06-21,9.4399995803833
2022-06-22,9.710000038146973
2022-06-23,10.180000305175781
2022-06-24,10.3100004196167
2022-06-27,10.069999694824219
2022-06-28,9.859999656677246
2022-06-29,9.859999656677246
2022-06-30,9.829999923706055
2022-07-01,10.430000305175781
2022-07-05,10.760000228881836
2022-07-06,10.5
2022-07-07,10.600000381469727
2022-07-08,10.5
2022-07-11,10.130000114440918
2022-07-12,10.15999984741211
2022-07-13,10.319999694824219
2022-07-14,9.729999542236328
2022-07-15,10.1899995803833
2022-07-18,10.119999885559082
2022-07-19,10.569999694824219
2022-07-20,10.609999656677246
2022-07-21,10.59000015258789
2022-07-22,10.609999656677246
2022-07-25,10.5600004196167
2022-07-26,10.229999542236328
2022-07-27,10.430000305175781
2022-07-28,10.010000228881836
2022-07-29,9.930000305175781
2022-08-01,9.989999771118164
2022-08-02,10.470000267028809
2022-08-03,10.430000305175781
2022-08-04,10.539999961853027
2022-08-05,10.890000343322754
2022-08-08,11.819999694824219
2022-08-09,11.829999923706055
2022-08-10,12.149999618530273
2022-08-11,12.550000190734863
2022-08-12,12.880000114440918
2022-08-15,12.460000038146973
2022-08-16,12.270000457763672
2022-08-17,11.90999984741211
2022-08-18,11.880000114440918
2022-08-19,11.369999885559082
2022-08-22,10.850000381469727
2022-08-23,11.039999961853027
2022-08-24,11.170000076293945
2022-08-25,11.449999809265137
2022-08-26,10.699999809265137
2022-08-29,10.59000015258789
2022-08-30,10.34000015258789
2022-08-31,9.770000457763672
2022-09-01,9.569999694824219
2022-09-02,9.479999542236328
2022-09-06,8.9399995803833
2022-09-07,9.399999618530273
2022-09-08,9.449999809265137
2022-09-09,9.970000267028809
2022-09-12,10.359999656677246
2022-09-13,9.470000267028809
2022-09-14,9.170000076293945
2022-09-15,9.069999694824219
2022-09-16,9.020000457763672
2022-09-19,9.170000076293945
2022-09-20,8.899999618530273
2022-09-21,8.869999885559082
2022-09-22,8.510000228881836
2022-09-23,8.319999694824219
2022-09-26,8.319999694824219
2022-09-27,8.34000015258789
2022-09-28,8.59000015258789
2022-09-29,8.050000190734863
2022-09-30,8.109999656677246
2022-10-03,8.229999542236328
2022-10-04,8.890000343322754
2022-10-05,8.390000343322754
2022-10-06,8.510000228881836
2022-10-07,7.760000228881836
2022-10-10,7.78000020980835
2022-10-11,7.960000038146973
2022-10-12,7.949999809265137
2022-10-13,8.069999694824219
2022-10-14,7.489999771118164
2022-10-17,7.71999979019165
2022-10-18,7.800000190734863
2022-10-19,7.25
2022-10-20,7.199999809265137
2022-10-21,7.349999904632568
2022-10-24,7.139999866485596
2022-10-25,7.699999809265137
2022-10-26,7.650000095367432
2022-10-27,7.789999961853027
2022-10-28,7.900000095367432
2022-10-31,7.429999828338623
2022-11-01,7.340000152587891
2022-11-02,6.829999923706055
