Date,SMX
2023-01-31,16764.0
2023-02-01,17234.25
2023-02-02,15345.0
2023-02-03,14223.0
2023-02-06,13398.0
2023-02-07,12985.5
2023-02-08,12672.0
2023-02-09,12606.0
2023-02-10,12259.5
2023-02-13,12234.75
2023-02-14,11550.0
2023-02-15,11484.0
2023-02-16,11517.0
2023-02-17,10890.0
2023-02-21,10477.5
2023-02-22,11517.0
2023-02-23,13018.5
2023-02-24,12276.0
2023-02-27,11715.0
2023-02-28,24090.0
2023-03-01,19371.0
2023-03-02,16071.0
2023-03-03,15526.5
2023-03-06,13579.5
2023-03-07,10626.0
2023-03-08,6006.0
2023-03-09,6682.5
2023-03-10,6715.5
2023-03-13,4900.5
2023-03-14,5890.5
2023-03-15,4620.0
2023-03-16,2904.0
2023-03-17,2532.75
2023-03-20,2260.5
2023-03-21,2062.5
2023-03-22,1567.5
2023-03-23,2128.5
2023-03-24,1980.0
2023-03-27,1914.0
2023-03-28,1628.550048828125
2023-03-29,1724.25
2023-03-30,1567.5
2023-03-31,1551.0
2023-04-03,1419.0
2023-04-04,1346.4000244140625
2023-04-05,1278.75
2023-04-06,1386.0
2023-04-10,2623.5
2023-04-11,2409.0
2023-04-12,2722.5
2023-04-13,3729.0
2023-04-14,3465.0
2023-04-17,3564.0
2023-04-18,4017.75
2023-04-19,2640.0
2023-04-20,2211.0
2023-04-21,1848.0
2023-04-24,1897.5
2023-04-25,1798.5
2023-04-26,1534.5
2023-04-27,1438.800048828125
2023-04-28,1419.0
2023-05-01,1435.5
2023-05-02,1369.5
2023-05-03,1516.3499755859375
2023-05-04,1452.0
2023-05-05,2128.5
2023-05-08,3027.75
2023-05-09,1848.0
2023-05-10,1864.5
2023-05-11,1699.5
2023-05-12,1584.0
2023-05-15,1815.0
2023-05-16,1650.0
2023-05-17,1650.0
2023-05-18,1584.0
2023-05-19,1699.5
2023-05-22,1610.4000244140625
2023-05-23,1947.0
2023-05-24,1947.0
2023-05-25,1815.0
2023-05-26,1765.5
2023-05-30,1683.0
2023-05-31,1683.0
2023-06-01,1633.5
2023-06-02,1683.0
2023-06-05,1666.5
2023-06-06,1633.5
2023-06-07,1551.0
2023-06-08,1353.0
2023-06-09,1296.9000244140625
2023-06-12,1320.0
2023-06-13,1267.199951171875
2023-06-14,1041.1500244140625
2023-06-15,1034.550048828125
2023-06-16,1054.3499755859375
2023-06-20,990.0
2023-06-21,938.8499755859375
2023-06-22,742.5
2023-06-23,295.3500061035156
2023-06-26,280.5
2023-06-27,272.25
2023-06-28,232.64999389648438
2023-06-29,224.39999389648438
2023-06-30,209.5500030517578
2023-07-03,239.25
2023-07-05,306.8999938964844
2023-07-06,260.70001220703125
2023-07-07,260.70001220703125
2023-07-10,242.5500030517578
2023-07-11,227.6999969482422
2023-07-12,229.35000610351562
2023-07-13,226.0500030517578
2023-07-14,221.10000610351562
2023-07-17,226.0500030517578
2023-07-18,240.89999389648438
2023-07-19,308.54998779296875
2023-07-20,247.5
2023-07-21,231.0
2023-07-24,206.25
2023-07-25,227.6999969482422
2023-07-26,219.4499969482422
2023-07-27,214.5
2023-07-28,211.1999969482422
2023-07-31,221.10000610351562
2023-08-01,212.85000610351562
2023-08-02,202.9499969482422
2023-08-03,206.25
2023-08-04,202.9499969482422
2023-08-07,198.0
2023-08-08,184.8000030517578
2023-08-09,179.85000610351562
2023-08-10,188.10000610351562
2023-08-11,214.5
2023-08-14,198.0
2023-08-15,193.0500030517578
2023-08-16,199.64999389648438
2023-08-17,211.1999969482422
2023-08-18,174.89999389648438
2023-08-21,144.75
2023-08-22,138.0
2023-08-23,134.25
2023-08-24,137.3249969482422
2023-08-25,132.0
2023-08-28,117.0
2023-08-29,109.5
2023-08-30,118.5
2023-08-31,132.75
2023-09-01,123.75
2023-09-05,126.0
