Date,GSM
2022-02-28,7.829999923706055
2022-03-01,7.360000133514404
2022-03-02,7.420000076293945
2022-03-03,8.819999694824219
2022-03-04,9.359999656677246
2022-03-07,8.489999771118164
2022-03-08,8.180000305175781
2022-03-09,8.229999542236328
2022-03-10,8.84000015258789
2022-03-11,8.210000038146973
2022-03-14,7.449999809265137
2022-03-15,7.269999980926514
2022-03-16,7.550000190734863
2022-03-17,7.690000057220459
2022-03-18,7.610000133514404
2022-03-21,7.769999980926514
2022-03-22,8.119999885559082
2022-03-23,8.0600004196167
2022-03-24,8.390000343322754
2022-03-25,8.0600004196167
2022-03-28,7.860000133514404
2022-03-29,8.460000038146973
2022-03-30,7.769999980926514
2022-03-31,7.699999809265137
2022-04-01,7.940000057220459
2022-04-04,7.539999961853027
2022-04-05,7.230000019073486
2022-04-06,7.059999942779541
2022-04-07,7.179999828338623
2022-04-08,7.349999904632568
2022-04-11,7.329999923706055
2022-04-12,7.449999809265137
2022-04-13,7.769999980926514
2022-04-14,8.079999923706055
2022-04-18,8.199999809265137
2022-04-19,8.630000114440918
2022-04-20,8.359999656677246
2022-04-21,7.769999980926514
2022-04-22,7.150000095367432
2022-04-25,7.269999980926514
2022-04-26,6.800000190734863
2022-04-27,6.659999847412109
2022-04-28,6.909999847412109
2022-04-29,6.449999809265137
2022-05-02,6.460000038146973
2022-05-03,6.579999923706055
2022-05-04,7.039999961853027
2022-05-05,6.789999961853027
2022-05-06,6.610000133514404
2022-05-09,5.949999809265137
2022-05-10,6.360000133514404
2022-05-11,6.78000020980835
2022-05-12,6.789999961853027
2022-05-13,7.360000133514404
2022-05-16,7.389999866485596
2022-05-17,7.670000076293945
2022-05-18,7.230000019073486
2022-05-19,7.03000020980835
2022-05-20,6.920000076293945
2022-05-23,6.78000020980835
2022-05-24,6.420000076293945
2022-05-25,7.099999904632568
2022-05-26,7.380000114440918
2022-05-27,7.5
2022-05-31,7.179999828338623
2022-06-01,7.559999942779541
2022-06-02,7.710000038146973
2022-06-03,7.71999979019165
2022-06-06,7.800000190734863
2022-06-07,8.010000228881836
2022-06-08,7.840000152587891
2022-06-09,7.579999923706055
2022-06-10,7.320000171661377
2022-06-13,6.699999809265137
2022-06-14,6.71999979019165
2022-06-15,6.690000057220459
2022-06-16,5.71999979019165
2022-06-17,5.789999961853027
2022-06-21,5.960000038146973
2022-06-22,5.630000114440918
2022-06-23,5.590000152587891
2022-06-24,6.190000057220459
2022-06-27,6.110000133514404
2022-06-28,6.210000038146973
2022-06-29,5.989999771118164
2022-06-30,5.940000057220459
2022-07-01,6.099999904632568
2022-07-05,5.730000019073486
2022-07-06,5.579999923706055
2022-07-07,5.900000095367432
2022-07-08,5.78000020980835
2022-07-11,5.909999847412109
2022-07-12,5.420000076293945
2022-07-13,5.599999904632568
2022-07-14,4.929999828338623
2022-07-15,4.96999979019165
2022-07-18,5.369999885559082
2022-07-19,5.46999979019165
2022-07-20,5.489999771118164
2022-07-21,5.449999809265137
2022-07-22,5.429999828338623
2022-07-25,5.630000114440918
2022-07-26,5.449999809265137
2022-07-27,5.679999828338623
2022-07-28,5.809999942779541
2022-07-29,6.150000095367432
2022-08-01,5.909999847412109
2022-08-02,5.909999847412109
2022-08-03,5.869999885559082
2022-08-04,5.860000133514404
2022-08-05,6.190000057220459
2022-08-08,6.239999771118164
2022-08-09,6.269999980926514
2022-08-10,6.539999961853027
2022-08-11,6.639999866485596
2022-08-12,6.840000152587891
2022-08-15,6.869999885559082
2022-08-16,7.380000114440918
2022-08-17,7.320000171661377
2022-08-18,7.21999979019165
2022-08-19,7.110000133514404
2022-08-22,6.889999866485596
2022-08-23,7.28000020980835
2022-08-24,7.050000190734863
2022-08-25,7.050000190734863
2022-08-26,6.78000020980835
2022-08-29,7.050000190734863
2022-08-30,7.099999904632568
2022-08-31,7.0
2022-09-01,6.78000020980835
2022-09-02,6.659999847412109
2022-09-06,6.570000171661377
2022-09-07,6.739999771118164
2022-09-08,6.480000019073486
2022-09-09,6.96999979019165
2022-09-12,6.980000019073486
2022-09-13,6.800000190734863
2022-09-14,7.099999904632568
2022-09-15,6.800000190734863
2022-09-16,6.480000019073486
2022-09-19,6.449999809265137
2022-09-20,6.110000133514404
2022-09-21,5.920000076293945
2022-09-22,5.760000228881836
2022-09-23,5.369999885559082
2022-09-26,5.139999866485596
2022-09-27,5.28000020980835
2022-09-28,5.380000114440918
2022-09-29,5.28000020980835
2022-09-30,5.28000020980835
2022-10-03,5.630000114440918
2022-10-04,6.289999961853027
2022-10-05,6.25
2022-10-06,6.130000114440918
2022-10-07,5.800000190734863
2022-10-10,5.630000114440918
2022-10-11,5.519999980926514
2022-10-12,5.449999809265137
2022-10-13,5.550000190734863
2022-10-14,5.190000057220459
2022-10-17,5.309999942779541
2022-10-18,5.380000114440918
2022-10-19,5.170000076293945
2022-10-20,5.139999866485596
2022-10-21,5.420000076293945
2022-10-24,5.449999809265137
2022-10-25,5.739999771118164
2022-10-26,5.980000019073486
2022-10-27,5.909999847412109
2022-10-28,5.860000133514404
2022-10-31,5.829999923706055
2022-11-01,5.96999979019165
2022-11-02,5.559999942779541
2022-11-03,5.460000038146973
2022-11-04,5.909999847412109
2022-11-07,6.039999961853027
2022-11-08,5.989999771118164
2022-11-09,5.659999847412109
2022-11-10,5.909999847412109
2022-11-11,6.199999809265137
2022-11-14,6.099999904632568
2022-11-15,5.989999771118164
2022-11-16,4.920000076293945
2022-11-17,4.670000076293945
2022-11-18,4.760000228881836
2022-11-21,4.739999771118164
2022-11-22,4.789999961853027
