Date,PLAG
2022-02-28,9.0
2022-03-01,9.199999809265137
2022-03-02,8.800000190734863
2022-03-03,8.300000190734863
2022-03-04,9.399999618530273
2022-03-07,8.100000381469727
2022-03-08,8.600000381469727
2022-03-09,8.800000190734863
2022-03-10,8.300000190734863
2022-03-11,8.5
2022-03-14,8.0
2022-03-15,7.699999809265137
2022-03-16,9.800000190734863
2022-03-17,10.300000190734863
2022-03-18,9.699999809265137
2022-03-21,9.699999809265137
2022-03-22,9.199999809265137
2022-03-23,9.699999809265137
2022-03-24,9.300000190734863
2022-03-25,9.199999809265137
2022-03-28,8.800000190734863
2022-03-29,8.800000190734863
2022-03-30,9.199999809265137
2022-03-31,9.0
2022-04-01,9.399999618530273
2022-04-04,9.399999618530273
2022-04-05,8.899999618530273
2022-04-06,9.0
2022-04-07,8.600000381469727
2022-04-08,9.899999618530273
2022-04-11,11.0
2022-04-12,8.199999809265137
2022-04-13,10.399999618530273
2022-04-14,10.0
2022-04-18,9.300000190734863
2022-04-19,9.300000190734863
2022-04-20,9.199999809265137
2022-04-21,8.699999809265137
2022-04-22,8.699999809265137
2022-04-25,8.199999809265137
2022-04-26,8.300000190734863
2022-04-27,7.300000190734863
2022-04-28,7.800000190734863
2022-04-29,7.800000190734863
2022-05-02,8.0
2022-05-03,7.199999809265137
2022-05-04,6.5
2022-05-05,5.400000095367432
2022-05-06,5.5
2022-05-09,4.699999809265137
2022-05-10,4.5
2022-05-11,4.199999809265137
2022-05-12,4.099999904632568
2022-05-13,4.199999809265137
2022-05-16,4.400000095367432
2022-05-17,5.0
2022-05-18,4.699999809265137
2022-05-19,5.0
2022-05-20,5.300000190734863
2022-05-23,5.0
2022-05-24,4.599999904632568
2022-05-25,4.599999904632568
2022-05-26,7.0
2022-05-27,8.399999618530273
2022-05-31,9.399999618530273
2022-06-01,8.699999809265137
2022-06-02,8.800000190734863
2022-06-03,10.100000381469727
2022-06-06,8.800000190734863
2022-06-07,8.899999618530273
2022-06-08,9.0
2022-06-09,8.600000381469727
2022-06-10,8.600000381469727
2022-06-13,8.100000381469727
2022-06-14,8.100000381469727
2022-06-15,7.900000095367432
2022-06-16,8.399999618530273
2022-06-17,8.0
2022-06-21,8.5
2022-06-22,8.699999809265137
2022-06-23,7.900000095367432
2022-06-24,8.699999809265137
2022-06-27,8.600000381469727
2022-06-28,8.399999618530273
2022-06-29,8.300000190734863
2022-06-30,7.900000095367432
2022-07-01,8.0
2022-07-05,8.0
2022-07-06,7.699999809265137
2022-07-07,7.5
2022-07-08,8.300000190734863
2022-07-11,8.5
2022-07-12,7.699999809265137
2022-07-13,7.900000095367432
2022-07-14,8.300000190734863
2022-07-15,8.100000381469727
2022-07-18,8.0
2022-07-19,8.0
2022-07-20,8.300000190734863
2022-07-21,8.300000190734863
2022-07-22,8.0
2022-07-25,7.900000095367432
2022-07-26,7.400000095367432
2022-07-27,8.899999618530273
2022-07-28,9.100000381469727
2022-07-29,9.699999809265137
2022-08-01,8.600000381469727
2022-08-02,8.5
