Date,AMC
2022-02-28,188.60000610351562
2022-03-01,183.1999969482422
2022-03-02,185.3000030517578
2022-03-03,180.60000610351562
2022-03-04,165.6999969482422
2022-03-07,152.10000610351562
2022-03-08,153.89999389648438
2022-03-09,157.10000610351562
2022-03-10,153.1999969482422
2022-03-11,143.0
2022-03-14,135.60000610351562
2022-03-15,144.8000030517578
2022-03-16,152.3000030517578
2022-03-17,151.89999389648438
2022-03-18,158.0
2022-03-21,158.60000610351562
2022-03-22,182.60000610351562
2022-03-23,207.39999389648438
2022-03-24,202.3000030517578
2022-03-25,202.39999389648438
2022-03-28,293.29998779296875
2022-03-29,294.3999938964844
2022-03-30,256.79998779296875
2022-03-31,246.39999389648438
2022-04-01,233.0
2022-04-04,233.10000610351562
2022-04-05,212.10000610351562
2022-04-06,203.89999389648438
2022-04-07,197.3000030517578
2022-04-08,182.39999389648438
2022-04-11,187.1999969482422
2022-04-12,174.1999969482422
2022-04-13,185.3000030517578
2022-04-14,180.1999969482422
2022-04-18,174.8000030517578
2022-04-19,186.8000030517578
2022-04-20,173.39999389648438
2022-04-21,168.5
2022-04-22,165.1999969482422
2022-04-25,169.60000610351562
2022-04-26,155.0
2022-04-27,158.5
2022-04-28,156.39999389648438
2022-04-29,153.0
2022-05-02,152.60000610351562
2022-05-03,155.10000610351562
2022-05-04,157.1999969482422
2022-05-05,146.89999389648438
2022-05-06,137.60000610351562
2022-05-09,125.19999694824219
2022-05-10,118.4000015258789
2022-05-11,103.69999694824219
2022-05-12,112.0
2022-05-13,118.0999984741211
2022-05-16,117.0999984741211
2022-05-17,129.0
2022-05-18,127.5999984741211
2022-05-19,130.8000030517578
2022-05-20,120.30000305175781
2022-05-23,115.80000305175781
2022-05-24,103.9000015258789
2022-05-25,118.80000305175781
2022-05-26,122.30000305175781
2022-05-27,144.3000030517578
2022-05-31,143.39999389648438
2022-06-01,128.10000610351562
2022-06-02,133.0
2022-06-03,124.5
2022-06-06,119.5
2022-06-07,130.6999969482422
2022-06-08,135.1999969482422
2022-06-09,127.80000305175781
2022-06-10,124.30000305175781
2022-06-13,114.80000305175781
2022-06-14,119.19999694824219
2022-06-15,127.69999694824219
2022-06-16,117.9000015258789
2022-06-17,125.30000305175781
2022-06-21,125.0
2022-06-22,126.0
2022-06-23,120.5
2022-06-24,124.69999694824219
2022-06-27,141.3000030517578
2022-06-28,133.8000030517578
2022-06-29,136.5
2022-06-30,135.5
2022-07-01,135.3000030517578
2022-07-05,127.80000305175781
2022-07-06,125.69999694824219
2022-07-07,144.8000030517578
2022-07-08,146.60000610351562
2022-07-11,149.5
2022-07-12,156.0
2022-07-13,151.39999389648438
2022-07-14,150.60000610351562
2022-07-15,153.6999969482422
2022-07-18,165.39999389648438
