Date,JL
2024-01-24,7.440000057220459
2024-01-25,8.100000381469727
2024-01-26,10.050000190734863
2024-01-29,11.359999656677246
2024-01-30,11.0
2024-01-31,13.25
2024-02-01,13.239999771118164
2024-02-02,12.699999809265137
2024-02-05,12.130000114440918
2024-02-06,13.59000015258789
2024-02-07,15.979999542236328
2024-02-08,14.569999694824219
2024-02-09,14.890000343322754
2024-02-12,15.460000038146973
2024-02-13,15.710000038146973
2024-02-14,17.979999542236328
2024-02-15,18.809999465942383
2024-02-16,17.31399917602539
2024-02-20,17.610000610351562
2024-02-21,18.200000762939453
2024-02-22,18.020000457763672
2024-02-23,19.690000534057617
2024-02-26,17.729999542236328
2024-02-27,16.1200008392334
2024-02-28,12.800000190734863
2024-02-29,2.0
2024-03-01,2.309999942779541
2024-03-04,2.109999895095825
2024-03-05,2.6600000858306885
2024-03-06,2.2100000381469727
2024-03-07,2.190000057220459
2024-03-08,1.8899999856948853
2024-03-11,1.9800000190734863
2024-03-12,1.7999999523162842
2024-03-13,1.8700000047683716
2024-03-14,1.7100000381469727
2024-03-15,1.7400000095367432
2024-03-18,1.590000033378601
2024-03-19,1.399999976158142
2024-03-20,1.4199999570846558
2024-03-21,1.3799999952316284
2024-03-22,1.2100000381469727
2024-03-25,1.2000000476837158
2024-03-26,1.0199999809265137
2024-03-27,1.0299999713897705
2024-03-28,1.0
2024-04-01,0.9610000252723694
2024-04-02,0.9449999928474426
2024-04-03,0.9700000286102295
2024-04-04,0.9100000262260437
2024-04-05,0.8880000114440918
2024-04-08,0.8600000143051147
2024-04-09,0.8220000267028809
2024-04-10,0.8059999942779541
2024-04-11,0.7570000290870667
2024-04-12,0.7799999713897705
2024-04-15,0.6129999756813049
2024-04-16,0.6200000047683716
2024-04-17,0.6290000081062317
2024-04-18,0.6439999938011169
2024-04-19,0.6349999904632568
2024-04-22,0.6890000104904175
2024-04-23,0.7089999914169312
2024-04-24,0.9599999785423279
2024-04-25,0.8489999771118164
2024-04-26,0.8399999737739563
2024-04-29,0.800000011920929
2024-04-30,0.7440000176429749
2024-05-01,0.7770000100135803
2024-05-02,0.7720000147819519
2024-05-03,0.7699999809265137
2024-05-06,0.8009999990463257
2024-05-07,0.8199999928474426
2024-05-08,0.7850000262260437
2024-05-09,0.7900000214576721
2024-05-10,0.7689999938011169
2024-05-13,0.7390000224113464
2024-05-14,0.7639999985694885
2024-05-15,0.7390000224113464
2024-05-16,0.6959999799728394
2024-05-17,0.6859999895095825
2024-05-20,0.6710000038146973
2024-05-21,0.652999997138977
2024-05-22,0.625
2024-05-23,0.6200000047683716
2024-05-24,0.5899999737739563
2024-05-28,0.6179999709129333
2024-05-29,0.6000000238418579
2024-05-30,0.5979999899864197
2024-05-31,0.5839999914169312
2024-06-03,0.5879999995231628
2024-06-04,0.6570000052452087
2024-06-05,0.6209999918937683
2024-06-06,0.6000000238418579
2024-06-07,0.5730000138282776
2024-06-10,0.5709999799728394
2024-06-11,0.5649999976158142
2024-06-12,0.5899999737739563
2024-06-13,0.5899999737739563
2024-06-14,0.5920000076293945
2024-06-17,0.5630000233650208
2024-06-18,0.48500001430511475
2024-06-20,0.45899999141693115
2024-06-21,0.47099998593330383
2024-06-24,0.48500001430511475
2024-06-25,0.47099998593330383
2024-06-26,0.527999997138977
2024-06-27,0.5699999928474426
2024-06-28,0.5189999938011169
2024-07-01,0.49300000071525574
2024-07-02,0.47699999809265137
2024-07-03,0.4650000035762787
2024-07-05,0.5059999823570251
2024-07-08,0.5
2024-07-09,0.47999998927116394
2024-07-10,0.4830000102519989
2024-07-11,0.4869999885559082
2024-07-12,0.4819999933242798
2024-07-15,0.49399998784065247
2024-07-16,0.5189999938011169
2024-07-17,0.5
2024-07-18,0.49300000071525574
2024-07-19,0.49000000953674316
2024-07-22,0.48899999260902405
2024-07-23,0.49000000953674316
2024-07-24,0.4749999940395355
2024-07-25,0.47999998927116394
2024-07-26,0.4779999852180481
2024-07-29,0.49000000953674316
2024-07-30,0.4790000021457672
2024-07-31,0.4699999988079071
2024-08-01,0.4519999921321869
2024-08-02,0.4009999930858612
2024-08-05,0.3700000047683716
2024-08-06,0.3790000081062317
2024-08-07,0.3499999940395355
2024-08-08,0.34200000762939453
2024-08-09,0.3499999940395355
2024-08-12,0.3440000116825104
2024-08-13,0.3540000021457672
2024-08-14,0.3499999940395355
2024-08-15,0.3529999852180481
2024-08-16,0.36000001430511475
2024-08-19,0.36800000071525574
2024-08-20,0.3580000102519989
2024-08-21,0.32199999690055847
2024-08-22,0.3199999928474426
2024-08-23,0.328000009059906
2024-08-26,0.35899999737739563
2024-08-27,0.4009999930858612
2024-08-28,0.3919999897480011
2024-08-29,0.44999998807907104
2024-08-30,0.49900001287460327
2024-09-03,0.43799999356269836
2024-09-04,0.44200000166893005
2024-09-05,0.35199999809265137
2024-09-06,0.42800000309944153
2024-09-09,0.4000000059604645
2024-09-10,0.4050000011920929
2024-09-11,0.41999998688697815
2024-09-12,0.39899998903274536
2024-09-13,0.37599998712539673
2024-09-16,0.36899998784065247
2024-09-17,0.3799999952316284
2024-09-18,0.3709999918937683
2024-09-19,0.375
2024-09-20,0.39899998903274536
2024-09-23,0.3919999897480011
2024-09-24,0.3779999911785126
2024-09-25,0.36800000071525574
2024-09-26,0.3799999952316284
2024-09-27,0.39500001072883606
2024-09-30,0.39500001072883606
2024-10-01,0.39399999380111694
2024-10-02,0.4350000023841858
2024-10-03,0.42500001192092896
2024-10-04,0.4099999964237213
2024-10-07,0.39899998903274536
2024-10-08,0.3930000066757202
