Date,GOVX
2022-02-28,26.549999237060547
2022-03-01,26.25
2022-03-02,25.649999618530273
2022-03-03,22.950000762939453
2022-03-04,22.049999237060547
2022-03-07,21.149999618530273
2022-03-08,22.200000762939453
2022-03-09,23.25
2022-03-10,22.049999237060547
2022-03-11,22.200000762939453
2022-03-14,21.149999618530273
2022-03-15,20.850000381469727
2022-03-16,22.200000762939453
2022-03-17,22.649999618530273
2022-03-18,22.350000381469727
2022-03-21,23.399999618530273
2022-03-22,23.399999618530273
2022-03-23,21.299999237060547
2022-03-24,21.450000762939453
2022-03-25,20.700000762939453
2022-03-28,19.5
2022-03-29,19.950000762939453
2022-03-30,19.200000762939453
2022-03-31,17.25
2022-04-01,15.0
2022-04-04,15.899999618530273
2022-04-05,15.300000190734863
2022-04-06,16.350000381469727
2022-04-07,15.899999618530273
2022-04-08,15.600000381469727
2022-04-11,16.049999237060547
2022-04-12,15.75
2022-04-13,16.200000762939453
2022-04-14,15.600000381469727
2022-04-18,15.149999618530273
2022-04-19,15.300000190734863
2022-04-20,15.449999809265137
2022-04-21,14.550000190734863
2022-04-22,13.395000457763672
2022-04-25,12.885000228881836
2022-04-26,16.649999618530273
2022-04-27,15.449999809265137
2022-04-28,12.270000457763672
2022-04-29,11.850000381469727
2022-05-02,11.505000114440918
2022-05-03,10.5
2022-05-04,11.550000190734863
2022-05-05,10.890000343322754
2022-05-06,11.1899995803833
2022-05-09,10.800000190734863
2022-05-10,9.899999618530273
2022-05-11,9.539999961853027
2022-05-12,9.300000190734863
2022-05-13,10.050000190734863
2022-05-16,9.6899995803833
2022-05-17,10.199999809265137
2022-05-18,10.0649995803833
2022-05-19,10.96500015258789
2022-05-20,20.850000381469727
2022-05-23,34.79999923706055
2022-05-24,34.349998474121094
2022-05-25,25.049999237060547
2022-05-26,31.049999237060547
2022-05-27,30.149999618530273
2022-05-31,26.399999618530273
2022-06-01,29.25
2022-06-02,31.049999237060547
2022-06-03,29.549999237060547
2022-06-06,27.75
2022-06-07,28.350000381469727
2022-06-08,26.549999237060547
2022-06-09,22.950000762939453
2022-06-10,21.299999237060547
2022-06-13,17.25
2022-06-14,21.299999237060547
2022-06-15,18.899999618530273
2022-06-16,18.0
2022-06-17,17.850000381469727
2022-06-21,18.75
2022-06-22,19.649999618530273
2022-06-23,19.649999618530273
2022-06-24,18.899999618530273
2022-06-27,16.049999237060547
2022-06-28,15.300000190734863
2022-06-29,12.824999809265137
2022-06-30,12.449999809265137
2022-07-01,12.149999618530273
2022-07-05,11.699999809265137
2022-07-06,11.819999694824219
2022-07-07,12.104999542236328
2022-07-08,12.28499984741211
2022-07-11,12.225000381469727
2022-07-12,11.53499984741211
2022-07-13,11.279999732971191
2022-07-14,10.274999618530273
2022-07-15,10.020000457763672
2022-07-18,10.079999923706055
2022-07-19,10.095000267028809
2022-07-20,10.5
2022-07-21,10.350000381469727
2022-07-22,9.524999618530273
2022-07-25,23.850000381469727
2022-07-26,25.5
2022-07-27,27.0
2022-07-28,29.850000381469727
2022-07-29,40.95000076293945
2022-08-01,58.5
2022-08-02,45.900001525878906
2022-08-03,41.099998474121094
2022-08-04,53.54999923706055
2022-08-05,48.29999923706055
2022-08-08,43.04999923706055
2022-08-09,42.900001525878906
2022-08-10,40.95000076293945
2022-08-11,40.5
2022-08-12,37.650001525878906
2022-08-15,38.25
2022-08-16,33.75
2022-08-17,33.900001525878906
2022-08-18,29.549999237060547
2022-08-19,25.950000762939453
2022-08-22,25.799999237060547
2022-08-23,25.350000381469727
2022-08-24,25.350000381469727
2022-08-25,19.649999618530273
2022-08-26,18.0
2022-08-29,18.149999618530273
2022-08-30,17.700000762939453
2022-08-31,17.850000381469727
2022-09-01,17.100000381469727
2022-09-02,17.700000762939453
2022-09-06,16.5
2022-09-07,15.899999618530273
2022-09-08,16.350000381469727
2022-09-09,24.600000381469727
2022-09-12,24.899999618530273
2022-09-13,21.899999618530273
2022-09-14,21.899999618530273
2022-09-15,20.700000762939453
2022-09-16,17.25
2022-09-19,18.899999618530273
2022-09-20,16.200000762939453
2022-09-21,16.350000381469727
2022-09-22,14.954999923706055
2022-09-23,17.25
2022-09-26,15.75
2022-09-27,16.200000762939453
2022-09-28,17.399999618530273
2022-09-29,16.5
2022-09-30,16.350000381469727
2022-10-03,16.950000762939453
2022-10-04,17.100000381469727
2022-10-05,16.5
2022-10-06,16.799999237060547
2022-10-07,15.449999809265137
2022-10-10,14.864999771118164
2022-10-11,14.90999984741211
2022-10-12,13.859999656677246
2022-10-13,14.34000015258789
2022-10-14,13.1850004196167
2022-10-17,12.75
2022-10-18,13.095000267028809
2022-10-19,12.675000190734863
2022-10-20,12.720000267028809
2022-10-21,12.75
2022-10-24,12.239999771118164
2022-10-25,13.109999656677246
2022-10-26,16.649999618530273
2022-10-27,14.654999732971191
2022-10-28,14.819999694824219
2022-10-31,14.100000381469727
2022-11-01,13.59000015258789
2022-11-02,12.989999771118164
2022-11-03,13.244999885559082
2022-11-04,13.425000190734863
2022-11-07,13.229999542236328
2022-11-08,12.75
2022-11-09,11.625
2022-11-10,11.579999923706055
2022-11-11,12.449999809265137
2022-11-14,12.210000038146973
2022-11-15,11.925000190734863
2022-11-16,11.460000038146973
2022-11-17,12.329999923706055
2022-11-18,11.819999694824219
2022-11-21,11.069999694824219
2022-11-22,12.899999618530273
2022-11-23,12.135000228881836
2022-11-25,11.835000038146973
2022-11-28,11.670000076293945
2022-11-29,11.774999618530273
2022-11-30,11.90999984741211
2022-12-01,11.970000267028809
2022-12-02,12.300000190734863
