Date,DH
2022-02-28,23.1200008392334
2022-03-01,23.139999389648438
2022-03-02,21.5
2022-03-03,20.969999313354492
2022-03-04,20.34000015258789
2022-03-07,19.670000076293945
2022-03-08,21.56999969482422
2022-03-09,22.049999237060547
2022-03-10,21.5
2022-03-11,19.850000381469727
2022-03-14,18.520000457763672
2022-03-15,19.8799991607666
2022-03-16,21.670000076293945
2022-03-17,23.360000610351562
2022-03-18,24.850000381469727
2022-03-21,23.93000030517578
2022-03-22,24.350000381469727
2022-03-23,24.100000381469727
2022-03-24,23.829999923706055
2022-03-25,23.200000762939453
2022-03-28,23.799999237060547
2022-03-29,24.1299991607666
2022-03-30,23.899999618530273
2022-03-31,24.649999618530273
2022-04-01,25.1200008392334
2022-04-04,25.540000915527344
2022-04-05,25.8700008392334
2022-04-06,25.170000076293945
2022-04-07,25.90999984741211
2022-04-08,25.979999542236328
2022-04-11,24.899999618530273
2022-04-12,26.149999618530273
2022-04-13,25.75
2022-04-14,25.0
2022-04-18,24.040000915527344
2022-04-19,25.8799991607666
2022-04-20,25.84000015258789
2022-04-21,24.559999465942383
2022-04-22,23.959999084472656
2022-04-25,24.31999969482422
2022-04-26,23.209999084472656
2022-04-27,23.049999237060547
2022-04-28,24.350000381469727
2022-04-29,23.649999618530273
2022-05-02,25.170000076293945
2022-05-03,23.260000228881836
2022-05-04,24.1200008392334
2022-05-05,22.479999542236328
2022-05-06,19.905000686645508
2022-05-09,18.440000534057617
2022-05-10,16.559999465942383
2022-05-11,15.420000076293945
2022-05-12,15.930000305175781
2022-05-13,16.979999542236328
2022-05-16,16.649999618530273
2022-05-17,16.690000534057617
2022-05-18,15.710000038146973
2022-05-19,16.450000762939453
2022-05-20,16.469999313354492
2022-05-23,17.3799991607666
2022-05-24,17.110000610351562
2022-05-25,18.049999237060547
2022-05-26,18.100000381469727
2022-05-27,19.479999542236328
2022-05-31,19.549999237060547
2022-06-01,19.1299991607666
2022-06-02,20.15999984741211
2022-06-03,19.440000534057617
2022-06-06,19.079999923706055
2022-06-07,19.8799991607666
2022-06-08,19.639999389648438
2022-06-09,19.479999542236328
2022-06-10,18.780000686645508
2022-06-13,18.170000076293945
2022-06-14,18.610000610351562
2022-06-15,19.200000762939453
2022-06-16,18.5
2022-06-17,19.549999237060547
2022-06-21,21.190000534057617
2022-06-22,22.0
2022-06-23,23.829999923706055
2022-06-24,24.1299991607666
2022-06-27,24.860000610351562
2022-06-28,24.65999984741211
2022-06-29,24.81999969482422
2022-06-30,22.93000030517578
2022-07-01,23.489999771118164
2022-07-05,24.65999984741211
2022-07-06,24.40999984741211
2022-07-07,24.979999542236328
2022-07-08,25.3799991607666
2022-07-11,25.84000015258789
2022-07-12,24.549999237060547
2022-07-13,24.690000534057617
2022-07-14,24.5
2022-07-15,24.6299991607666
2022-07-18,24.149999618530273
2022-07-19,24.110000610351562
2022-07-20,25.649999618530273
2022-07-21,25.649999618530273
2022-07-22,23.209999084472656
2022-07-25,23.809999465942383
2022-07-26,23.829999923706055
2022-07-27,24.709999084472656
2022-07-28,25.579999923706055
2022-07-29,25.979999542236328
