Date,VERU
2022-02-28,5.590000152587891
2022-03-01,5.559999942779541
2022-03-02,5.630000114440918
2022-03-03,5.449999809265137
2022-03-04,5.260000228881836
2022-03-07,5.090000152587891
2022-03-08,5.139999866485596
2022-03-09,5.400000095367432
2022-03-10,5.420000076293945
2022-03-11,5.150000095367432
2022-03-14,4.820000171661377
2022-03-15,4.789999961853027
2022-03-16,4.989999771118164
2022-03-17,5.010000228881836
2022-03-18,5.329999923706055
2022-03-21,5.079999923706055
2022-03-22,5.300000190734863
2022-03-23,5.260000228881836
2022-03-24,5.269999980926514
2022-03-25,5.079999923706055
2022-03-28,5.159999847412109
2022-03-29,5.179999828338623
2022-03-30,4.960000038146973
2022-03-31,4.829999923706055
2022-04-01,4.849999904632568
2022-04-04,5.039999961853027
2022-04-05,4.789999961853027
2022-04-06,4.610000133514404
2022-04-07,4.539999961853027
2022-04-08,4.349999904632568
2022-04-11,12.279999732971191
2022-04-12,10.010000228881836
2022-04-13,14.300000190734863
2022-04-14,14.949999809265137
2022-04-18,11.899999618530273
2022-04-19,12.640000343322754
2022-04-20,11.760000228881836
2022-04-21,11.960000038146973
2022-04-22,11.210000038146973
2022-04-25,14.100000381469727
2022-04-26,13.15999984741211
2022-04-27,13.239999771118164
2022-04-28,12.069999694824219
2022-04-29,11.720000267028809
2022-05-02,10.270000457763672
2022-05-03,8.880000114440918
2022-05-04,9.420000076293945
2022-05-05,9.25
2022-05-06,8.460000038146973
2022-05-09,8.149999618530273
2022-05-10,7.789999961853027
2022-05-11,8.15999984741211
2022-05-12,9.029999732971191
2022-05-13,13.0
2022-05-16,13.5
2022-05-17,15.600000381469727
2022-05-18,15.010000228881836
2022-05-19,14.289999961853027
2022-05-20,13.380000114440918
2022-05-23,14.119999885559082
2022-05-24,12.210000038146973
2022-05-25,12.369999885559082
2022-05-26,12.640000343322754
2022-05-27,12.829999923706055
2022-05-31,12.9399995803833
2022-06-01,12.1899995803833
2022-06-02,13.210000038146973
2022-06-03,14.460000038146973
2022-06-06,13.569999694824219
2022-06-07,15.850000381469727
2022-06-08,15.300000190734863
2022-06-09,13.710000038146973
2022-06-10,13.119999885559082
2022-06-13,12.619999885559082
2022-06-14,12.34000015258789
