Date,LGHL
2022-02-28,41.5
2022-03-01,41.099998474121094
2022-03-02,40.0
2022-03-03,37.5
2022-03-04,36.5
2022-03-07,35.45000076293945
2022-03-08,36.150001525878906
2022-03-09,40.650001525878906
2022-03-10,44.650001525878906
2022-03-11,41.0
2022-03-14,43.25
2022-03-15,52.5
2022-03-16,65.0
2022-03-17,65.5
2022-03-18,69.5
2022-03-21,69.5
2022-03-22,72.5
2022-03-23,76.0
2022-03-24,79.0
2022-03-25,90.0
2022-03-28,88.5
2022-03-29,85.44999694824219
2022-03-30,82.0
2022-03-31,79.5
2022-04-01,81.94999694824219
2022-04-04,91.5
2022-04-05,91.75
2022-04-06,84.5
2022-04-07,86.0
2022-04-08,91.0
2022-04-11,63.0
2022-04-12,66.5
2022-04-13,70.0
2022-04-14,80.0
2022-04-18,82.0
2022-04-19,70.5
2022-04-20,60.25
2022-04-21,55.25
2022-04-22,56.5
2022-04-25,53.5
2022-04-26,53.0
2022-04-27,52.0
2022-04-28,54.0
2022-04-29,51.5
2022-05-02,49.75
2022-05-03,48.25
2022-05-04,45.0
2022-05-05,51.0
2022-05-06,51.5
2022-05-09,50.25
2022-05-10,51.0
2022-05-11,47.0
2022-05-12,48.900001525878906
2022-05-13,53.0
2022-05-16,51.5
2022-05-17,55.25
2022-05-18,49.900001525878906
2022-05-19,50.0
2022-05-20,49.0
2022-05-23,45.0
2022-05-24,50.5
2022-05-25,51.0
2022-05-26,51.5
2022-05-27,50.0
2022-05-31,51.0
2022-06-01,49.5
2022-06-02,51.5
2022-06-03,50.5
2022-06-06,50.0
2022-06-07,49.150001525878906
2022-06-08,49.29999923706055
2022-06-09,52.0
2022-06-10,53.0
2022-06-13,47.95000076293945
2022-06-14,48.45000076293945
2022-06-15,46.400001525878906
2022-06-16,48.0
2022-06-17,47.79999923706055
2022-06-21,50.5
2022-06-22,50.5
2022-06-23,51.5
2022-06-24,48.79999923706055
2022-06-27,49.5
2022-06-28,47.70000076293945
2022-06-29,47.5
2022-06-30,42.5
2022-07-01,44.150001525878906
2022-07-05,52.0
2022-07-06,54.0
2022-07-07,59.5
2022-07-08,64.5
2022-07-11,66.0
2022-07-12,69.0
2022-07-13,69.0
2022-07-14,65.5
2022-07-15,74.0
2022-07-18,56.5
2022-07-19,57.0
2022-07-20,55.5
2022-07-21,53.5
2022-07-22,53.5
2022-07-25,52.75
2022-07-26,53.5
2022-07-27,56.5
2022-07-28,56.0
2022-07-29,51.0
2022-08-01,53.0
2022-08-02,56.5
2022-08-03,60.0
2022-08-04,59.0
2022-08-05,62.5
2022-08-08,67.0
2022-08-09,67.0
2022-08-10,70.5
2022-08-11,70.5
2022-08-12,72.0
2022-08-15,70.5
2022-08-16,70.0
2022-08-17,68.0
2022-08-18,66.0
2022-08-19,65.5
2022-08-22,68.5
2022-08-23,71.5
2022-08-24,72.5
2022-08-25,76.5
2022-08-26,76.5
2022-08-29,81.0
2022-08-30,84.0
2022-08-31,81.0
