Date,LGHL
2022-09-01,84.5
2022-09-02,81.5
2022-09-06,81.0
2022-09-07,82.5
2022-09-08,79.0
2022-09-09,81.75
2022-09-12,86.5
2022-09-13,86.0
2022-09-14,90.0
2022-09-15,91.0
2022-09-16,93.5
2022-09-19,99.0
2022-09-20,99.5
2022-09-21,95.5
2022-09-22,95.5
2022-09-23,100.5
2022-09-26,85.5
2022-09-27,105.0
2022-09-28,99.5
2022-09-29,50.5
2022-09-30,50.0
2022-10-03,48.04999923706055
2022-10-04,50.5
2022-10-05,50.5
2022-10-06,50.5
2022-10-07,50.5
2022-10-10,50.5
2022-10-11,50.5
2022-10-12,50.5
2022-10-13,50.5
2022-10-14,49.20000076293945
2022-10-17,50.5
2022-10-18,50.0
2022-10-19,50.5
2022-10-20,51.0
2022-10-21,51.0
2022-10-24,50.0
2022-10-25,50.5
2022-10-26,50.0
2022-10-27,50.0
2022-10-28,50.0
2022-10-31,50.0
2022-11-01,53.5
2022-11-02,55.0
2022-11-03,64.0
2022-11-04,61.0
2022-11-07,67.5
2022-11-08,73.5
2022-11-09,76.5
2022-11-10,75.5
2022-11-11,75.0
2022-11-14,79.0
2022-11-15,79.0
2022-11-16,89.5
2022-11-17,49.150001525878906
2022-11-18,52.5
2022-11-21,52.5
2022-11-22,52.0
2022-11-23,58.0
2022-11-25,57.0
2022-11-28,70.0
2022-11-29,66.0
2022-11-30,67.5
2022-12-01,70.0
2022-12-02,68.5
2022-12-05,69.5
2022-12-06,73.0
2022-12-07,75.5
2022-12-08,77.0
2022-12-09,75.5
2022-12-12,78.0
2022-12-13,75.0
2022-12-14,76.5
2022-12-15,74.5
2022-12-16,75.0
2022-12-19,73.5
2022-12-20,72.0
2022-12-21,56.0
2022-12-22,54.0
2022-12-23,53.5
2022-12-27,34.0
2022-12-28,40.599998474121094
2022-12-29,35.099998474121094
2022-12-30,35.75
2023-01-03,34.25
2023-01-04,34.099998474121094
2023-01-05,33.95000076293945
2023-01-06,33.5
2023-01-09,34.150001525878906
2023-01-10,36.45000076293945
2023-01-11,37.5
2023-01-12,38.29999923706055
2023-01-13,36.29999923706055
2023-01-17,29.0
2023-01-18,26.5
2023-01-19,27.5
2023-01-20,28.950000762939453
2023-01-23,28.600000381469727
2023-01-24,29.149999618530273
2023-01-25,27.799999237060547
2023-01-26,27.799999237060547
2023-01-27,26.350000381469727
2023-01-30,27.350000381469727
2023-01-31,27.799999237060547
2023-02-01,30.0
2023-02-02,30.350000381469727
2023-02-03,28.0
2023-02-06,28.100000381469727
2023-02-07,28.149999618530273
2023-02-08,26.549999237060547
2023-02-09,25.450000762939453
2023-02-10,24.75
2023-02-13,24.600000381469727
2023-02-14,23.75
2023-02-15,24.0
2023-02-16,24.049999237060547
2023-02-17,23.25
2023-02-21,21.700000762939453
2023-02-22,19.799999237060547
2023-02-23,20.600000381469727
2023-02-24,19.25
2023-02-27,17.25
2023-02-28,17.350000381469727
2023-03-01,17.950000762939453
2023-03-02,17.5
2023-03-03,18.200000762939453
2023-03-06,17.299999237060547
2023-03-07,17.0
2023-03-08,16.0
2023-03-09,16.200000762939453
2023-03-10,15.5
2023-03-13,15.0
2023-03-14,15.0
2023-03-15,13.600000381469727
2023-03-16,14.25
2023-03-17,13.0
2023-03-20,11.949999809265137
2023-03-21,12.0
2023-03-22,12.449999809265137
2023-03-23,12.5
2023-03-24,12.050000190734863
2023-03-27,12.850000381469727
2023-03-28,14.5
2023-03-29,15.0
2023-03-30,15.300000190734863
2023-03-31,15.649999618530273
2023-04-03,16.200000762939453
2023-04-04,14.25
2023-04-05,13.5
2023-04-06,13.149999618530273
2023-04-10,12.199999809265137
2023-04-11,11.399999618530273
2023-04-12,11.399999618530273
2023-04-13,11.25
2023-04-14,12.100000381469727
2023-04-17,11.850000381469727
2023-04-18,12.199999809265137
2023-04-19,11.899999618530273
2023-04-20,11.699999809265137
2023-04-21,11.899999618530273
2023-04-24,11.199999809265137
2023-04-25,11.0
2023-04-26,10.850000381469727
2023-04-27,10.850000381469727
2023-04-28,13.399999618530273
2023-05-01,7.349999904632568
2023-05-02,6.900000095367432
2023-05-03,7.5
2023-05-04,6.050000190734863
2023-05-05,6.650000095367432
2023-05-08,6.75
2023-05-09,6.900000095367432
2023-05-10,7.0
2023-05-11,6.449999809265137
2023-05-12,6.0
2023-05-15,6.25
2023-05-16,6.5
2023-05-17,6.0
2023-05-18,6.5
2023-05-19,6.099999904632568
2023-05-22,6.099999904632568
2023-05-23,5.900000095367432
2023-05-24,5.75
2023-05-25,5.5
2023-05-26,5.150000095367432
2023-05-30,5.199999809265137
2023-05-31,4.849999904632568
2023-06-01,4.5
2023-06-02,4.900000095367432
2023-06-05,5.0
2023-06-06,5.150000095367432
2023-06-07,5.199999809265137
2023-06-08,5.699999809265137
2023-06-09,5.349999904632568
2023-06-12,5.099999904632568
2023-06-13,5.25
2023-06-14,5.099999904632568
2023-06-15,5.199999809265137
2023-06-16,5.650000095367432
2023-06-20,5.650000095367432
2023-06-21,5.5
2023-06-22,6.300000190734863
2023-06-23,7.25
2023-06-26,5.25
2023-06-27,4.800000190734863
2023-06-28,4.849999904632568
2023-06-29,4.800000190734863
2023-06-30,4.75
2023-07-03,4.75
2023-07-05,4.599999904632568
2023-07-06,4.650000095367432
2023-07-07,5.099999904632568
2023-07-10,5.400000095367432
2023-07-11,5.150000095367432
2023-07-12,5.099999904632568
2023-07-13,4.050000190734863
2023-07-14,3.130000114440918
2023-07-17,3.3399999141693115
2023-07-18,3.619999885559082
2023-07-19,3.5799999237060547
2023-07-20,3.7899999618530273
2023-07-21,4.179999828338623
2023-07-24,4.510000228881836
2023-07-25,4.53000020980835
2023-07-26,5.079999923706055
2023-07-27,4.610000133514404
2023-07-28,4.579999923706055
2023-07-31,3.990000009536743
2023-08-01,3.884999990463257
2023-08-02,3.450000047683716
2023-08-03,3.7899999618530273
2023-08-04,3.2100000381469727
2023-08-07,3.119999885559082
2023-08-08,3.0299999713897705
2023-08-09,2.9200000762939453
2023-08-10,3.200000047683716
2023-08-11,3.25
2023-08-14,3.609999895095825
2023-08-15,3.5199999809265137
2023-08-16,3.6700000762939453
2023-08-17,3.2899999618530273
2023-08-18,3.490000009536743
2023-08-21,3.5399999618530273
2023-08-22,3.4000000953674316
2023-08-23,2.930000066757202
2023-08-24,2.9079999923706055
2023-08-25,2.8299999237060547
2023-08-28,2.9000000953674316
2023-08-29,2.759999990463257
2023-08-30,2.799999952316284
2023-08-31,3.509999990463257
2023-09-01,3.0399999618530273
2023-09-05,2.940000057220459
2023-09-06,2.259999990463257
2023-09-07,2.240000009536743
2023-09-08,2.049999952316284
2023-09-11,1.7300000190734863
2023-09-12,1.909999966621399
2023-09-13,1.9700000286102295
2023-09-14,1.8899999856948853
2023-09-15,1.8799999952316284
2023-09-18,1.7300000190734863
2023-09-19,1.559999942779541
2023-09-20,1.6050000190734863
2023-09-21,1.5199999809265137
2023-09-22,1.399999976158142
2023-09-25,1.2599999904632568
2023-09-26,1.1349999904632568
2023-09-27,1.0700000524520874
2023-09-28,0.9950000047683716
2023-09-29,1.0099999904632568
2023-10-02,1.0099999904632568
2023-10-03,0.9200000166893005
2023-10-04,0.9300000071525574
2023-10-05,0.9110000133514404
2023-10-06,0.9010000228881836
2023-10-09,0.9020000100135803
2023-10-10,0.9419999718666077
2023-10-11,0.9570000171661377
2023-10-12,1.100000023841858
2023-10-13,1.159999966621399
2023-10-16,1.1699999570846558
2023-10-17,1.1100000143051147
2023-10-18,1.0700000524520874
2023-10-19,1.0399999618530273
2023-10-20,1.0499999523162842
2023-10-23,1.0789999961853027
2023-10-24,1.2699999809265137
2023-10-25,1.159999966621399
2023-10-26,1.1100000143051147
2023-10-27,1.059999942779541
2023-10-30,1.0
2023-10-31,1.0
2023-11-01,1.0399999618530273
2023-11-02,1.0800000429153442
2023-11-03,1.0700000524520874
2023-11-06,1.093999981880188
2023-11-07,1.149999976158142
2023-11-08,1.1699999570846558
2023-11-09,1.059999942779541
2023-11-10,1.0499999523162842
2023-11-13,1.0099999904632568
2023-11-14,1.100000023841858
2023-11-15,1.190000057220459
2023-11-16,1.1799999475479126
2023-11-17,1.3300000429153442
2023-11-20,1.3600000143051147
2023-11-21,1.350000023841858
2023-11-22,1.2999999523162842
2023-11-24,1.340000033378601
2023-11-27,1.350000023841858
2023-11-28,1.2799999713897705
2023-11-29,1.2999999523162842
2023-11-30,1.2200000286102295
2023-12-01,1.0399999618530273
2023-12-04,0.9649999737739563
2023-12-05,0.9900000095367432
2023-12-06,1.2699999809265137
2023-12-07,1.2000000476837158
2023-12-08,1.2599999904632568
2023-12-11,1.2999999523162842
2023-12-12,1.2599999904632568
2023-12-13,1.190000057220459
2023-12-14,1.1799999475479126
2023-12-15,1.2009999752044678
2023-12-18,1.100000023841858
2023-12-19,1.0700000524520874
2023-12-20,1.1150000095367432
2023-12-21,1.090000033378601
2023-12-22,1.090000033378601
2023-12-26,1.100000023841858
2023-12-27,1.2089999914169312
2023-12-28,1.190000057220459
2023-12-29,1.350000023841858
2024-01-02,1.309999942779541
2024-01-03,1.2599999904632568
2024-01-04,1.1200000047683716
2024-01-05,1.1699999570846558
2024-01-08,1.190000057220459
2024-01-09,1.1799999475479126
2024-01-10,1.2599999904632568
2024-01-11,1.159999966621399
2024-01-12,1.1200000047683716
2024-01-16,1.0199999809265137
2024-01-17,1.059999942779541
2024-01-18,1.0299999713897705
2024-01-19,0.9879999756813049
2024-01-22,1.0099999904632568
2024-01-23,0.9599999785423279
2024-01-24,0.9990000128746033
2024-01-25,0.9850000143051147
2024-01-26,0.9900000095367432
2024-01-29,1.0499999523162842
2024-01-30,1.0210000276565552
2024-01-31,1.0199999809265137
2024-02-01,0.9810000061988831
2024-02-02,0.9900000095367432
2024-02-05,0.9950000047683716
2024-02-06,1.0
2024-02-07,0.9850000143051147
2024-02-08,1.0
2024-02-09,1.0299999713897705
2024-02-12,0.9800000190734863
2024-02-13,1.159999966621399
2024-02-14,1.1100000143051147
2024-02-15,1.0549999475479126
2024-02-16,1.149999976158142
2024-02-20,1.4800000190734863
2024-02-21,1.1699999570846558
2024-02-22,1.0299999713897705
2024-02-23,1.0379999876022339
2024-02-26,1.1200000047683716
2024-02-27,1.059999942779541
2024-02-28,1.0199999809265137
2024-02-29,1.0099999904632568
2024-03-01,1.0399999618530273
2024-03-04,1.0
2024-03-05,0.9399999976158142
2024-03-06,0.9900000095367432
2024-03-07,0.9409999847412109
2024-03-08,0.9300000071525574
2024-03-11,0.9120000004768372
2024-03-12,0.8500000238418579
2024-03-13,0.8389999866485596
2024-03-14,0.8700000047683716
2024-03-15,0.8740000128746033
2024-03-18,0.8539999723434448
2024-03-19,0.8330000042915344
2024-03-20,0.8040000200271606
2024-03-21,0.8009999990463257
2024-03-22,0.8320000171661377
2024-03-25,0.8489999771118164
2024-03-26,0.8199999928474426
2024-03-27,0.8100000023841858
2024-03-28,0.7860000133514404
2024-04-01,0.8399999737739563
2024-04-02,0.7990000247955322
2024-04-03,0.7749999761581421
2024-04-04,0.75
2024-04-05,0.7110000252723694
2024-04-08,0.800000011920929
2024-04-09,0.699999988079071
2024-04-10,0.7149999737739563
2024-04-11,0.6959999799728394
2024-04-12,0.7149999737739563
2024-04-15,0.6909999847412109
2024-04-16,0.7680000066757202
2024-04-17,0.7870000004768372
2024-04-18,0.781000018119812
2024-04-19,0.7350000143051147
2024-04-22,0.7450000047683716
2024-04-23,0.6399999856948853
2024-04-24,0.5899999737739563
2024-04-25,0.5929999947547913
2024-04-26,0.5820000171661377
2024-04-29,0.5350000262260437
2024-04-30,0.4869999885559082
2024-05-01,0.5199999809265137
2024-05-02,0.5
2024-05-03,0.5199999809265137
2024-05-06,0.48399999737739563
2024-05-07,0.4699999988079071
2024-05-08,0.45100000500679016
2024-05-09,0.453000009059906
2024-05-10,0.46000000834465027
2024-05-13,0.4519999921321869
2024-05-14,0.4399999976158142
2024-05-15,0.4490000009536743
2024-05-16,0.48100000619888306
2024-05-17,0.4740000069141388
2024-05-20,0.460999995470047
2024-05-21,0.48100000619888306
2024-05-22,0.5120000243186951
2024-05-23,0.4950000047683716
2024-05-24,0.5400000214576721
2024-05-28,0.5109999775886536
2024-05-29,0.49399998784065247
2024-05-30,0.4779999852180481
2024-05-31,0.4880000054836273
2024-06-03,0.48100000619888306
2024-06-04,0.47999998927116394
2024-06-05,0.4869999885559082
2024-06-06,0.46299999952316284
2024-06-07,0.4440000057220459
2024-06-10,0.45899999141693115
2024-06-11,0.45500001311302185
2024-06-12,0.4440000057220459
2024-06-13,0.46399998664855957
2024-06-14,0.41499999165534973
2024-06-17,0.4020000100135803
2024-06-18,0.3720000088214874
2024-06-20,0.38600000739097595
2024-06-21,0.3889999985694885
2024-06-24,0.4259999990463257
2024-06-25,0.4169999957084656
2024-06-26,0.4000000059604645
2024-06-27,0.41999998688697815
2024-06-28,0.4099999964237213
2024-07-01,0.4099999964237213
2024-07-02,0.41600000858306885
2024-07-03,0.3930000066757202
2024-07-05,0.41600000858306885
2024-07-08,0.38100001215934753
2024-07-09,0.3889999985694885
2024-07-10,0.39500001072883606
2024-07-11,0.38199999928474426
2024-07-12,0.36800000071525574
2024-07-15,0.39899998903274536
2024-07-16,0.39399999380111694
2024-07-17,0.39399999380111694
2024-07-18,0.3889999985694885
2024-07-19,0.37400001287460327
2024-07-22,0.35600000619888306
2024-07-23,0.34599998593330383
2024-07-24,0.3409999907016754
2024-07-25,0.33500000834465027
2024-07-26,0.33000001311302185
2024-07-29,0.3199999928474426
2024-07-30,0.3100000023841858
2024-07-31,0.3269999921321869
2024-08-01,0.3190000057220459
2024-08-02,0.28999999165534973
2024-08-05,0.257999986410141
2024-08-06,0.26499998569488525
2024-08-07,0.2809999883174896
2024-08-08,0.2800000011920929
2024-08-09,0.2879999876022339
2024-08-12,0.2800000011920929
2024-08-13,0.2879999876022339
2024-08-14,0.26899999380111694
2024-08-15,0.26499998569488525
2024-08-16,0.26100000739097595
2024-08-19,0.24400000274181366
2024-08-20,0.23600000143051147
2024-08-21,0.2460000067949295
2024-08-22,0.2409999966621399
2024-08-23,0.2549999952316284
2024-08-26,0.24799999594688416
2024-08-27,0.24199999868869781
2024-08-28,0.22599999606609344
2024-08-29,0.2290000021457672
2024-08-30,0.23600000143051147
2024-09-03,0.22599999606609344
2024-09-04,0.20600000023841858
2024-09-05,0.2240000069141388
2024-09-06,0.2280000001192093
2024-09-09,0.21799999475479126
2024-09-10,0.2070000022649765
2024-09-11,0.23499999940395355
2024-09-12,0.20399999618530273
2024-09-13,0.20600000023841858
2024-09-16,0.1940000057220459
2024-09-17,0.19099999964237213
2024-09-18,0.19200000166893005
2024-09-19,0.20000000298023224
2024-09-20,0.19300000369548798
2024-09-23,0.23499999940395355
2024-09-24,0.23100000619888306
2024-09-25,0.22499999403953552
2024-09-26,0.24199999868869781
2024-09-27,0.2370000034570694
2024-09-30,0.23499999940395355
2024-10-01,0.21699999272823334
2024-10-02,0.23800000548362732
2024-10-03,0.22300000488758087
2024-10-04,0.2280000001192093
2024-10-07,0.2160000056028366
2024-10-08,0.19900000095367432
2024-10-09,0.18400000035762787
2024-10-10,0.18000000715255737
2024-10-11,0.18400000035762787
2024-10-14,0.1940000057220459
2024-10-15,0.20100000500679016
2024-10-16,0.2029999941587448
2024-10-17,0.20999999344348907
2024-10-18,0.23000000417232513
2024-10-21,0.2070000022649765
2024-10-22,0.2199999988079071
2024-10-23,0.20800000429153442
2024-10-24,0.1979999989271164
2024-10-25,0.20100000500679016
2024-10-28,0.19300000369548798
2024-10-29,0.1899999976158142
2024-10-30,0.2029999941587448
2024-10-31,0.1940000057220459
2024-11-01,0.18799999356269836
2024-11-04,0.1860000044107437
2024-11-05,0.1899999976158142
2024-11-06,0.1809999942779541
2024-11-07,0.2029999941587448
2024-11-08,0.210999995470047
2024-11-11,0.20999999344348907
2024-11-12,0.1979999989271164
2024-11-13,0.19900000095367432
2024-11-14,0.19499999284744263
2024-11-15,0.1940000057220459
2024-11-18,0.19900000095367432
2024-11-19,0.1979999989271164
2024-11-20,0.1899999976158142
2024-11-21,0.19599999487400055
