Date,NMHI
2022-04-14,297.6000061035156
2022-04-18,297.6000061035156
2022-04-19,297.6000061035156
2022-04-20,297.6000061035156
2022-04-21,298.5
2022-04-22,297.6000061035156
2022-04-25,297.8999938964844
2022-04-26,298.5
2022-04-27,298.5
2022-04-28,298.5
2022-04-29,298.5
2022-05-02,297.8999938964844
2022-05-03,298.5
2022-05-04,298.5
2022-05-05,297.8999938964844
2022-05-06,298.5
2022-05-09,298.20001220703125
2022-05-10,297.8999938964844
2022-05-11,297.8999938964844
2022-05-12,297.5400085449219
2022-05-13,297.0
2022-05-16,297.0
2022-05-17,297.6000061035156
2022-05-18,297.6000061035156
2022-05-19,297.6000061035156
2022-05-20,297.6000061035156
2022-05-23,297.6000061035156
2022-05-24,297.6000061035156
2022-05-25,297.3900146484375
2022-05-26,297.3900146484375
2022-05-27,297.3900146484375
2022-05-31,297.29998779296875
2022-06-01,298.20001220703125
2022-06-02,298.20001220703125
2022-06-03,298.20001220703125
2022-06-06,297.57000732421875
2022-06-07,297.57000732421875
2022-06-08,297.57000732421875
2022-06-09,297.57000732421875
2022-06-10,297.57000732421875
2022-06-13,297.29998779296875
2022-06-14,297.29998779296875
2022-06-15,297.29998779296875
2022-06-16,297.29998779296875
2022-06-17,297.29998779296875
2022-06-21,297.29998779296875
2022-06-22,297.29998779296875
2022-06-23,297.29998779296875
2022-06-24,297.29998779296875
2022-06-27,297.29998779296875
2022-06-28,297.29998779296875
2022-06-29,296.70001220703125
2022-06-30,297.29998779296875
2022-07-01,297.29998779296875
2022-07-05,297.29998779296875
2022-07-06,297.29998779296875
2022-07-07,297.29998779296875
2022-07-08,297.29998779296875
2022-07-11,297.29998779296875
2022-07-12,297.29998779296875
2022-07-13,297.29998779296875
2022-07-14,297.29998779296875
2022-07-15,297.29998779296875
2022-07-18,297.29998779296875
2022-07-19,297.29998779296875
2022-07-20,297.29998779296875
2022-07-21,297.29998779296875
2022-07-22,297.29998779296875
2022-07-25,297.29998779296875
2022-07-26,297.29998779296875
2022-07-27,297.29998779296875
2022-07-28,297.29998779296875
2022-07-29,297.29998779296875
2022-08-01,297.29998779296875
2022-08-02,297.29998779296875
2022-08-03,300.6000061035156
2022-08-04,300.6000061035156
2022-08-05,299.3999938964844
2022-08-08,299.70001220703125
2022-08-09,299.70001220703125
2022-08-10,299.70001220703125
2022-08-11,299.70001220703125
2022-08-12,299.70001220703125
2022-08-15,299.70001220703125
2022-08-16,299.70001220703125
2022-08-17,299.70001220703125
2022-08-18,299.70001220703125
2022-08-19,299.70001220703125
2022-08-22,299.7900085449219
2022-08-23,300.0
2022-08-24,300.0
2022-08-25,300.0
2022-08-26,300.0
2022-08-29,300.29998779296875
2022-08-30,300.0
2022-08-31,300.0
2022-09-01,300.0
2022-09-02,300.0
2022-09-06,300.6000061035156
2022-09-07,300.6000061035156
2022-09-08,300.6000061035156
2022-09-09,300.6000061035156
2022-09-12,300.8999938964844
2022-09-13,300.6000061035156
2022-09-14,300.7799987792969
2022-09-15,300.8999938964844
2022-09-16,300.8999938964844
2022-09-19,300.8999938964844
2022-09-20,300.8999938964844
2022-09-21,300.8999938964844
2022-09-22,300.8999938964844
2022-09-23,300.8999938964844
2022-09-26,300.8999938964844
2022-09-27,300.8999938964844
2022-09-28,301.20001220703125
2022-09-29,301.20001220703125
