Date,STFS
2024-10-11,3.259999990463257
2024-10-14,3.359999895095825
2024-10-15,3.0199999809265137
2024-10-16,3.119999885559082
2024-10-17,3.984999895095825
2024-10-18,3.6600000858306885
2024-10-21,3.75
2024-10-22,3.5940001010894775
2024-10-23,3.619999885559082
2024-10-24,3.6700000762939453
2024-10-25,3.690000057220459
2024-10-28,3.740000009536743
2024-10-29,3.75
2024-10-30,3.7799999713897705
2024-10-31,3.8299999237060547
2024-11-01,3.940000057220459
2024-11-04,3.880000114440918
2024-11-05,3.8889999389648438
2024-11-06,4.199999809265137
2024-11-07,3.9000000953674316
2024-11-08,4.03000020980835
2024-11-11,3.799999952316284
2024-11-12,3.8499999046325684
2024-11-13,4.070000171661377
2024-11-14,4.119999885559082
2024-11-15,4.46999979019165
2024-11-18,4.260000228881836
2024-11-19,4.300000190734863
2024-11-20,4.349999904632568
2024-11-21,4.539999961853027
