Date,SVRA
2022-02-28,1.159999966621399
2022-03-01,1.149999976158142
2022-03-02,1.1100000143051147
2022-03-03,1.1100000143051147
2022-03-04,1.100000023841858
2022-03-07,1.100000023841858
2022-03-08,1.1100000143051147
2022-03-09,1.1399999856948853
2022-03-10,1.1399999856948853
2022-03-11,1.0800000429153442
2022-03-14,1.0499999523162842
2022-03-15,1.0800000429153442
2022-03-16,1.100000023841858
2022-03-17,1.2000000476837158
2022-03-18,1.2999999523162842
2022-03-21,1.2799999713897705
2022-03-22,1.2999999523162842
2022-03-23,1.25
2022-03-24,1.2300000190734863
2022-03-25,1.2300000190734863
2022-03-28,1.2200000286102295
2022-03-29,1.2400000095367432
2022-03-30,1.2699999809265137
2022-03-31,1.309999942779541
2022-04-01,1.3200000524520874
2022-04-04,1.2799999713897705
2022-04-05,1.2799999713897705
2022-04-06,1.2999999523162842
2022-04-07,1.2899999618530273
2022-04-08,1.3200000524520874
2022-04-11,1.2899999618530273
2022-04-12,1.2899999618530273
2022-04-13,1.2899999618530273
2022-04-14,1.2599999904632568
2022-04-18,1.2599999904632568
2022-04-19,1.25
2022-04-20,1.25
2022-04-21,1.25
2022-04-22,1.2300000190734863
2022-04-25,1.25
2022-04-26,1.1950000524520874
2022-04-27,1.2000000476837158
2022-04-28,1.159999966621399
2022-04-29,1.1799999475479126
2022-05-02,1.1799999475479126
2022-05-03,1.149999976158142
2022-05-04,1.2200000286102295
2022-05-05,1.149999976158142
2022-05-06,1.149999976158142
2022-05-09,1.1100000143051147
2022-05-10,1.100000023841858
2022-05-11,1.1200000047683716
2022-05-12,1.1399999856948853
2022-05-13,1.25
2022-05-16,1.3200000524520874
2022-05-17,1.3600000143051147
2022-05-18,1.350000023841858
2022-05-19,1.3899999856948853
2022-05-20,1.3700000047683716
2022-05-23,1.3200000524520874
2022-05-24,1.3799999952316284
2022-05-25,1.3200000524520874
2022-05-26,1.2799999713897705
2022-05-27,1.3200000524520874
2022-05-31,1.309999942779541
2022-06-01,1.309999942779541
2022-06-02,1.3200000524520874
2022-06-03,1.350000023841858
2022-06-06,1.399999976158142
2022-06-07,1.4299999475479126
2022-06-08,1.4700000286102295
2022-06-09,1.4600000381469727
2022-06-10,1.409999966621399
2022-06-13,1.3899999856948853
2022-06-14,1.3700000047683716
2022-06-15,1.3700000047683716
2022-06-16,1.3300000429153442
2022-06-17,1.2999999523162842
2022-06-21,1.409999966621399
2022-06-22,1.4900000095367432
2022-06-23,1.524999976158142
2022-06-24,1.5700000524520874
2022-06-27,1.5800000429153442
2022-06-28,1.5099999904632568
2022-06-29,1.5399999618530273
2022-06-30,1.5199999809265137
2022-07-01,1.5399999618530273
2022-07-05,1.5199999809265137
2022-07-06,1.6699999570846558
2022-07-07,1.7100000381469727
2022-07-08,1.8600000143051147
2022-07-11,1.8799999952316284
2022-07-12,1.8600000143051147
2022-07-13,1.75
2022-07-14,1.7799999713897705
2022-07-15,1.7799999713897705
2022-07-18,1.809999942779541
2022-07-19,1.8300000429153442
2022-07-20,1.8300000429153442
2022-07-21,1.809999942779541
2022-07-22,1.7899999618530273
2022-07-25,1.7100000381469727
2022-07-26,1.6699999570846558
2022-07-27,1.690000057220459
2022-07-28,1.6799999475479126
2022-07-29,1.6200000047683716
2022-08-01,1.6799999475479126
2022-08-02,1.7100000381469727
2022-08-03,1.7699999809265137
2022-08-04,1.7699999809265137
2022-08-05,1.7400000095367432
2022-08-08,1.75
2022-08-09,1.690000057220459
2022-08-10,1.659999966621399
2022-08-11,1.7000000476837158
2022-08-12,1.7100000381469727
2022-08-15,1.6799999475479126
2022-08-16,1.649999976158142
2022-08-17,1.6299999952316284
2022-08-18,1.6399999856948853
2022-08-19,1.649999976158142
2022-08-22,1.6399999856948853
2022-08-23,1.600000023841858
2022-08-24,1.5800000429153442
2022-08-25,1.600000023841858
2022-08-26,1.4299999475479126
2022-08-29,1.3899999856948853
2022-08-30,1.399999976158142
2022-08-31,1.4299999475479126
2022-09-01,1.409999966621399
2022-09-02,1.4500000476837158
2022-09-06,1.3899999856948853
2022-09-07,1.3899999856948853
2022-09-08,1.4299999475479126
2022-09-09,1.4800000190734863
2022-09-12,1.4900000095367432
2022-09-13,1.4600000381469727
2022-09-14,1.4700000286102295
2022-09-15,1.4900000095367432
2022-09-16,1.5
2022-09-19,1.5
2022-09-20,1.5199999809265137
2022-09-21,1.4700000286102295
2022-09-22,1.4700000286102295
2022-09-23,1.4199999570846558
2022-09-26,1.3600000143051147
2022-09-27,1.440000057220459
2022-09-28,1.5299999713897705
2022-09-29,1.5099999904632568
2022-09-30,1.5499999523162842
2022-10-03,1.5399999618530273
2022-10-04,1.5199999809265137
2022-10-05,1.4900000095367432
2022-10-06,1.3799999952316284
2022-10-07,1.309999942779541
2022-10-10,1.2999999523162842
2022-10-11,1.2599999904632568
2022-10-12,1.2300000190734863
2022-10-13,1.2300000190734863
2022-10-14,1.2200000286102295
2022-10-17,1.1699999570846558
2022-10-18,1.1799999475479126
2022-10-19,1.149999976158142
2022-10-20,1.1699999570846558
2022-10-21,1.2300000190734863
2022-10-24,1.2000000476837158
2022-10-25,1.2200000286102295
2022-10-26,1.1699999570846558
2022-10-27,1.2400000095367432
2022-10-28,1.2400000095367432
2022-10-31,1.2300000190734863
2022-11-01,1.1799999475479126
2022-11-02,1.1699999570846558
2022-11-03,1.149999976158142
2022-11-04,1.1399999856948853
2022-11-07,1.1200000047683716
2022-11-08,1.159999966621399
2022-11-09,1.1100000143051147
2022-11-10,1.1399999856948853
