Date,WTI
2022-02-28,4.860000133514404
2022-03-01,5.110000133514404
2022-03-02,5.420000076293945
2022-03-03,5.210000038146973
2022-03-04,5.78000020980835
2022-03-07,6.21999979019165
2022-03-08,5.909999847412109
2022-03-09,5.349999904632568
2022-03-10,5.070000171661377
2022-03-11,5.03000020980835
2022-03-14,4.559999942779541
2022-03-15,4.329999923706055
2022-03-16,4.260000228881836
2022-03-17,4.480000019073486
2022-03-18,4.420000076293945
2022-03-21,4.420000076293945
2022-03-22,4.320000171661377
2022-03-23,4.289999961853027
2022-03-24,4.239999771118164
2022-03-25,4.409999847412109
2022-03-28,4.019999980926514
2022-03-29,4.0
2022-03-30,3.9700000286102295
2022-03-31,3.819999933242798
2022-04-01,4.21999979019165
2022-04-04,4.510000228881836
2022-04-05,4.409999847412109
2022-04-06,4.170000076293945
2022-04-07,4.230000019073486
2022-04-08,4.28000020980835
2022-04-11,4.170000076293945
2022-04-12,4.190000057220459
2022-04-13,4.28000020980835
2022-04-14,4.400000095367432
2022-04-18,4.889999866485596
2022-04-19,5.130000114440918
2022-04-20,5.349999904632568
2022-04-21,5.059999942779541
2022-04-22,4.960000038146973
2022-04-25,4.730000019073486
2022-04-26,4.679999828338623
2022-04-27,4.75
2022-04-28,4.880000114440918
2022-04-29,4.760000228881836
2022-05-02,4.610000133514404
2022-05-03,4.949999809265137
2022-05-04,5.900000095367432
2022-05-05,5.730000019073486
2022-05-06,5.650000095367432
2022-05-09,4.929999828338623
2022-05-10,4.889999866485596
2022-05-11,5.099999904632568
2022-05-12,5.099999904632568
2022-05-13,5.510000228881836
2022-05-16,5.730000019073486
2022-05-17,5.889999866485596
2022-05-18,5.630000114440918
2022-05-19,5.610000133514404
2022-05-20,5.579999923706055
2022-05-23,5.880000114440918
2022-05-24,5.96999979019165
2022-05-25,6.300000190734863
2022-05-26,6.289999961853027
2022-05-27,6.610000133514404
2022-05-31,6.730000019073486
2022-06-01,7.329999923706055
2022-06-02,7.269999980926514
2022-06-03,7.860000133514404
2022-06-06,7.940000057220459
2022-06-07,8.859999656677246
2022-06-08,8.720000267028809
2022-06-09,8.550000190734863
2022-06-10,8.460000038146973
2022-06-13,7.570000171661377
2022-06-14,7.260000228881836
2022-06-15,7.28000020980835
2022-06-16,6.619999885559082
2022-06-17,5.670000076293945
2022-06-21,5.539999961853027
2022-06-22,4.960000038146973
2022-06-23,4.630000114440918
2022-06-24,4.610000133514404
2022-06-27,4.949999809265137
2022-06-28,5.070000171661377
2022-06-29,4.579999923706055
2022-06-30,4.320000171661377
2022-07-01,4.309999942779541
2022-07-05,3.9200000762939453
2022-07-06,3.7200000286102295
2022-07-07,4.03000020980835
2022-07-08,4.019999980926514
2022-07-11,3.9200000762939453
2022-07-12,3.8299999237060547
2022-07-13,3.859999895095825
2022-07-14,3.7300000190734863
2022-07-15,3.859999895095825
2022-07-18,4.239999771118164
2022-07-19,4.409999847412109
2022-07-20,4.449999809265137
2022-07-21,3.9800000190734863
2022-07-22,3.880000114440918
2022-07-25,4.289999961853027
2022-07-26,4.340000152587891
2022-07-27,4.670000076293945
2022-07-28,4.739999771118164
2022-07-29,4.96999979019165
