Date,CAN
2022-02-28,5.269999980926514
2022-03-01,5.320000171661377
2022-03-02,5.409999847412109
2022-03-03,6.25
2022-03-04,5.0
2022-03-07,5.190000057220459
2022-03-08,4.989999771118164
2022-03-09,5.440000057220459
2022-03-10,5.010000228881836
2022-03-11,4.230000019073486
2022-03-14,3.3499999046325684
2022-03-15,3.4600000381469727
2022-03-16,4.760000228881836
2022-03-17,4.789999961853027
2022-03-18,5.25
2022-03-21,5.340000152587891
2022-03-22,5.809999942779541
2022-03-23,6.519999980926514
2022-03-24,6.449999809265137
2022-03-25,5.829999923706055
2022-03-28,6.179999828338623
2022-03-29,6.139999866485596
2022-03-30,5.809999942779541
2022-03-31,5.429999828338623
2022-04-01,5.670000076293945
2022-04-04,6.449999809265137
2022-04-05,6.260000228881836
2022-04-06,6.090000152587891
2022-04-07,5.210000038146973
2022-04-08,4.71999979019165
2022-04-11,4.46999979019165
2022-04-12,4.360000133514404
2022-04-13,4.329999923706055
2022-04-14,4.190000057220459
2022-04-18,4.159999847412109
2022-04-19,4.239999771118164
2022-04-20,4.139999866485596
2022-04-21,3.950000047683716
2022-04-22,3.890000104904175
2022-04-25,3.940000057220459
2022-04-26,3.680000066757202
2022-04-27,3.7200000286102295
2022-04-28,3.890000104904175
2022-04-29,3.799999952316284
2022-05-02,3.890000104904175
2022-05-03,3.809999942779541
2022-05-04,3.9200000762939453
2022-05-05,3.569999933242798
2022-05-06,4.099999904632568
2022-05-09,3.059999942779541
2022-05-10,3.180000066757202
2022-05-11,2.859999895095825
2022-05-12,2.859999895095825
2022-05-13,3.0799999237060547
2022-05-16,2.8399999141693115
2022-05-17,3.259999990463257
2022-05-18,3.140000104904175
2022-05-19,3.380000114440918
2022-05-20,3.0999999046325684
2022-05-23,3.200000047683716
2022-05-24,2.9800000190734863
2022-05-25,3.200000047683716
2022-05-26,3.5
2022-05-27,3.609999895095825
2022-05-31,3.740000009536743
2022-06-01,3.569999933242798
2022-06-02,3.75
2022-06-03,3.6700000762939453
2022-06-06,3.759999990463257
2022-06-07,3.809999942779541
2022-06-08,3.9700000286102295
2022-06-09,3.7100000381469727
2022-06-10,3.7300000190734863
2022-06-13,3.25
2022-06-14,3.1500000953674316
2022-06-15,3.259999990463257
2022-06-16,3.049999952316284
2022-06-17,3.1600000858306885
2022-06-21,3.259999990463257
2022-06-22,3.1700000762939453
2022-06-23,3.380000114440918
2022-06-24,3.5199999809265137
2022-06-27,3.490000009536743
2022-06-28,3.380000114440918
2022-06-29,3.3299999237060547
2022-06-30,3.2200000286102295
2022-07-01,3.2300000190734863
2022-07-05,3.4600000381469727
2022-07-06,3.369999885559082
2022-07-07,3.7100000381469727
2022-07-08,3.9000000953674316
2022-07-11,3.759999990463257
2022-07-12,3.7899999618530273
2022-07-13,3.799999952316284
2022-07-14,3.809999942779541
2022-07-15,3.7699999809265137
