Date,GNS
2022-04-12,305.0
2022-04-13,194.3000030517578
2022-04-14,79.5
2022-04-18,63.5
2022-04-19,60.70000076293945
2022-04-20,58.0
2022-04-21,57.70000076293945
2022-04-22,62.29999923706055
2022-04-25,59.70000076293945
2022-04-26,58.099998474121094
2022-04-27,61.20000076293945
2022-04-28,59.599998474121094
2022-04-29,57.5
2022-05-02,57.099998474121094
2022-05-03,62.099998474121094
2022-05-04,59.900001525878906
2022-05-05,56.5
2022-05-06,57.5
2022-05-09,57.400001525878906
2022-05-10,57.02000045776367
2022-05-11,58.099998474121094
2022-05-12,58.099998474121094
2022-05-13,59.400001525878906
2022-05-16,60.0
2022-05-17,60.0
2022-05-18,58.5
2022-05-19,64.0
2022-05-20,61.0
2022-05-23,59.900001525878906
2022-05-24,61.70000076293945
2022-05-25,67.4000015258789
2022-05-26,78.0
2022-05-27,77.4000015258789
2022-05-31,82.0999984741211
2022-06-01,77.0999984741211
2022-06-02,78.0
2022-06-03,83.5
2022-06-06,83.30000305175781
2022-06-07,84.69999694824219
2022-06-08,87.5
2022-06-09,82.69999694824219
2022-06-10,83.30000305175781
2022-06-13,84.0999984741211
2022-06-14,94.0999984741211
2022-06-15,93.30000305175781
2022-06-16,91.19999694824219
2022-06-17,96.80000305175781
2022-06-21,105.5999984741211
2022-06-22,106.80000305175781
2022-06-23,95.5999984741211
2022-06-24,65.5
2022-06-27,65.19999694824219
2022-06-28,63.29999923706055
2022-06-29,59.0
2022-06-30,59.0
2022-07-01,59.70000076293945
2022-07-05,61.900001525878906
2022-07-06,59.599998474121094
2022-07-07,64.69999694824219
2022-07-08,60.0
2022-07-11,58.5
2022-07-12,61.0
2022-07-13,59.0
2022-07-14,59.599998474121094
2022-07-15,55.599998474121094
2022-07-18,56.099998474121094
2022-07-19,54.900001525878906
2022-07-20,55.5
2022-07-21,57.599998474121094
2022-07-22,53.5
2022-07-25,47.900001525878906
2022-07-26,41.599998474121094
2022-07-27,38.20000076293945
2022-07-28,39.79999923706055
2022-07-29,39.0
2022-08-01,39.5
2022-08-02,39.79999923706055
2022-08-03,38.900001525878906
2022-08-04,41.70000076293945
2022-08-05,38.900001525878906
2022-08-08,39.70000076293945
2022-08-09,39.900001525878906
2022-08-10,47.29999923706055
2022-08-11,48.900001525878906
2022-08-12,51.79999923706055
2022-08-15,59.400001525878906
2022-08-16,62.599998474121094
2022-08-17,63.79999923706055
2022-08-18,85.0999984741211
2022-08-19,77.5
2022-08-22,51.70000076293945
2022-08-23,35.900001525878906
2022-08-24,29.200000762939453
2022-08-25,26.899999618530273
2022-08-26,26.200000762939453
2022-08-29,26.299999237060547
2022-08-30,25.200000762939453
2022-08-31,26.5
2022-09-01,24.299999237060547
2022-09-02,24.100000381469727
2022-09-06,25.0
2022-09-07,24.399999618530273
2022-09-08,25.700000762939453
2022-09-09,25.200000762939453
2022-09-12,25.299999237060547
2022-09-13,23.299999237060547
2022-09-14,23.299999237060547
2022-09-15,22.399999618530273
2022-09-16,22.950000762939453
2022-09-19,22.049999237060547
2022-09-20,22.0
2022-09-21,22.899999618530273
2022-09-22,21.600000381469727
2022-09-23,22.0
2022-09-26,22.0
2022-09-27,22.0
2022-09-28,22.100000381469727
2022-09-29,21.899999618530273
2022-09-30,22.100000381469727
2022-10-03,21.799999237060547
2022-10-04,21.700000762939453
2022-10-05,22.600000381469727
2022-10-06,22.0
2022-10-07,21.899999618530273
2022-10-10,20.399999618530273
2022-10-11,18.299999237060547
2022-10-12,18.0
2022-10-13,17.799999237060547
2022-10-14,18.5
2022-10-17,19.5
2022-10-18,19.399999618530273
2022-10-19,18.0
2022-10-20,15.199999809265137
2022-10-21,14.100000381469727
2022-10-24,14.899999618530273
2022-10-25,14.199999809265137
2022-10-26,15.399999618530273
2022-10-27,16.0
2022-10-28,13.5
2022-10-31,10.600000381469727
2022-11-01,9.0
2022-11-02,8.880000114440918
2022-11-03,7.699999809265137
2022-11-04,7.199999809265137
2022-11-07,6.269999980926514
2022-11-08,5.730000019073486
2022-11-09,5.150000095367432
2022-11-10,5.699999809265137
2022-11-11,5.800000190734863
2022-11-14,5.110000133514404
2022-11-15,5.159999847412109
2022-11-16,5.010000228881836
2022-11-17,4.900000095367432
2022-11-18,4.909999847412109
2022-11-21,4.909999847412109
2022-11-22,4.900000095367432
2022-11-23,4.800000190734863
2022-11-25,4.679999828338623
2022-11-28,4.510000228881836
2022-11-29,4.849999904632568
2022-11-30,5.5
2022-12-01,4.21999979019165
2022-12-02,4.050000190734863
2022-12-05,4.239999771118164
2022-12-06,3.759999990463257
2022-12-07,3.4800000190734863
2022-12-08,3.5
2022-12-09,3.5
2022-12-12,3.5
2022-12-13,3.3299999237060547
2022-12-14,3.380000114440918
2022-12-15,3.200000047683716
2022-12-16,3.180000066757202
2022-12-19,3.200000047683716
2022-12-20,3.190000057220459
2022-12-21,3.450000047683716
2022-12-22,3.3299999237060547
2022-12-23,3.4700000286102295
2022-12-27,3.25
2022-12-28,3.299999952316284
2022-12-29,3.4000000953674316
2022-12-30,3.299999952316284
2023-01-03,3.1500000953674316
2023-01-04,3.859999895095825
2023-01-05,3.950000047683716
2023-01-06,3.9600000381469727
2023-01-09,3.609999895095825
2023-01-10,3.75
2023-01-11,4.039999961853027
2023-01-12,4.150000095367432
2023-01-13,4.739999771118164
2023-01-17,5.789999961853027
2023-01-18,5.360000133514404
2023-01-19,20.899999618530273
2023-01-20,32.400001525878906
2023-01-23,47.099998474121094
2023-01-24,45.5
2023-01-25,41.0
2023-01-26,33.099998474121094
