Date,ADCT
2022-02-28,16.700000762939453
2022-03-01,16.559999465942383
2022-03-02,16.219999313354492
2022-03-03,14.770000457763672
2022-03-04,14.079999923706055
2022-03-07,14.0
2022-03-08,13.920000076293945
2022-03-09,14.699999809265137
2022-03-10,14.289999961853027
2022-03-11,14.020000457763672
2022-03-14,13.539999961853027
2022-03-15,13.619999885559082
2022-03-16,13.899999618530273
2022-03-17,14.630000114440918
2022-03-18,14.25
2022-03-21,13.279999732971191
2022-03-22,13.979999542236328
2022-03-23,13.579999923706055
2022-03-24,13.529999732971191
2022-03-25,13.3100004196167
2022-03-28,14.270000457763672
2022-03-29,14.489999771118164
2022-03-30,14.779999732971191
2022-03-31,14.6899995803833
2022-04-01,14.829999923706055
2022-04-04,14.989999771118164
2022-04-05,14.729999542236328
2022-04-06,14.470000267028809
2022-04-07,14.260000228881836
2022-04-08,13.84000015258789
2022-04-11,13.149999618530273
2022-04-12,14.010000228881836
2022-04-13,14.520000457763672
2022-04-14,14.1899995803833
2022-04-18,13.470000267028809
2022-04-19,13.220000267028809
2022-04-20,13.029999732971191
2022-04-21,12.699999809265137
2022-04-22,12.640000343322754
2022-04-25,12.630000114440918
2022-04-26,11.630000114440918
2022-04-27,11.720000267028809
2022-04-28,11.680000305175781
2022-04-29,11.770000457763672
2022-05-02,11.920000076293945
2022-05-03,12.0
2022-05-04,12.260000228881836
2022-05-05,11.319999694824219
2022-05-06,10.949999809265137
2022-05-09,7.809999942779541
2022-05-10,7.889999866485596
2022-05-11,6.929999828338623
2022-05-12,6.96999979019165
2022-05-13,7.389999866485596
2022-05-16,7.139999866485596
2022-05-17,6.760000228881836
2022-05-18,6.449999809265137
2022-05-19,7.010000228881836
2022-05-20,7.050000190734863
2022-05-23,7.510000228881836
2022-05-24,7.050000190734863
2022-05-25,7.159999847412109
2022-05-26,7.260000228881836
2022-05-27,7.389999866485596
2022-05-31,6.840000152587891
2022-06-01,6.550000190734863
2022-06-02,6.820000171661377
2022-06-03,7.199999809265137
2022-06-06,7.019999980926514
2022-06-07,7.230000019073486
2022-06-08,7.21999979019165
2022-06-09,7.0
2022-06-10,6.670000076293945
2022-06-13,6.300000190734863
2022-06-14,6.070000171661377
2022-06-15,6.050000190734863
2022-06-16,5.960000038146973
2022-06-17,6.349999904632568
2022-06-21,6.78000020980835
2022-06-22,6.559999942779541
2022-06-23,6.880000114440918
2022-06-24,7.889999866485596
2022-06-27,8.020000457763672
2022-06-28,7.739999771118164
2022-06-29,7.789999961853027
2022-06-30,7.949999809265137
2022-07-01,8.539999961853027
2022-07-05,8.850000381469727
2022-07-06,8.9399995803833
2022-07-07,9.15999984741211
2022-07-08,10.3100004196167
2022-07-11,9.40999984741211
2022-07-12,9.109999656677246
2022-07-13,8.9399995803833
2022-07-14,8.40999984741211
2022-07-15,8.100000381469727
2022-07-18,7.769999980926514
2022-07-19,7.590000152587891
2022-07-20,7.610000133514404
2022-07-21,7.559999942779541
2022-07-22,7.360000133514404
2022-07-25,7.199999809265137
2022-07-26,7.289999961853027
2022-07-27,7.570000171661377
2022-07-28,7.670000076293945
2022-07-29,7.409999847412109
2022-08-01,7.059999942779541
2022-08-02,7.190000057220459
2022-08-03,7.329999923706055
2022-08-04,7.860000133514404
2022-08-05,8.300000190734863
2022-08-08,8.050000190734863
2022-08-09,7.96999979019165
2022-08-10,8.069999694824219
2022-08-11,8.119999885559082
2022-08-12,10.300000190734863
2022-08-15,9.279999732971191
2022-08-16,9.029999732971191
2022-08-17,8.859999656677246
2022-08-18,8.779999732971191
2022-08-19,8.420000076293945
2022-08-22,7.460000038146973
2022-08-23,7.739999771118164
2022-08-24,7.630000114440918
2022-08-25,7.329999923706055
2022-08-26,7.130000114440918
2022-08-29,7.090000152587891
2022-08-30,6.75
2022-08-31,6.820000171661377
2022-09-01,6.78000020980835
2022-09-02,6.429999828338623
2022-09-06,6.03000020980835
2022-09-07,6.159999847412109
2022-09-08,6.519999980926514
2022-09-09,6.170000076293945
2022-09-12,6.0
2022-09-13,5.699999809265137
2022-09-14,5.610000133514404
2022-09-15,5.440000057220459
2022-09-16,5.25
2022-09-19,5.480000019073486
2022-09-20,5.289999961853027
2022-09-21,5.070000171661377
2022-09-22,5.050000190734863
2022-09-23,4.889999866485596
2022-09-26,4.659999847412109
2022-09-27,4.820000171661377
2022-09-28,5.090000152587891
2022-09-29,4.889999866485596
2022-09-30,4.820000171661377
2022-10-03,4.829999923706055
2022-10-04,5.239999771118164
2022-10-05,5.099999904632568
2022-10-06,5.010000228881836
2022-10-07,4.760000228881836
2022-10-10,4.289999961853027
2022-10-11,4.110000133514404
2022-10-12,4.300000190734863
2022-10-13,4.46999979019165
2022-10-14,4.699999809265137
2022-10-17,5.03000020980835
2022-10-18,4.920000076293945
2022-10-19,4.690000057220459
2022-10-20,4.679999828338623
2022-10-21,4.78000020980835
2022-10-24,4.550000190734863
2022-10-25,4.650000095367432
2022-10-26,4.769999980926514
2022-10-27,4.519999980926514
2022-10-28,4.579999923706055
2022-10-31,4.440000057220459
2022-11-01,4.420000076293945
2022-11-02,4.130000114440918
2022-11-03,4.369999885559082
2022-11-04,4.230000019073486
2022-11-07,4.260000228881836
2022-11-08,4.139999866485596
2022-11-09,4.010000228881836
2022-11-10,4.0
2022-11-11,4.099999904632568
2022-11-14,4.159999847412109
2022-11-15,4.409999847412109
2022-11-16,4.309999942779541
2022-11-17,4.010000228881836
2022-11-18,3.9200000762939453
2022-11-21,3.7699999809265137
2022-11-22,3.740000009536743
2022-11-23,3.6700000762939453
