Date,ENSC
2022-02-28,268.79998779296875
2022-03-01,302.3999938964844
2022-03-02,280.79998779296875
2022-03-03,271.20001220703125
2022-03-04,256.79998779296875
2022-03-07,230.39999389648438
2022-03-08,237.36000061035156
2022-03-09,258.0
2022-03-10,265.44000244140625
2022-03-11,264.0
2022-03-14,252.0
2022-03-15,259.20001220703125
2022-03-16,259.20001220703125
2022-03-17,264.0
2022-03-18,295.20001220703125
2022-03-21,266.3999938964844
2022-03-22,290.3999938964844
2022-03-23,283.20001220703125
2022-03-24,285.6000061035156
2022-03-25,271.20001220703125
2022-03-28,259.20001220703125
2022-03-29,259.20001220703125
2022-03-30,259.20001220703125
2022-03-31,273.6000061035156
2022-04-01,261.6000061035156
2022-04-04,268.79998779296875
2022-04-05,319.20001220703125
2022-04-06,345.6000061035156
2022-04-07,338.3999938964844
2022-04-08,271.20001220703125
2022-04-11,280.79998779296875
2022-04-12,259.20001220703125
2022-04-13,280.79998779296875
2022-04-14,256.79998779296875
2022-04-18,254.39999389648438
2022-04-19,256.79998779296875
2022-04-20,249.60000610351562
2022-04-21,264.0
2022-04-22,254.39999389648438
2022-04-25,249.60000610351562
2022-04-26,249.60000610351562
2022-04-27,247.1999969482422
2022-04-28,264.0
2022-04-29,264.0
2022-05-02,304.79998779296875
2022-05-03,271.20001220703125
2022-05-04,244.8000030517578
2022-05-05,228.9600067138672
2022-05-06,204.0
2022-05-09,178.32000732421875
2022-05-10,180.9600067138672
2022-05-11,153.60000610351562
2022-05-12,158.39999389648438
2022-05-13,161.27999877929688
2022-05-16,154.0800018310547
2022-05-17,143.0399932861328
2022-05-18,132.9600067138672
2022-05-19,132.9600067138672
2022-05-20,126.4800033569336
2022-05-23,128.63999938964844
2022-05-24,116.16000366210938
2022-05-25,126.0
2022-05-26,123.5999984741211
2022-05-27,127.19999694824219
2022-05-31,134.63999938964844
2022-06-01,136.32000732421875
2022-06-02,143.0399932861328
2022-06-03,130.55999755859375
2022-06-06,125.76000213623047
2022-06-07,135.60000610351562
2022-06-08,135.83999633789062
2022-06-09,127.19999694824219
2022-06-10,118.80000305175781
2022-06-13,112.08000183105469
2022-06-14,110.4000015258789
2022-06-15,113.04000091552734
2022-06-16,115.19999694824219
2022-06-17,108.72000122070312
2022-06-21,100.80000305175781
2022-06-22,102.0
2022-06-23,109.44000244140625
2022-06-24,110.63999938964844
2022-06-27,119.76000213623047
2022-06-28,116.63999938964844
2022-06-29,120.4800033569336
2022-06-30,208.32000732421875
2022-07-01,136.55999755859375
2022-07-05,139.9199981689453
2022-07-06,140.16000366210938
2022-07-07,151.1999969482422
2022-07-08,149.75999450683594
2022-07-11,147.1199951171875
2022-07-12,152.8800048828125
2022-07-13,153.60000610351562
2022-07-14,153.60000610351562
2022-07-15,140.39999389648438
2022-07-18,144.0
2022-07-19,146.39999389648438
2022-07-20,147.83999633789062
2022-07-21,151.9199981689453
