Date,GPUS
2022-02-28,5557.0703125
2022-03-01,5112.5048828125
2022-03-02,5112.5048828125
2022-03-03,4779.08056640625
2022-03-04,4445.65625
2022-03-07,4334.5146484375
2022-03-08,4445.65625
2022-03-09,4667.93896484375
2022-03-10,4556.7978515625
2022-03-11,4334.5146484375
2022-03-14,3334.2421875
2022-03-15,2945.247314453125
2022-03-16,3223.100830078125
2022-03-17,3056.388671875
2022-03-18,3111.95947265625
2022-03-21,4612.36865234375
2022-03-22,4390.08544921875
2022-03-23,3889.94921875
2022-03-24,4112.23193359375
2022-03-25,4612.36865234375
2022-03-28,5279.216796875
2022-03-29,4834.6513671875
2022-03-30,4612.36865234375
2022-03-31,4667.93896484375
2022-04-01,4278.9443359375
2022-04-04,4001.090576171875
2022-04-05,3612.095703125
2022-04-06,3667.66650390625
2022-04-07,3500.954345703125
2022-04-08,3334.2421875
2022-04-11,3167.530029296875
2022-04-12,3000.818115234375
2022-04-13,3223.100830078125
2022-04-14,3056.388671875
2022-04-18,3945.52001953125
2022-04-19,3389.81298828125
2022-04-20,3056.388671875
2022-04-21,2834.10595703125
2022-04-22,2722.964599609375
2022-04-25,2667.393798828125
2022-04-26,2389.540283203125
2022-04-27,2222.828125
2022-04-28,2278.39892578125
2022-04-29,2222.828125
2022-05-02,2278.39892578125
2022-05-03,2167.25732421875
2022-05-04,2167.25732421875
2022-05-05,1944.974609375
2022-05-06,1778.2625732421875
2022-05-09,1500.4090576171875
2022-05-10,1555.979736328125
2022-05-11,1333.6968994140625
2022-05-12,1389.267578125
2022-05-13,1667.12109375
2022-05-16,1555.979736328125
2022-05-17,1667.12109375
2022-05-18,1667.12109375
2022-05-19,1778.2625732421875
2022-05-20,1778.2625732421875
2022-05-23,1722.6917724609375
2022-05-24,1611.5504150390625
2022-05-25,1722.6917724609375
2022-05-26,1778.2625732421875
2022-05-27,2000.5452880859375
2022-05-31,2111.686767578125
2022-06-01,2333.969482421875
2022-06-02,2278.39892578125
2022-06-03,2056.115966796875
2022-06-06,2000.5452880859375
2022-06-07,1944.974609375
2022-06-08,1833.833251953125
2022-06-09,1667.12109375
2022-06-10,1555.979736328125
2022-06-13,1389.267578125
2022-06-14,1333.6968994140625
2022-06-15,1555.979736328125
2022-06-16,1667.12109375
2022-06-17,1611.5504150390625
2022-06-21,1611.5504150390625
2022-06-22,1611.5504150390625
2022-06-23,1500.4090576171875
2022-06-24,1555.979736328125
2022-06-27,1555.979736328125
2022-06-28,1444.8382568359375
2022-06-29,1555.979736328125
2022-06-30,1500.4090576171875
2022-07-01,1555.979736328125
2022-07-05,1889.4039306640625
2022-07-06,1833.833251953125
2022-07-07,1944.974609375
2022-07-08,2000.5452880859375
2022-07-11,1722.6917724609375
2022-07-12,1778.2625732421875
2022-07-13,1778.2625732421875
2022-07-14,1722.6917724609375
2022-07-15,1722.6917724609375
2022-07-18,1833.833251953125
2022-07-19,2000.5452880859375
2022-07-20,2056.115966796875
2022-07-21,1944.974609375
2022-07-22,1778.2625732421875
2022-07-25,1722.6917724609375
2022-07-26,1555.979736328125
2022-07-27,1722.6917724609375
2022-07-28,1722.6917724609375
2022-07-29,1722.6917724609375
2022-08-01,1722.6917724609375
2022-08-02,1722.6917724609375
2022-08-03,1722.6917724609375
2022-08-04,1611.5504150390625
2022-08-05,1667.12109375
2022-08-08,1889.4039306640625
2022-08-09,1778.2625732421875
2022-08-10,1944.974609375
2022-08-11,1944.974609375
2022-08-12,2056.115966796875
2022-08-15,2111.686767578125
2022-08-16,1833.833251953125
2022-08-17,1889.4039306640625
2022-08-18,1778.2625732421875
2022-08-19,1778.2625732421875
2022-08-22,1667.12109375
2022-08-23,1667.12109375
2022-08-24,1667.12109375
2022-08-25,1667.12109375
2022-08-26,1611.5504150390625
2022-08-29,1667.12109375
2022-08-30,1611.5504150390625
2022-08-31,1667.12109375
2022-09-01,1611.5504150390625
2022-09-02,1611.5504150390625
2022-09-06,1611.5504150390625
2022-09-07,1667.12109375
2022-09-08,1611.5504150390625
2022-09-09,1555.979736328125
2022-09-12,1555.979736328125
2022-09-13,1389.267578125
2022-09-14,1389.267578125
2022-09-15,1444.8382568359375
2022-09-16,1389.267578125
2022-09-19,1278.126220703125
2022-09-20,1222.5555419921875
2022-09-21,1166.9847412109375
2022-09-22,1111.4140625
2022-09-23,1055.8433837890625
2022-09-26,1055.8433837890625
2022-09-27,1111.4140625
2022-09-28,1166.9847412109375
2022-09-29,1055.8433837890625
2022-09-30,1000.2726440429688
2022-10-03,1055.8433837890625
2022-10-04,1111.4140625
2022-10-05,1055.8433837890625
2022-10-06,1000.2726440429688
2022-10-07,944.7019653320312
2022-10-10,1000.2726440429688
2022-10-11,1000.2726440429688
2022-10-12,1000.2726440429688
2022-10-13,1000.2726440429688
2022-10-14,944.7019653320312
2022-10-17,1000.2726440429688
2022-10-18,1000.2726440429688
2022-10-19,1000.2726440429688
2022-10-20,944.7019653320312
2022-10-21,1000.2726440429688
2022-10-24,944.7019653320312
2022-10-25,1000.2726440429688
2022-10-26,944.7019653320312
2022-10-27,944.7019653320312
2022-10-28,944.7019653320312
2022-10-31,944.7019653320312
2022-11-01,944.7019653320312
2022-11-02,889.1312866210938
2022-11-03,889.1312866210938
2022-11-04,889.1312866210938
2022-11-07,889.1312866210938
2022-11-08,777.9898681640625
2022-11-09,666.8484497070312
2022-11-10,777.9898681640625
2022-11-11,833.560546875
2022-11-14,777.9898681640625
2022-11-15,777.9898681640625
2022-11-16,777.9898681640625
2022-11-17,777.9898681640625
2022-11-18,833.560546875
2022-11-21,777.9898681640625
2022-11-22,722.4191284179688
2022-11-23,833.560546875
2022-11-25,833.560546875
2022-11-28,777.9898681640625
2022-11-29,777.9898681640625
2022-11-30,722.4191284179688
2022-12-01,777.9898681640625
2022-12-02,777.9898681640625
2022-12-05,722.4191284179688
2022-12-06,666.8484497070312
2022-12-07,611.2777709960938
2022-12-08,611.2777709960938
2022-12-09,666.8484497070312
2022-12-12,666.8484497070312
2022-12-13,666.8484497070312
2022-12-14,722.4191284179688
2022-12-15,611.2777709960938
2022-12-16,555.70703125
2022-12-19,611.2777709960938
2022-12-20,611.2777709960938
2022-12-21,611.2777709960938
2022-12-22,611.2777709960938
2022-12-23,611.2777709960938
2022-12-27,555.70703125
2022-12-28,500.1363220214844
2022-12-29,555.70703125
2022-12-30,666.8484497070312
2023-01-03,722.4191284179688
2023-01-04,722.4191284179688
2023-01-05,777.9898681640625
2023-01-06,722.4191284179688
2023-01-09,777.9898681640625
2023-01-10,722.4191284179688
2023-01-11,777.9898681640625
2023-01-12,777.9898681640625
2023-01-13,777.9898681640625
2023-01-17,833.560546875
2023-01-18,777.9898681640625
2023-01-19,722.4191284179688
2023-01-20,777.9898681640625
2023-01-23,777.9898681640625
2023-01-24,777.9898681640625
2023-01-25,722.4191284179688
2023-01-26,666.8484497070312
2023-01-27,722.4191284179688
2023-01-30,666.8484497070312
2023-01-31,722.4191284179688
2023-02-01,777.9898681640625
2023-02-02,777.9898681640625
2023-02-03,777.9898681640625
2023-02-06,777.9898681640625
2023-02-07,777.9898681640625
2023-02-08,722.4191284179688
2023-02-09,666.8484497070312
2023-02-10,666.8484497070312
2023-02-13,666.8484497070312
2023-02-14,666.8484497070312
