Date,FULC
2022-02-28,11.0
2022-03-01,11.140000343322754
2022-03-02,11.100000381469727
2022-03-03,11.699999809265137
2022-03-04,13.029999732971191
2022-03-07,14.899999618530273
2022-03-08,15.300000190734863
2022-03-09,15.930000305175781
2022-03-10,16.31999969482422
2022-03-11,16.010000228881836
2022-03-14,15.380000114440918
2022-03-15,15.729999542236328
2022-03-16,17.18000030517578
2022-03-17,17.420000076293945
2022-03-18,18.360000610351562
2022-03-21,17.059999465942383
2022-03-22,18.610000610351562
2022-03-23,18.450000762939453
2022-03-24,19.399999618530273
2022-03-25,20.5
2022-03-28,20.510000228881836
2022-03-29,21.510000228881836
2022-03-30,22.3799991607666
2022-03-31,23.649999618530273
2022-04-01,23.739999771118164
2022-04-04,24.0
2022-04-05,23.8700008392334
2022-04-06,22.969999313354492
2022-04-07,22.850000381469727
2022-04-08,21.270000457763672
2022-04-11,18.360000610351562
2022-04-12,16.389999389648438
2022-04-13,13.289999961853027
2022-04-14,13.239999771118164
2022-04-18,13.260000228881836
2022-04-19,12.75
2022-04-20,12.020000457763672
2022-04-21,11.359999656677246
2022-04-22,10.979999542236328
2022-04-25,10.9399995803833
2022-04-26,10.5
2022-04-27,9.949999809265137
2022-04-28,9.890000343322754
2022-04-29,9.619999885559082
2022-05-02,9.800000190734863
2022-05-03,9.600000381469727
2022-05-04,9.5
2022-05-05,8.8100004196167
2022-05-06,8.630000114440918
2022-05-09,7.659999847412109
2022-05-10,7.550000190734863
2022-05-11,7.199999809265137
2022-05-12,7.570000171661377
2022-05-13,8.279999732971191
2022-05-16,8.300000190734863
2022-05-17,8.739999771118164
2022-05-18,8.5
2022-05-19,8.640000343322754
2022-05-20,8.510000228881836
2022-05-23,8.34000015258789
2022-05-24,8.359999656677246
2022-05-25,7.760000228881836
2022-05-26,7.400000095367432
2022-05-27,7.639999866485596
2022-05-31,7.119999885559082
2022-06-01,6.920000076293945
2022-06-02,7.519999980926514
2022-06-03,7.96999979019165
2022-06-06,7.53000020980835
2022-06-07,8.0600004196167
2022-06-08,8.300000190734863
2022-06-09,8.09000015258789
2022-06-10,4.920000076293945
2022-06-13,4.199999809265137
2022-06-14,4.269999980926514
2022-06-15,4.409999847412109
2022-06-16,4.360000133514404
2022-06-17,4.590000152587891
2022-06-21,4.489999771118164
2022-06-22,4.920000076293945
2022-06-23,5.110000133514404
2022-06-24,5.139999866485596
2022-06-27,5.21999979019165
2022-06-28,4.849999904632568
2022-06-29,4.949999809265137
2022-06-30,4.900000095367432
2022-07-01,4.920000076293945
2022-07-05,5.480000019073486
2022-07-06,5.369999885559082
2022-07-07,5.869999885559082
2022-07-08,5.929999828338623
2022-07-11,5.690000057220459
2022-07-12,5.25
2022-07-13,5.25
2022-07-14,5.159999847412109
2022-07-15,5.389999866485596
2022-07-18,5.170000076293945
2022-07-19,5.570000171661377
2022-07-20,5.920000076293945
2022-07-21,5.800000190734863
2022-07-22,5.610000133514404
2022-07-25,5.96999979019165
2022-07-26,6.150000095367432
2022-07-27,6.210000038146973
2022-07-28,6.25
2022-07-29,5.880000114440918
2022-08-01,5.619999885559082
2022-08-02,5.880000114440918
2022-08-03,6.309999942779541
2022-08-04,7.170000076293945
2022-08-05,8.229999542236328
2022-08-08,7.670000076293945
2022-08-09,7.400000095367432
2022-08-10,7.760000228881836
2022-08-11,7.570000171661377
2022-08-12,8.40999984741211
2022-08-15,7.820000171661377
2022-08-16,7.28000020980835
2022-08-17,7.409999847412109
2022-08-18,8.529999732971191
2022-08-19,7.900000095367432
2022-08-22,7.789999961853027
2022-08-23,8.149999618530273
2022-08-24,8.039999961853027
2022-08-25,7.690000057220459
2022-08-26,7.199999809265137
2022-08-29,7.150000095367432
2022-08-30,7.190000057220459
2022-08-31,7.400000095367432
2022-09-01,8.1899995803833
2022-09-02,8.130000114440918
2022-09-06,7.46999979019165
2022-09-07,7.940000057220459
2022-09-08,8.579999923706055
2022-09-09,8.3100004196167
2022-09-12,8.380000114440918
2022-09-13,8.760000228881836
2022-09-14,8.420000076293945
2022-09-15,9.100000381469727
2022-09-16,8.84000015258789
2022-09-19,8.720000267028809
2022-09-20,8.789999961853027
2022-09-21,8.149999618530273
2022-09-22,8.220000267028809
2022-09-23,7.949999809265137
2022-09-26,7.980000019073486
2022-09-27,7.909999847412109
2022-09-28,8.069999694824219
2022-09-29,7.789999961853027
2022-09-30,8.09000015258789
2022-10-03,8.15999984741211
2022-10-04,8.34000015258789
2022-10-05,7.940000057220459
2022-10-06,8.350000381469727
2022-10-07,7.940000057220459
2022-10-10,7.960000038146973
2022-10-11,7.519999980926514
2022-10-12,7.21999979019165
2022-10-13,7.909999847412109
2022-10-14,7.5
2022-10-17,6.96999979019165
2022-10-18,6.980000019073486
2022-10-19,6.519999980926514
2022-10-20,5.539999961853027
2022-10-21,5.429999828338623
2022-10-24,5.010000228881836
2022-10-25,5.079999923706055
2022-10-26,5.380000114440918
2022-10-27,5.159999847412109
2022-10-28,5.429999828338623
2022-10-31,5.559999942779541
2022-11-01,5.800000190734863
2022-11-02,5.519999980926514
2022-11-03,6.099999904632568
2022-11-04,5.78000020980835
2022-11-07,5.610000133514404
2022-11-08,6.449999809265137
2022-11-09,6.949999809265137
2022-11-10,7.269999980926514
2022-11-11,7.139999866485596
2022-11-14,6.809999942779541
2022-11-15,7.179999828338623
2022-11-16,7.25
2022-11-17,6.809999942779541
2022-11-18,6.489999771118164
2022-11-21,6.789999961853027
2022-11-22,6.829999923706055
2022-11-23,6.840000152587891
2022-11-25,6.849999904632568
