Date,BCOV
2022-02-28,7.480000019073486
2022-03-01,7.440000057220459
2022-03-02,7.449999809265137
2022-03-03,7.329999923706055
2022-03-04,7.179999828338623
2022-03-07,7.039999961853027
2022-03-08,7.059999942779541
2022-03-09,7.369999885559082
2022-03-10,7.159999847412109
2022-03-11,6.929999828338623
2022-03-14,6.869999885559082
2022-03-15,6.96999979019165
2022-03-16,7.380000114440918
2022-03-17,7.599999904632568
2022-03-18,7.690000057220459
2022-03-21,7.579999923706055
2022-03-22,7.550000190734863
2022-03-23,7.489999771118164
2022-03-24,7.699999809265137
2022-03-25,7.610000133514404
2022-03-28,7.769999980926514
2022-03-29,7.989999771118164
2022-03-30,7.909999847412109
2022-03-31,7.800000190734863
2022-04-01,7.829999923706055
2022-04-04,8.109999656677246
2022-04-05,7.940000057220459
2022-04-06,7.71999979019165
2022-04-07,7.570000171661377
2022-04-08,7.559999942779541
2022-04-11,7.349999904632568
2022-04-12,7.409999847412109
2022-04-13,7.670000076293945
2022-04-14,7.449999809265137
2022-04-18,7.480000019073486
2022-04-19,7.449999809265137
2022-04-20,7.440000057220459
2022-04-21,7.309999942779541
2022-04-22,7.199999809265137
2022-04-25,7.309999942779541
2022-04-26,6.869999885559082
2022-04-27,6.630000114440918
2022-04-28,7.190000057220459
2022-04-29,7.050000190734863
2022-05-02,7.059999942779541
2022-05-03,7.039999961853027
2022-05-04,7.139999866485596
2022-05-05,6.860000133514404
2022-05-06,7.0
2022-05-09,6.900000095367432
2022-05-10,7.0
2022-05-11,6.949999809265137
2022-05-12,7.170000076293945
2022-05-13,7.46999979019165
2022-05-16,6.849999904632568
2022-05-17,7.010000228881836
2022-05-18,6.980000019073486
2022-05-19,6.960000038146973
2022-05-20,6.960000038146973
2022-05-23,6.809999942779541
2022-05-24,6.78000020980835
2022-05-25,6.829999923706055
2022-05-26,6.840000152587891
2022-05-27,7.050000190734863
2022-05-31,7.039999961853027
2022-06-01,6.940000057220459
2022-06-02,7.110000133514404
2022-06-03,6.889999866485596
2022-06-06,6.989999771118164
2022-06-07,7.050000190734863
2022-06-08,7.099999904632568
2022-06-09,7.190000057220459
2022-06-10,7.0
2022-06-13,6.619999885559082
2022-06-14,6.460000038146973
2022-06-15,6.519999980926514
2022-06-16,6.980000019073486
2022-06-17,6.360000133514404
2022-06-21,6.460000038146973
2022-06-22,6.460000038146973
2022-06-23,6.679999828338623
2022-06-24,6.900000095367432
2022-06-27,6.869999885559082
2022-06-28,6.389999866485596
2022-06-29,6.429999828338623
2022-06-30,6.320000171661377
2022-07-01,6.400000095367432
2022-07-05,6.599999904632568
2022-07-06,6.489999771118164
2022-07-07,6.590000152587891
2022-07-08,6.510000228881836
2022-07-11,6.150000095367432
2022-07-12,6.119999885559082
2022-07-13,5.980000019073486
2022-07-14,5.920000076293945
2022-07-15,6.099999904632568
2022-07-18,6.0
2022-07-19,6.130000114440918
2022-07-20,6.179999828338623
2022-07-21,6.409999847412109
2022-07-22,6.050000190734863
2022-07-25,6.099999904632568
2022-07-26,6.0
