Date,EDBL
2022-05-05,1734.0
2022-05-06,1698.0
2022-05-09,1560.0
2022-05-10,1560.0
2022-05-11,1284.0
2022-05-12,1122.0
2022-05-13,1098.0
2022-05-16,1212.0
2022-05-17,1128.0
2022-05-18,1056.0
2022-05-19,1056.5999755859375
2022-05-20,972.0
2022-05-23,1062.0
2022-05-24,1026.0
2022-05-25,1122.0
2022-05-26,1164.0
2022-05-27,1164.0
2022-05-31,1122.0
2022-06-01,1074.0
2022-06-02,1068.0
2022-06-03,1044.0
2022-06-06,1050.0
2022-06-07,996.0
2022-06-08,1026.0
2022-06-09,1002.0
2022-06-10,978.0
2022-06-13,918.0
2022-06-14,900.0
2022-06-15,912.0
2022-06-16,948.0
2022-06-17,870.0
2022-06-21,1038.0
2022-06-22,948.0
2022-06-23,870.0
2022-06-24,870.0
2022-06-27,798.0
2022-06-28,828.0
2022-06-29,762.0
2022-06-30,774.0
2022-07-01,708.0
2022-07-05,654.0
2022-07-06,702.0
2022-07-07,708.0
2022-07-08,708.0
2022-07-11,719.4000244140625
2022-07-12,780.0
2022-07-13,790.2000122070312
2022-07-14,768.0
2022-07-15,756.0
2022-07-18,738.0
2022-07-19,744.0
2022-07-20,720.0
2022-07-21,714.0
2022-07-22,690.0
2022-07-25,666.0
2022-07-26,639.0
2022-07-27,651.0
2022-07-28,750.0
2022-07-29,798.0
2022-08-01,750.0
2022-08-02,822.0
2022-08-03,810.0
2022-08-04,726.0
2022-08-05,702.0
2022-08-08,696.5999755859375
2022-08-09,684.0
2022-08-10,720.0
2022-08-11,696.0
2022-08-12,702.0
2022-08-15,708.0
2022-08-16,654.0
2022-08-17,648.0
2022-08-18,804.0
2022-08-19,732.0
2022-08-22,708.0
2022-08-23,660.0
2022-08-24,642.0
2022-08-25,645.0
2022-08-26,612.0
2022-08-29,537.0
2022-08-30,504.0
2022-08-31,493.20001220703125
2022-09-01,480.0
2022-09-02,478.79998779296875
2022-09-06,486.0
2022-09-07,498.0
2022-09-08,481.79998779296875
2022-09-09,492.0
2022-09-12,559.2000122070312
2022-09-13,537.0
2022-09-14,568.7999877929688
2022-09-15,546.0
2022-09-16,544.2000122070312
2022-09-19,504.0
2022-09-20,516.0
2022-09-21,499.79998779296875
2022-09-22,497.3999938964844
2022-09-23,439.20001220703125
2022-09-26,438.6000061035156
2022-09-27,426.0
