Date,PLBY
2022-02-28,15.920000076293945
2022-03-01,14.619999885559082
2022-03-02,16.420000076293945
2022-03-03,15.140000343322754
2022-03-04,14.6899995803833
2022-03-07,14.479999542236328
2022-03-08,15.15999984741211
2022-03-09,15.460000038146973
2022-03-10,14.760000228881836
2022-03-11,14.989999771118164
2022-03-14,13.670000076293945
2022-03-15,13.609999656677246
2022-03-16,15.020000457763672
2022-03-17,15.59000015258789
2022-03-18,15.579999923706055
2022-03-21,14.15999984741211
2022-03-22,15.319999694824219
2022-03-23,14.800000190734863
2022-03-24,14.5600004196167
2022-03-25,13.949999809265137
2022-03-28,14.069999694824219
2022-03-29,14.699999809265137
2022-03-30,14.050000190734863
2022-03-31,13.09000015258789
2022-04-01,12.869999885559082
2022-04-04,13.390000343322754
2022-04-05,12.550000190734863
2022-04-06,12.010000228881836
2022-04-07,11.890000343322754
2022-04-08,11.65999984741211
2022-04-11,11.9399995803833
2022-04-12,11.9399995803833
2022-04-13,11.729999542236328
2022-04-14,11.130000114440918
2022-04-18,10.829999923706055
2022-04-19,11.010000228881836
2022-04-20,10.289999961853027
2022-04-21,10.210000038146973
2022-04-22,9.829999923706055
2022-04-25,10.1899995803833
2022-04-26,9.550000190734863
2022-04-27,9.199999809265137
2022-04-28,9.359999656677246
2022-04-29,8.84000015258789
2022-05-02,9.420000076293945
2022-05-03,9.1899995803833
2022-05-04,9.300000190734863
2022-05-05,8.800000190734863
2022-05-06,8.510000228881836
2022-05-09,7.630000114440918
2022-05-10,7.5
2022-05-11,7.829999923706055
2022-05-12,8.640000343322754
2022-05-13,8.9399995803833
2022-05-16,8.670000076293945
2022-05-17,9.930000305175781
2022-05-18,9.449999809265137
2022-05-19,9.0600004196167
2022-05-20,9.100000381469727
2022-05-23,9.260000228881836
2022-05-24,8.779999732971191
2022-05-25,8.949999809265137
2022-05-26,9.329999923706055
2022-05-27,9.199999809265137
2022-05-31,8.859999656677246
2022-06-01,8.479999542236328
2022-06-02,8.869999885559082
2022-06-03,8.609999656677246
2022-06-06,8.539999961853027
2022-06-07,8.470000267028809
2022-06-08,8.619999885559082
2022-06-09,8.25
2022-06-10,8.130000114440918
2022-06-13,7.650000095367432
2022-06-14,7.539999961853027
2022-06-15,7.579999923706055
2022-06-16,7.090000152587891
2022-06-17,7.039999961853027
2022-06-21,7.070000171661377
2022-06-22,7.190000057220459
2022-06-23,7.559999942779541
2022-06-24,7.650000095367432
2022-06-27,7.349999904632568
2022-06-28,6.960000038146973
2022-06-29,6.710000038146973
2022-06-30,6.400000095367432
2022-07-01,6.28000020980835
2022-07-05,6.440000057220459
2022-07-06,6.360000133514404
2022-07-07,6.880000114440918
2022-07-08,6.809999942779541
2022-07-11,6.210000038146973
2022-07-12,6.239999771118164
2022-07-13,6.190000057220459
2022-07-14,6.269999980926514
2022-07-15,6.599999904632568
2022-07-18,6.510000228881836
2022-07-19,6.920000076293945
2022-07-20,6.760000228881836
2022-07-21,6.739999771118164
2022-07-22,6.260000228881836
2022-07-25,6.21999979019165
2022-07-26,5.789999961853027
2022-07-27,5.960000038146973
2022-07-28,6.340000152587891
2022-07-29,6.420000076293945
2022-08-01,6.809999942779541
2022-08-02,6.849999904632568
2022-08-03,6.980000019073486
2022-08-04,6.940000057220459
2022-08-05,6.710000038146973
2022-08-08,7.510000228881836
2022-08-09,6.980000019073486
2022-08-10,5.78000020980835
2022-08-11,5.519999980926514
2022-08-12,5.590000152587891
2022-08-15,5.349999904632568
2022-08-16,5.449999809265137
2022-08-17,5.309999942779541
2022-08-18,5.139999866485596
2022-08-19,4.670000076293945
