Date,INVZ
2022-02-28,4.0
2022-03-01,3.8499999046325684
2022-03-02,3.569999933242798
2022-03-03,3.630000114440918
2022-03-04,3.3299999237060547
2022-03-07,3.25
2022-03-08,3.569999933242798
2022-03-09,3.6500000953674316
2022-03-10,3.5799999237060547
2022-03-11,3.319999933242798
2022-03-14,3.109999895095825
2022-03-15,3.259999990463257
2022-03-16,3.4600000381469727
2022-03-17,3.569999933242798
2022-03-18,3.6600000858306885
2022-03-21,3.700000047683716
2022-03-22,3.7899999618530273
2022-03-23,3.680000066757202
2022-03-24,3.759999990463257
2022-03-25,3.640000104904175
2022-03-28,3.690000057220459
2022-03-29,3.7899999618530273
2022-03-30,3.6600000858306885
2022-03-31,3.619999885559082
2022-04-01,3.690000057220459
2022-04-04,4.079999923706055
2022-04-05,3.9200000762939453
2022-04-06,3.690000057220459
2022-04-07,3.5799999237060547
2022-04-08,3.3499999046325684
2022-04-11,3.3299999237060547
2022-04-12,3.319999933242798
2022-04-13,3.440000057220459
2022-04-14,3.3399999141693115
2022-04-18,3.200000047683716
2022-04-19,3.3499999046325684
2022-04-20,3.299999952316284
2022-04-21,3.109999895095825
2022-04-22,2.940000057220459
2022-04-25,3.0999999046325684
2022-04-26,3.119999885559082
2022-04-27,3.359999895095825
2022-04-28,3.6700000762939453
2022-04-29,4.039999961853027
2022-05-02,4.409999847412109
2022-05-03,4.710000038146973
2022-05-04,5.119999885559082
2022-05-05,4.420000076293945
2022-05-06,4.159999847412109
2022-05-09,4.039999961853027
2022-05-10,4.03000020980835
2022-05-11,3.450000047683716
2022-05-12,3.4800000190734863
2022-05-13,4.019999980926514
2022-05-16,3.7300000190734863
2022-05-17,4.349999904632568
2022-05-18,4.25
2022-05-19,4.25
2022-05-20,4.130000114440918
2022-05-23,4.090000152587891
2022-05-24,3.890000104904175
2022-05-25,4.03000020980835
2022-05-26,4.230000019073486
2022-05-27,4.550000190734863
2022-05-31,4.880000114440918
2022-06-01,4.610000133514404
2022-06-02,4.599999904632568
2022-06-03,4.420000076293945
2022-06-06,4.300000190734863
2022-06-07,4.179999828338623
2022-06-08,4.300000190734863
2022-06-09,4.010000228881836
2022-06-10,3.7899999618530273
2022-06-13,3.4700000286102295
2022-06-14,3.549999952316284
2022-06-15,3.8499999046325684
2022-06-16,3.690000057220459
2022-06-17,3.819999933242798
2022-06-21,4.019999980926514
2022-06-22,4.130000114440918
2022-06-23,4.150000095367432
2022-06-24,4.159999847412109
2022-06-27,3.9800000190734863
2022-06-28,3.8399999141693115
2022-06-29,3.7300000190734863
2022-06-30,3.9200000762939453
2022-07-01,3.8299999237060547
2022-07-05,4.019999980926514
2022-07-06,3.9700000286102295
2022-07-07,4.119999885559082
2022-07-08,4.070000171661377
2022-07-11,3.7699999809265137
2022-07-12,3.8399999141693115
2022-07-13,3.859999895095825
2022-07-14,3.819999933242798
2022-07-15,3.7899999618530273
2022-07-18,3.7100000381469727
2022-07-19,3.7300000190734863
2022-07-20,3.7699999809265137
2022-07-21,3.7200000286102295
2022-07-22,3.549999952316284
2022-07-25,3.450000047683716
2022-07-26,3.4000000953674316
2022-07-27,3.5299999713897705
2022-07-28,3.75
2022-07-29,4.019999980926514
2022-08-01,4.0
2022-08-02,4.730000019073486
2022-08-03,5.46999979019165
2022-08-04,5.420000076293945
2022-08-05,5.400000095367432
2022-08-08,5.239999771118164
2022-08-09,5.230000019073486
2022-08-10,6.050000190734863
2022-08-11,5.739999771118164
2022-08-12,6.114999771118164
2022-08-15,5.900000095367432
2022-08-16,5.599999904632568
2022-08-17,5.340000152587891
2022-08-18,5.230000019073486
2022-08-19,4.860000133514404
2022-08-22,4.730000019073486
2022-08-23,4.880000114440918
2022-08-24,5.159999847412109
2022-08-25,5.070000171661377
2022-08-26,4.900000095367432
2022-08-29,4.889999866485596
2022-08-30,4.829999923706055
2022-08-31,5.019999980926514
2022-09-01,4.920000076293945
2022-09-02,4.739999771118164
2022-09-06,5.010000228881836
2022-09-07,4.989999771118164
2022-09-08,5.199999809265137
2022-09-09,5.480000019073486
2022-09-12,5.570000171661377
2022-09-13,5.409999847412109
2022-09-14,5.559999942779541
2022-09-15,5.809999942779541
2022-09-16,5.449999809265137
2022-09-19,5.539999961853027
2022-09-20,5.78000020980835
2022-09-21,5.650000095367432
2022-09-22,5.28000020980835
2022-09-23,5.079999923706055
2022-09-26,4.940000057220459
2022-09-27,5.150000095367432
2022-09-28,5.349999904632568
2022-09-29,4.940000057220459
2022-09-30,5.210000038146973
2022-10-03,5.28000020980835
2022-10-04,5.369999885559082
2022-10-05,5.380000114440918
2022-10-06,5.429999828338623
2022-10-07,5.050000190734863
2022-10-10,4.809999942779541
2022-10-11,4.519999980926514
2022-10-12,4.539999961853027
2022-10-13,4.739999771118164
2022-10-14,4.570000171661377
2022-10-17,4.710000038146973
2022-10-18,4.650000095367432
2022-10-19,4.53000020980835
2022-10-20,4.599999904632568
2022-10-21,4.679999828338623
2022-10-24,4.53000020980835
2022-10-25,4.639999866485596
2022-10-26,4.559999942779541
2022-10-27,4.429999828338623
2022-10-28,4.71999979019165
2022-10-31,5.010000228881836
2022-11-01,4.679999828338623
2022-11-02,4.539999961853027
2022-11-03,4.510000228881836
2022-11-04,4.599999904632568
2022-11-07,4.610000133514404
2022-11-08,4.579999923706055
2022-11-09,4.429999828338623
2022-11-10,5.050000190734863
2022-11-11,5.460000038146973
2022-11-14,5.449999809265137
2022-11-15,5.550000190734863
2022-11-16,5.429999828338623
2022-11-17,5.28000020980835
2022-11-18,5.179999828338623
