Date,IBG
2024-09-26,2.9200000762939453
2024-09-27,2.5290000438690186
2024-09-30,1.9950000047683716
2024-10-01,1.850000023841858
2024-10-02,1.9700000286102295
2024-10-03,2.0739998817443848
2024-10-04,1.9500000476837158
2024-10-07,1.8600000143051147
2024-10-08,1.6100000143051147
2024-10-09,1.309999942779541
2024-10-10,1.0499999523162842
2024-10-11,1.0
2024-10-14,0.800000011920929
2024-10-15,0.7580000162124634
2024-10-16,0.75
2024-10-17,0.7350000143051147
2024-10-18,0.75
2024-10-21,0.7200000286102295
2024-10-22,0.6669999957084656
2024-10-23,0.7289999723434448
2024-10-24,0.7289999723434448
2024-10-25,0.718999981880188
2024-10-28,0.75
2024-10-29,0.6499999761581421
2024-10-30,0.6639999747276306
2024-10-31,0.6349999904632568
2024-11-01,0.621999979019165
2024-11-04,0.6230000257492065
2024-11-05,0.6320000290870667
2024-11-06,0.6200000047683716
2024-11-07,0.6499999761581421
2024-11-08,0.7459999918937683
2024-11-11,0.7300000190734863
2024-11-12,0.6700000166893005
2024-11-13,0.75
2024-11-14,1.0789999961853027
2024-11-15,1.0499999523162842
2024-11-18,0.9399999976158142
2024-11-19,0.8500000238418579
2024-11-20,0.7910000085830688
2024-11-21,1.1699999570846558
