Date,TWG
2024-04-17,1.7300000190734863
2024-04-18,1.850000023841858
2024-04-19,3.7300000190734863
2024-04-22,2.5999999046325684
2024-04-23,1.9500000476837158
2024-04-24,1.9800000190734863
2024-04-25,1.600000023841858
2024-04-26,1.5099999904632568
2024-04-29,1.3899999856948853
2024-04-30,1.1699999570846558
2024-05-01,1.2000000476837158
2024-05-02,1.2599999904632568
2024-05-03,1.159999966621399
2024-05-06,1.1200000047683716
2024-05-07,1.159999966621399
2024-05-08,1.159999966621399
2024-05-09,1.059999942779541
2024-05-10,1.0499999523162842
2024-05-13,1.0499999523162842
2024-05-14,1.0099999904632568
2024-05-15,0.9900000095367432
2024-05-16,1.1200000047683716
2024-05-17,1.159999966621399
2024-05-20,1.149999976158142
2024-05-21,1.0700000524520874
2024-05-22,1.059999942779541
2024-05-23,1.059999942779541
2024-05-24,1.0499999523162842
2024-05-28,1.0499999523162842
2024-05-29,1.0299999713897705
2024-05-30,1.0199999809265137
2024-05-31,0.9900000095367432
2024-06-03,0.9200000166893005
2024-06-04,0.9089999794960022
2024-06-05,0.9300000071525574
2024-06-06,0.9399999976158142
2024-06-07,0.9599999785423279
2024-06-10,0.9900000095367432
2024-06-11,1.0199999809265137
2024-06-12,1.0800000429153442
2024-06-13,1.1200000047683716
2024-06-14,0.968999981880188
2024-06-17,1.0089999437332153
2024-06-18,0.9800000190734863
2024-06-20,0.9580000042915344
2024-06-21,0.8949999809265137
2024-06-24,0.902999997138977
2024-06-25,0.8999999761581421
2024-06-26,0.8799999952316284
2024-06-27,0.9100000262260437
2024-06-28,0.8619999885559082
2024-07-01,0.8650000095367432
2024-07-02,0.7720000147819519
2024-07-03,0.8100000023841858
2024-07-05,0.7870000004768372
2024-07-08,0.8190000057220459
2024-07-09,0.824999988079071
2024-07-10,0.8299999833106995
2024-07-11,0.8339999914169312
2024-07-12,0.7799999713897705
2024-07-15,0.7770000100135803
2024-07-16,0.7799999713897705
2024-07-17,0.8040000200271606
2024-07-18,0.8019999861717224
2024-07-19,0.7459999918937683
2024-07-22,0.7649999856948853
2024-07-23,0.7110000252723694
2024-07-24,0.7419999837875366
2024-07-25,0.7020000219345093
2024-07-26,0.8500000238418579
2024-07-29,0.8980000019073486
2024-07-30,0.8889999985694885
2024-07-31,0.8700000047683716
2024-08-01,1.0499999523162842
2024-08-02,0.7990000247955322
2024-08-05,0.843999981880188
2024-08-06,0.9200000166893005
2024-08-07,0.8820000290870667
2024-08-08,0.8600000143051147
2024-08-09,0.7799999713897705
2024-08-12,0.7329999804496765
2024-08-13,0.7789999842643738
2024-08-14,0.7900000214576721
2024-08-15,0.8080000281333923
2024-08-16,0.75
2024-08-19,0.7990000247955322
2024-08-20,0.7990000247955322
2024-08-21,0.800000011920929
2024-08-22,0.7720000147819519
2024-08-23,0.75
2024-08-26,0.7900000214576721
2024-08-27,0.753000020980835
2024-08-28,0.9200000166893005
2024-08-29,0.8700000047683716
2024-08-30,0.7360000014305115
2024-09-03,0.7940000295639038
2024-09-04,1.059999942779541
2024-09-05,1.0399999618530273
2024-09-06,1.0399999618530273
2024-09-09,1.0
2024-09-10,0.9900000095367432
2024-09-11,0.9340000152587891
2024-09-12,0.9599999785423279
2024-09-13,1.024999976158142
2024-09-16,1.1299999952316284
2024-09-17,1.1399999856948853
2024-09-18,1.1299999952316284
2024-09-19,1.4160000085830688
2024-09-20,1.659999966621399
2024-09-23,1.8200000524520874
2024-09-24,1.6799999475479126
2024-09-25,1.7899999618530273
2024-09-26,1.9700000286102295
2024-09-27,1.9299999475479126
2024-09-30,1.809999942779541
2024-10-01,1.75
2024-10-02,1.7300000190734863
2024-10-03,1.7400000095367432
2024-10-04,1.649999976158142
2024-10-07,2.200000047683716
2024-10-08,2.140000104904175
2024-10-09,1.809999942779541
2024-10-10,2.140000104904175
2024-10-11,7.139999866485596
2024-10-14,4.599999904632568
2024-10-15,4.449999809265137
2024-10-16,5.079999923706055
2024-10-17,6.900000095367432
2024-10-18,7.099999904632568
2024-10-21,7.760000228881836
2024-10-22,9.829999923706055
2024-10-23,9.5
2024-10-24,13.5
2024-10-25,0.5400000214576721
2024-10-28,0.7250000238418579
2024-10-29,0.6100000143051147
2024-10-30,0.47999998927116394
2024-10-31,0.5080000162124634
2024-11-01,0.4779999852180481
2024-11-04,0.4320000112056732
2024-11-05,0.4440000057220459
2024-11-06,0.4230000078678131
2024-11-07,0.41999998688697815
2024-11-08,0.41999998688697815
2024-11-11,0.41100001335144043
2024-11-12,0.335999995470047
2024-11-13,0.29600000381469727
2024-11-14,0.257999986410141
2024-11-15,0.2809999883174896
2024-11-18,0.3100000023841858
2024-11-19,0.30000001192092896
2024-11-20,0.2800000011920929
2024-11-21,0.2770000100135803
