Date,VSTM
2022-02-28,14.399999618530273
2022-03-01,14.399999618530273
2022-03-02,14.640000343322754
2022-03-03,13.800000190734863
2022-03-04,13.199999809265137
2022-03-07,12.720000267028809
2022-03-08,13.4399995803833
2022-03-09,16.559999465942383
2022-03-10,15.720000267028809
2022-03-11,16.920000076293945
2022-03-14,14.399999618530273
2022-03-15,14.039999961853027
2022-03-16,14.520000457763672
2022-03-17,16.079999923706055
2022-03-18,15.960000038146973
2022-03-21,15.239999771118164
2022-03-22,15.600000381469727
2022-03-23,15.359999656677246
2022-03-24,14.760000228881836
2022-03-25,14.279999732971191
2022-03-28,15.84000015258789
2022-03-29,18.1200008392334
2022-03-30,18.0
2022-03-31,16.920000076293945
2022-04-01,17.15999984741211
2022-04-04,18.360000610351562
2022-04-05,18.239999771118164
2022-04-06,19.079999923706055
2022-04-07,19.440000534057617
2022-04-08,18.719999313354492
2022-04-11,18.239999771118164
2022-04-12,17.639999389648438
2022-04-13,18.360000610351562
2022-04-14,21.239999771118164
2022-04-18,21.959999084472656
2022-04-19,19.920000076293945
2022-04-20,20.280000686645508
2022-04-21,18.1200008392334
2022-04-22,18.719999313354492
2022-04-25,18.959999084472656
2022-04-26,18.0
2022-04-27,18.1200008392334
2022-04-28,18.239999771118164
2022-04-29,17.040000915527344
2022-05-02,17.399999618530273
2022-05-03,16.68000030517578
2022-05-04,17.520000457763672
2022-05-05,16.079999923706055
2022-05-06,15.119999885559082
2022-05-09,13.680000305175781
2022-05-10,14.520000457763672
2022-05-11,12.239999771118164
2022-05-12,12.84000015258789
2022-05-13,12.960000038146973
2022-05-16,12.359999656677246
2022-05-17,14.039999961853027
2022-05-18,14.039999961853027
2022-05-19,14.760000228881836
2022-05-20,15.0
2022-05-23,15.0
2022-05-24,15.0
2022-05-25,14.880000114440918
2022-05-26,14.880000114440918
2022-05-27,15.239999771118164
2022-05-31,15.359999656677246
2022-06-01,15.0
2022-06-02,15.600000381469727
2022-06-03,15.960000038146973
2022-06-06,14.640000343322754
2022-06-07,16.31999969482422
2022-06-08,17.15999984741211
2022-06-09,15.119999885559082
2022-06-10,14.15999984741211
2022-06-13,13.680000305175781
2022-06-14,12.720000267028809
2022-06-15,12.720000267028809
2022-06-16,12.479999542236328
2022-06-17,13.199999809265137
2022-06-21,13.199999809265137
2022-06-22,13.319999694824219
2022-06-23,14.880000114440918
2022-06-24,15.119999885559082
2022-06-27,14.520000457763672
2022-06-28,13.800000190734863
2022-06-29,14.399999618530273
2022-06-30,13.920000076293945
2022-07-01,13.5600004196167
2022-07-05,14.640000343322754
2022-07-06,14.15999984741211
2022-07-07,13.319999694824219
2022-07-08,14.279999732971191
2022-07-11,13.680000305175781
2022-07-12,14.039999961853027
2022-07-13,13.920000076293945
2022-07-14,13.5600004196167
2022-07-15,13.319999694824219
2022-07-18,13.319999694824219
2022-07-19,14.520000457763672
2022-07-20,15.0
2022-07-21,14.880000114440918
2022-07-22,14.039999961853027
2022-07-25,13.4399995803833
2022-07-26,13.319999694824219
2022-07-27,13.5600004196167
2022-07-28,13.319999694824219
2022-07-29,12.84000015258789
2022-08-01,12.960000038146973
2022-08-02,12.960000038146973
2022-08-03,13.4399995803833
2022-08-04,13.5600004196167
2022-08-05,14.279999732971191
2022-08-08,15.359999656677246
2022-08-09,14.520000457763672
2022-08-10,15.119999885559082
2022-08-11,14.520000457763672
2022-08-12,15.239999771118164
2022-08-15,16.440000534057617
2022-08-16,16.440000534057617
2022-08-17,15.600000381469727
2022-08-18,15.119999885559082
2022-08-19,14.039999961853027
2022-08-22,14.279999732971191
2022-08-23,14.640000343322754
2022-08-24,16.200000762939453
2022-08-25,16.440000534057617
