Date,CHRS
2022-02-28,11.789999961853027
2022-03-01,11.489999771118164
2022-03-02,11.729999542236328
2022-03-03,11.5600004196167
2022-03-04,11.850000381469727
2022-03-07,11.609999656677246
2022-03-08,11.4399995803833
2022-03-09,12.170000076293945
2022-03-10,12.430000305175781
2022-03-11,12.329999923706055
2022-03-14,12.0600004196167
2022-03-15,12.539999961853027
2022-03-16,12.890000343322754
2022-03-17,12.84000015258789
2022-03-18,13.3100004196167
2022-03-21,12.15999984741211
2022-03-22,12.430000305175781
2022-03-23,12.510000228881836
2022-03-24,12.890000343322754
2022-03-25,12.430000305175781
2022-03-28,11.970000267028809
2022-03-29,12.760000228881836
2022-03-30,12.84000015258789
2022-03-31,12.90999984741211
2022-04-01,12.850000381469727
2022-04-04,13.229999542236328
2022-04-05,12.59000015258789
2022-04-06,12.75
2022-04-07,12.5600004196167
2022-04-08,12.5
2022-04-11,12.15999984741211
2022-04-12,11.800000190734863
2022-04-13,11.630000114440918
2022-04-14,11.239999771118164
2022-04-18,10.510000228881836
2022-04-19,10.380000114440918
2022-04-20,10.100000381469727
2022-04-21,9.859999656677246
2022-04-22,9.609999656677246
2022-04-25,9.619999885559082
2022-04-26,9.359999656677246
2022-04-27,9.279999732971191
2022-04-28,9.430000305175781
2022-04-29,9.039999961853027
2022-05-02,9.680000305175781
2022-05-03,9.710000038146973
2022-05-04,9.720000267028809
2022-05-05,8.819999694824219
2022-05-06,8.430000305175781
2022-05-09,8.029999732971191
2022-05-10,8.520000457763672
2022-05-11,7.75
2022-05-12,7.590000152587891
2022-05-13,7.949999809265137
2022-05-16,7.599999904632568
2022-05-17,7.909999847412109
2022-05-18,7.449999809265137
2022-05-19,7.909999847412109
2022-05-20,8.3100004196167
2022-05-23,7.989999771118164
2022-05-24,7.670000076293945
2022-05-25,7.409999847412109
2022-05-26,7.659999847412109
2022-05-27,7.539999961853027
2022-05-31,7.340000152587891
2022-06-01,7.360000133514404
2022-06-02,7.460000038146973
2022-06-03,7.570000171661377
2022-06-06,7.570000171661377
2022-06-07,7.730000019073486
2022-06-08,7.71999979019165
2022-06-09,7.309999942779541
2022-06-10,6.71999979019165
2022-06-13,6.190000057220459
2022-06-14,6.0
2022-06-15,5.989999771118164
2022-06-16,5.860000133514404
2022-06-17,6.300000190734863
2022-06-21,6.639999866485596
2022-06-22,6.710000038146973
2022-06-23,7.389999866485596
2022-06-24,7.5
2022-06-27,7.630000114440918
2022-06-28,7.349999904632568
2022-06-29,7.400000095367432
2022-06-30,7.239999771118164
2022-07-01,7.829999923706055
2022-07-05,8.539999961853027
2022-07-06,8.880000114440918
2022-07-07,9.170000076293945
2022-07-08,9.199999809265137
2022-07-11,8.220000267028809
2022-07-12,8.479999542236328
2022-07-13,8.380000114440918
2022-07-14,8.270000457763672
2022-07-15,7.96999979019165
2022-07-18,7.679999828338623
2022-07-19,7.619999885559082
2022-07-20,7.840000152587891
2022-07-21,7.880000114440918
2022-07-22,7.170000076293945
2022-07-25,7.300000190734863
2022-07-26,7.429999828338623
2022-07-27,8.09000015258789
2022-07-28,8.4399995803833
2022-07-29,8.470000267028809
2022-08-01,9.15999984741211
2022-08-02,10.020000457763672
2022-08-03,10.0600004196167
2022-08-04,10.579999923706055
2022-08-05,11.829999923706055
2022-08-08,11.40999984741211
2022-08-09,11.0600004196167
2022-08-10,12.970000267028809
2022-08-11,12.649999618530273
2022-08-12,13.760000228881836
2022-08-15,13.869999885559082
2022-08-16,13.390000343322754
2022-08-17,13.079999923706055
2022-08-18,12.989999771118164
2022-08-19,12.649999618530273
2022-08-22,12.319999694824219
2022-08-23,12.550000190734863
2022-08-24,12.899999618530273
2022-08-25,12.84000015258789
2022-08-26,11.890000343322754
2022-08-29,11.600000381469727
2022-08-30,11.40999984741211
2022-08-31,11.180000305175781
2022-09-01,11.079999923706055
2022-09-02,10.199999809265137
2022-09-06,10.050000190734863
2022-09-07,10.779999732971191
2022-09-08,10.520000457763672
2022-09-09,10.579999923706055
2022-09-12,10.510000228881836
2022-09-13,9.680000305175781
2022-09-14,10.170000076293945
2022-09-15,10.529999732971191
2022-09-16,9.850000381469727
2022-09-19,9.880000114440918
2022-09-20,9.579999923706055
2022-09-21,9.489999771118164
2022-09-22,9.420000076293945
2022-09-23,9.100000381469727
2022-09-26,9.010000228881836
2022-09-27,9.399999618530273
2022-09-28,9.819999694824219
2022-09-29,9.350000381469727
2022-09-30,9.609999656677246
2022-10-03,9.369999885559082
2022-10-04,10.069999694824219
2022-10-05,9.789999961853027
2022-10-06,9.729999542236328
2022-10-07,8.760000228881836
2022-10-10,8.609999656677246
2022-10-11,8.670000076293945
2022-10-12,8.489999771118164
2022-10-13,8.600000381469727
2022-10-14,8.279999732971191
2022-10-17,8.680000305175781
2022-10-18,8.359999656677246
2022-10-19,8.220000267028809
2022-10-20,8.130000114440918
2022-10-21,8.470000267028809
2022-10-24,8.369999885559082
2022-10-25,8.579999923706055
2022-10-26,8.539999961853027
2022-10-27,8.479999542236328
2022-10-28,8.6899995803833
2022-10-31,8.699999809265137
2022-11-01,8.760000228881836
2022-11-02,8.529999732971191
2022-11-03,8.0
2022-11-04,7.769999980926514
2022-11-07,7.820000171661377
2022-11-08,7.989999771118164
2022-11-09,7.010000228881836
2022-11-10,7.829999923706055
2022-11-11,7.789999961853027
2022-11-14,7.940000057220459
2022-11-15,7.960000038146973
2022-11-16,7.349999904632568
2022-11-17,6.710000038146973
2022-11-18,6.739999771118164
2022-11-21,6.599999904632568
2022-11-22,6.550000190734863
