Date,ACET
2022-02-28,13.079999923706055
2022-03-01,12.40999984741211
2022-03-02,12.579999923706055
2022-03-03,12.3100004196167
2022-03-04,12.5600004196167
2022-03-07,12.5600004196167
2022-03-08,13.069999694824219
2022-03-09,14.319999694824219
2022-03-10,14.109999656677246
2022-03-11,13.109999656677246
2022-03-14,12.289999961853027
2022-03-15,12.970000267028809
2022-03-16,15.9399995803833
2022-03-17,16.239999771118164
2022-03-18,16.100000381469727
2022-03-21,15.119999885559082
2022-03-22,16.760000228881836
2022-03-23,16.559999465942383
2022-03-24,17.09000015258789
2022-03-25,17.200000762939453
2022-03-28,17.049999237060547
2022-03-29,18.959999084472656
2022-03-30,19.56999969482422
2022-03-31,19.969999313354492
2022-04-01,20.809999465942383
2022-04-04,19.799999237060547
2022-04-05,19.219999313354492
2022-04-06,19.3799991607666
2022-04-07,18.989999771118164
2022-04-08,18.239999771118164
2022-04-11,17.579999923706055
2022-04-12,17.219999313354492
2022-04-13,17.459999084472656
2022-04-14,16.90999984741211
2022-04-18,15.899999618530273
2022-04-19,15.899999618530273
2022-04-20,15.34000015258789
2022-04-21,13.850000381469727
2022-04-22,13.930000305175781
2022-04-25,14.529999732971191
2022-04-26,13.720000267028809
2022-04-27,14.649999618530273
2022-04-28,14.649999618530273
2022-04-29,14.739999771118164
2022-05-02,15.289999961853027
2022-05-03,15.5600004196167
2022-05-04,15.680000305175781
2022-05-05,15.34000015258789
2022-05-06,15.0
2022-05-09,12.529999732971191
2022-05-10,12.180000305175781
2022-05-11,10.890000343322754
2022-05-12,10.630000114440918
2022-05-13,11.829999923706055
2022-05-16,12.899999618530273
2022-05-17,12.319999694824219
2022-05-18,10.789999961853027
2022-05-19,10.4399995803833
2022-05-20,10.609999656677246
2022-05-23,10.800000190734863
2022-05-24,10.579999923706055
2022-05-25,10.300000190734863
2022-05-26,10.260000228881836
2022-05-27,11.75
2022-05-31,11.819999694824219
2022-06-01,11.289999961853027
2022-06-02,11.489999771118164
2022-06-03,11.5
2022-06-06,12.260000228881836
2022-06-07,13.210000038146973
2022-06-08,12.800000190734863
2022-06-09,12.489999771118164
2022-06-10,11.930000305175781
2022-06-13,11.350000381469727
2022-06-14,11.289999961853027
2022-06-15,11.359999656677246
2022-06-16,10.829999923706055
2022-06-17,11.720000267028809
2022-06-21,12.0
2022-06-22,11.869999885559082
2022-06-23,12.020000457763672
2022-06-24,13.630000114440918
2022-06-27,14.359999656677246
2022-06-28,14.0
2022-06-29,14.579999923706055
2022-06-30,14.600000381469727
2022-07-01,14.680000305175781
2022-07-05,15.649999618530273
2022-07-06,16.43000030517578
2022-07-07,17.68000030517578
2022-07-08,18.600000381469727
2022-07-11,16.68000030517578
2022-07-12,17.110000610351562
2022-07-13,17.549999237060547
2022-07-14,17.34000015258789
2022-07-15,18.190000534057617
2022-07-18,16.739999771118164
2022-07-19,17.31999969482422
2022-07-20,17.719999313354492
2022-07-21,17.219999313354492
2022-07-22,17.049999237060547
2022-07-25,16.670000076293945
2022-07-26,16.829999923706055
2022-07-27,17.190000534057617
2022-07-28,16.739999771118164
2022-07-29,16.889999389648438
2022-08-01,16.5
2022-08-02,17.209999084472656
2022-08-03,17.5
2022-08-04,18.25
2022-08-05,18.739999771118164
2022-08-08,18.149999618530273
2022-08-09,17.229999542236328
2022-08-10,16.579999923706055
2022-08-11,15.670000076293945
2022-08-12,15.399999618530273
2022-08-15,15.34000015258789
2022-08-16,14.010000228881836
2022-08-17,14.119999885559082
2022-08-18,14.6899995803833
2022-08-19,14.300000190734863
2022-08-22,14.039999961853027
2022-08-23,14.539999961853027
2022-08-24,15.09000015258789
2022-08-25,15.029999732971191
2022-08-26,14.350000381469727
2022-08-29,14.300000190734863
2022-08-30,13.640000343322754
2022-08-31,14.15999984741211
2022-09-01,14.1899995803833
2022-09-02,14.3100004196167
2022-09-06,14.220000267028809
2022-09-07,14.729999542236328
2022-09-08,15.970000267028809
2022-09-09,16.389999389648438
2022-09-12,17.75
2022-09-13,17.549999237060547
2022-09-14,17.65999984741211
2022-09-15,17.1299991607666
2022-09-16,15.760000228881836
2022-09-19,14.09000015258789
2022-09-20,14.8100004196167
2022-09-21,14.289999961853027
2022-09-22,13.65999984741211
2022-09-23,13.899999618530273
2022-09-26,13.789999961853027
2022-09-27,13.75
2022-09-28,14.569999694824219
2022-09-29,13.430000305175781
2022-09-30,14.220000267028809
2022-10-03,15.039999961853027
2022-10-04,15.25
2022-10-05,15.199999809265137
2022-10-06,15.699999809265137
2022-10-07,14.899999618530273
2022-10-10,14.579999923706055
2022-10-11,15.390000343322754
2022-10-12,15.920000076293945
2022-10-13,16.799999237060547
2022-10-14,16.610000610351562
2022-10-17,16.290000915527344
2022-10-18,16.829999923706055
2022-10-19,16.1200008392334
2022-10-20,16.510000228881836
2022-10-21,17.329999923706055
2022-10-24,15.920000076293945
2022-10-25,16.280000686645508
2022-10-26,16.90999984741211
2022-10-27,16.200000762939453
2022-10-28,17.190000534057617
2022-10-31,16.489999771118164
2022-11-01,16.989999771118164
2022-11-02,17.260000228881836
2022-11-03,18.149999618530273
2022-11-04,17.8700008392334
2022-11-07,19.15999984741211
2022-11-08,19.280000686645508
2022-11-09,19.520000457763672
2022-11-10,20.780000686645508
2022-11-11,21.270000457763672
2022-11-14,20.739999771118164
2022-11-15,20.34000015258789
2022-11-16,17.469999313354492
2022-11-17,17.0
2022-11-18,17.56999969482422
2022-11-21,17.299999237060547
2022-11-22,17.709999084472656
2022-11-23,17.200000762939453
2022-11-25,17.149999618530273
