Date,MRNS
2022-02-28,7.820000171661377
2022-03-01,7.670000076293945
2022-03-02,7.510000228881836
2022-03-03,7.429999828338623
2022-03-04,7.349999904632568
2022-03-07,7.389999866485596
2022-03-08,7.179999828338623
2022-03-09,8.199999809265137
2022-03-10,8.050000190734863
2022-03-11,7.789999961853027
2022-03-14,7.349999904632568
2022-03-15,7.300000190734863
2022-03-16,8.020000457763672
2022-03-17,8.59000015258789
2022-03-18,10.0
2022-03-21,8.739999771118164
2022-03-22,9.890000343322754
2022-03-23,10.6899995803833
2022-03-24,10.270000457763672
2022-03-25,10.069999694824219
2022-03-28,9.850000381469727
2022-03-29,9.979999542236328
2022-03-30,9.40999984741211
2022-03-31,9.350000381469727
2022-04-01,9.390000343322754
2022-04-04,9.930000305175781
2022-04-05,9.829999923706055
2022-04-06,9.760000228881836
2022-04-07,9.199999809265137
2022-04-08,8.899999618530273
2022-04-11,8.050000190734863
2022-04-12,7.929999828338623
2022-04-13,8.15999984741211
2022-04-14,7.800000190734863
2022-04-18,7.369999885559082
2022-04-19,7.289999961853027
2022-04-20,7.380000114440918
2022-04-21,7.449999809265137
2022-04-22,7.510000228881836
2022-04-25,7.710000038146973
2022-04-26,7.090000152587891
2022-04-27,7.019999980926514
2022-04-28,6.929999828338623
2022-04-29,6.619999885559082
2022-05-02,6.630000114440918
2022-05-03,6.409999847412109
2022-05-04,6.130000114440918
2022-05-05,6.059999942779541
2022-05-06,5.949999809265137
2022-05-09,5.170000076293945
2022-05-10,5.110000133514404
2022-05-11,4.349999904632568
2022-05-12,4.860000133514404
2022-05-13,5.659999847412109
2022-05-16,5.489999771118164
2022-05-17,5.769999980926514
2022-05-18,5.320000171661377
2022-05-19,5.360000133514404
2022-05-20,5.320000171661377
2022-05-23,5.46999979019165
2022-05-24,5.010000228881836
2022-05-25,4.900000095367432
2022-05-26,5.0
2022-05-27,5.099999904632568
2022-05-31,4.849999904632568
2022-06-01,4.369999885559082
2022-06-02,5.21999979019165
2022-06-03,5.849999904632568
2022-06-06,5.420000076293945
2022-06-07,5.619999885559082
2022-06-08,5.619999885559082
2022-06-09,5.019999980926514
2022-06-10,4.420000076293945
2022-06-13,4.090000152587891
2022-06-14,4.139999866485596
2022-06-15,4.320000171661377
2022-06-16,4.170000076293945
2022-06-17,4.360000133514404
2022-06-21,4.690000057220459
2022-06-22,4.800000190734863
2022-06-23,5.090000152587891
2022-06-24,4.989999771118164
2022-06-27,5.110000133514404
2022-06-28,4.909999847412109
2022-06-29,4.800000190734863
2022-06-30,4.840000152587891
2022-07-01,4.760000228881836
2022-07-05,5.019999980926514
2022-07-06,4.769999980926514
2022-07-07,5.190000057220459
2022-07-08,5.449999809265137
2022-07-11,5.210000038146973
2022-07-12,5.329999923706055
2022-07-13,5.550000190734863
2022-07-14,5.260000228881836
2022-07-15,5.710000038146973
2022-07-18,5.46999979019165
2022-07-19,5.755000114440918
2022-07-20,6.210000038146973
2022-07-21,6.159999847412109
2022-07-22,5.869999885559082
2022-07-25,5.760000228881836
2022-07-26,5.730000019073486
