Date,XTIA
2023-07-26,25.200000762939453
2023-07-27,20.200000762939453
2023-07-28,24.100000381469727
2023-07-31,21.600000381469727
2023-08-01,20.0
2023-08-02,19.299999237060547
2023-08-03,17.5
2023-08-04,18.299999237060547
2023-08-07,17.0
2023-08-08,16.200000762939453
2023-08-09,15.699999809265137
2023-08-10,16.0
2023-08-11,15.899999618530273
2023-08-14,18.299999237060547
2023-08-15,18.0
2023-08-16,20.5
2023-08-17,18.700000762939453
2023-08-18,18.399999618530273
2023-08-21,19.100000381469727
2023-08-22,18.200000762939453
2023-08-23,17.0
2023-08-24,16.5
2023-08-25,16.899999618530273
2023-08-28,16.700000762939453
2023-08-29,17.0
2023-08-30,16.600000381469727
2023-08-31,16.299999237060547
2023-09-01,16.899999618530273
2023-09-05,15.5
2023-09-06,15.300000190734863
2023-09-07,13.800000190734863
2023-09-08,13.199999809265137
2023-09-11,14.399999618530273
2023-09-12,14.0
2023-09-13,14.100000381469727
2023-09-14,14.0
2023-09-15,14.0
2023-09-18,14.399999618530273
2023-09-19,13.800000190734863
2023-09-20,13.600000381469727
2023-09-21,13.100000381469727
2023-09-22,12.699999809265137
2023-09-25,12.399999618530273
2023-09-26,12.800000190734863
2023-09-27,14.0
2023-09-28,12.300000190734863
2023-09-29,11.199999809265137
2023-10-02,11.100000381469727
2023-10-03,10.600000381469727
2023-10-04,10.699999809265137
2023-10-05,10.100000381469727
2023-10-06,10.800000190734863
2023-10-09,10.100000381469727
2023-10-10,10.199999809265137
2023-10-11,10.0
2023-10-12,10.0
2023-10-13,10.399999618530273
2023-10-16,10.699999809265137
2023-10-17,11.100000381469727
2023-10-18,10.399999618530273
2023-10-19,10.199999809265137
2023-10-20,9.800000190734863
2023-10-23,11.0
2023-10-24,10.600000381469727
2023-10-25,9.800000190734863
2023-10-26,9.600000381469727
2023-10-27,9.0
2023-10-30,8.199999809265137
2023-10-31,8.100000381469727
2023-11-01,8.300000190734863
2023-11-02,8.199999809265137
2023-11-03,8.399999618530273
2023-11-06,7.699999809265137
2023-11-07,7.900000095367432
2023-11-08,7.300000190734863
2023-11-09,6.599999904632568
2023-11-10,6.5
2023-11-13,6.800000190734863
2023-11-14,7.199999809265137
2023-11-15,6.900000095367432
2023-11-16,6.699999809265137
2023-11-17,6.900000095367432
2023-11-20,7.099999904632568
2023-11-21,6.900000095367432
2023-11-22,6.5
2023-11-24,6.699999809265137
2023-11-27,6.400000095367432
2023-11-28,6.199999809265137
2023-11-29,6.300000190734863
2023-11-30,6.300000190734863
2023-12-01,6.800000190734863
2023-12-04,7.300000190734863
2023-12-05,6.900000095367432
2023-12-06,6.800000190734863
2023-12-07,7.0
2023-12-08,6.599999904632568
2023-12-11,7.699999809265137
2023-12-12,7.5
2023-12-13,7.099999904632568
2023-12-14,7.800000190734863
2023-12-15,7.5
2023-12-18,6.400000095367432
2023-12-19,6.199999809265137
2023-12-20,6.0
2023-12-21,5.699999809265137
2023-12-22,6.099999904632568
2023-12-26,5.599999904632568
2023-12-27,6.0
2023-12-28,5.599999904632568
2023-12-29,5.599999904632568
2024-01-02,5.400000095367432
2024-01-03,5.5
2024-01-04,5.5
2024-01-05,5.199999809265137
2024-01-08,5.199999809265137
2024-01-09,5.0
2024-01-10,4.800000190734863
2024-01-11,4.5
2024-01-12,4.800000190734863
2024-01-16,5.199999809265137
2024-01-17,5.599999904632568
2024-01-18,5.0
2024-01-19,5.199999809265137
2024-01-22,5.099999904632568
2024-01-23,4.800000190734863
2024-01-24,4.699999809265137
2024-01-25,5.199999809265137
2024-01-26,5.300000190734863
2024-01-29,5.300000190734863
2024-01-30,5.199999809265137
2024-01-31,5.400000095367432
2024-02-01,5.199999809265137
2024-02-02,5.300000190734863
2024-02-05,5.099999904632568
2024-02-06,5.099999904632568
2024-02-07,4.900000095367432
2024-02-08,5.0
2024-02-09,5.0
2024-02-12,5.099999904632568
2024-02-13,5.0
2024-02-14,5.0
2024-02-15,5.0
2024-02-16,5.099999904632568
2024-02-20,5.0
2024-02-21,5.0
2024-02-22,4.800000190734863
2024-02-23,4.599999904632568
2024-02-26,4.5
2024-02-27,4.800000190734863
2024-02-28,4.599999904632568
2024-02-29,4.599999904632568
2024-03-01,4.699999809265137
2024-03-04,4.599999904632568
2024-03-05,4.900000095367432
2024-03-06,5.5
2024-03-07,4.900000095367432
2024-03-08,5.300000190734863
2024-03-11,5.900000095367432
2024-03-12,5.300000190734863
2024-03-13,3.5
2024-03-14,2.5399999618530273
2024-03-15,2.430000066757202
2024-03-18,2.0999999046325684
2024-03-19,2.430000066757202
2024-03-20,2.1600000858306885
2024-03-21,2.1500000953674316
2024-03-22,2.2699999809265137
2024-03-25,2.119999885559082
2024-03-26,1.9249999523162842
2024-03-27,1.7200000286102295
2024-03-28,1.725000023841858
2024-04-01,2.059999942779541
2024-04-02,3.5
2024-04-03,4.590000152587891
2024-04-04,3.799999952316284
2024-04-05,2.7799999713897705
2024-04-08,2.75
2024-04-09,3.0299999713897705
2024-04-10,3.130000114440918
2024-04-11,2.8499999046325684
2024-04-12,3.0899999141693115
2024-04-15,3.5999999046325684
2024-04-16,3.3399999141693115
2024-04-17,2.9600000381469727
2024-04-18,2.869999885559082
2024-04-19,2.7799999713897705
2024-04-22,2.7200000286102295
2024-04-23,2.859999895095825
2024-04-24,2.549999952316284
2024-04-25,2.4800000190734863
2024-04-26,2.5
2024-04-29,2.640000104904175
2024-04-30,2.549999952316284
2024-05-01,2.200000047683716
2024-05-02,2.200000047683716
2024-05-03,2.049999952316284
2024-05-06,2.0199999809265137
2024-05-07,1.875
2024-05-08,1.8899999856948853
2024-05-09,1.75
2024-05-10,1.6399999856948853
2024-05-13,1.5800000429153442
2024-05-14,1.6399999856948853
2024-05-15,1.6100000143051147
2024-05-16,1.649999976158142
2024-05-17,1.5700000524520874
2024-05-20,1.190000057220459
2024-05-21,1.1399999856948853
2024-05-22,1.059999942779541
2024-05-23,0.9380000233650208
2024-05-24,0.8849999904632568
2024-05-28,0.8840000033378601
2024-05-29,0.8610000014305115
2024-05-30,0.9470000267028809
2024-05-31,0.9350000023841858
2024-06-03,0.9200000166893005
2024-06-04,0.9200000166893005
2024-06-05,0.9599999785423279
2024-06-06,0.8080000281333923
2024-06-07,0.7110000252723694
2024-06-10,0.6190000176429749
2024-06-11,0.5239999890327454
2024-06-12,0.4729999899864197
2024-06-13,0.4440000057220459
2024-06-14,0.4410000145435333
2024-06-17,0.4440000057220459
2024-06-18,0.421999990940094
2024-06-20,0.41200000047683716
2024-06-21,0.38100001215934753
2024-06-24,0.41600000858306885
2024-06-25,0.4490000009536743
2024-06-26,0.46000000834465027
2024-06-27,0.4440000057220459
2024-06-28,0.44200000166893005
2024-07-01,0.4000000059604645
2024-07-02,0.3970000147819519
2024-07-03,0.3799999952316284
2024-07-05,0.375
2024-07-08,0.39399999380111694
2024-07-09,0.36800000071525574
2024-07-10,0.3619999885559082
2024-07-11,0.3709999918937683
2024-07-12,0.37700000405311584
2024-07-15,0.3619999885559082
2024-07-16,0.35100001096725464
2024-07-17,0.3490000069141388
2024-07-18,0.3409999907016754
2024-07-19,0.3310000002384186
2024-07-22,0.32600000500679016
2024-07-23,0.3160000145435333
2024-07-24,0.3100000023841858
2024-07-25,0.3100000023841858
2024-07-26,0.31200000643730164
2024-07-29,0.29600000381469727
2024-07-30,0.2849999964237213
2024-07-31,0.27000001072883606
2024-08-01,0.24300000071525574
2024-08-02,0.2150000035762787
2024-08-05,0.20900000631809235
2024-08-06,0.2240000069141388
2024-08-07,0.20999999344348907
2024-08-08,0.2199999988079071
2024-08-09,0.21699999272823334
2024-08-12,0.2240000069141388
2024-08-13,0.2160000056028366
2024-08-14,0.21299999952316284
2024-08-15,0.20999999344348907
2024-08-16,0.21400000154972076
2024-08-19,0.21199999749660492
2024-08-20,0.23000000417232513
2024-08-21,0.24500000476837158
2024-08-22,0.22699999809265137
2024-08-23,0.23600000143051147
2024-08-26,0.2280000001192093
2024-08-27,0.20999999344348907
2024-08-28,0.2029999941587448
2024-08-29,0.20999999344348907
2024-08-30,0.210999995470047
2024-09-03,0.20200000703334808
2024-09-04,0.19900000095367432
2024-09-05,0.19900000095367432
2024-09-06,0.20200000703334808
2024-09-09,0.210999995470047
2024-09-10,0.21400000154972076
2024-09-11,0.22699999809265137
2024-09-12,0.22499999403953552
2024-09-13,0.23000000417232513
2024-09-16,0.23499999940395355
2024-09-17,0.24199999868869781
2024-09-18,0.2370000034570694
2024-09-19,0.2290000021457672
2024-09-20,0.2199999988079071
2024-09-23,0.21400000154972076
2024-09-24,0.19499999284744263
2024-09-25,0.1940000057220459
2024-09-26,0.1940000057220459
2024-09-27,0.1899999976158142
2024-09-30,0.19099999964237213
2024-10-01,0.1899999976158142
2024-10-02,0.1889999955892563
2024-10-03,0.1899999976158142
2024-10-04,0.18299999833106995
2024-10-07,0.17800000309944153
2024-10-08,0.16699999570846558
2024-10-09,0.16300000250339508
2024-10-10,0.14300000667572021
2024-10-11,0.13899999856948853
2024-10-14,0.11699999868869781
2024-10-15,0.1120000034570694
2024-10-16,0.1120000034570694
2024-10-17,0.1120000034570694
2024-10-18,0.10999999940395355
2024-10-21,0.11500000208616257
2024-10-22,0.11299999803304672
2024-10-23,0.11100000143051147
2024-10-24,0.09300000220537186
2024-10-25,0.0860000029206276
2024-10-28,0.0860000029206276
2024-10-29,0.07999999821186066
2024-10-30,0.05999999865889549
2024-10-31,0.057999998331069946
2024-11-01,0.05700000002980232
2024-11-04,0.05000000074505806
2024-11-05,0.04699999839067459
2024-11-06,0.050999999046325684
2024-11-07,0.04899999871850014
2024-11-08,0.057999998331069946
2024-11-11,0.05400000140070915
2024-11-12,0.04899999871850014
2024-11-13,0.05700000002980232
2024-11-14,0.05700000002980232
2024-11-15,0.052000001072883606
2024-11-18,0.05000000074505806
2024-11-19,0.05000000074505806
2024-11-20,0.04600000008940697
2024-11-21,0.04899999871850014
