Date,XTIA
2022-02-28,2587.5
2022-03-01,2662.5
2022-03-02,2700.0
2022-03-03,2550.0
2022-03-04,2362.5
2022-03-07,2212.5
2022-03-08,2850.0
2022-03-09,2700.0
2022-03-10,2887.5
2022-03-11,2460.0
2022-03-14,2265.0
2022-03-15,2265.0
2022-03-16,2460.0
2022-03-17,2520.0
2022-03-18,2235.0
2022-03-21,2460.0
2022-03-22,2340.0
2022-03-23,2422.5
2022-03-24,2355.0
2022-03-25,2257.5
2022-03-28,2362.5
2022-03-29,2100.0
2022-03-30,1987.5
2022-03-31,1950.0
2022-04-01,1950.0
2022-04-04,1972.5
2022-04-05,1875.0
2022-04-06,1800.0
2022-04-07,1875.0
2022-04-08,1807.5
2022-04-11,1755.0
2022-04-12,1725.0
2022-04-13,1807.5
2022-04-14,1770.0
2022-04-18,1732.5
2022-04-19,1875.0
2022-04-20,1785.0
2022-04-21,1725.0
2022-04-22,1710.0
2022-04-25,1612.5
2022-04-26,1597.5
2022-04-27,1627.5
2022-04-28,1612.5
2022-04-29,1725.0
2022-05-02,1695.0
2022-05-03,1770.0
2022-05-04,1807.5
2022-05-05,1800.0
2022-05-06,1680.0
2022-05-09,1515.0
2022-05-10,1537.5
2022-05-11,1552.5
2022-05-12,1567.5
2022-05-13,1837.5
2022-05-16,1695.0
2022-05-17,1575.0
2022-05-18,1507.5
2022-05-19,1425.0
2022-05-20,1350.0
2022-05-23,1350.0
2022-05-24,1215.0
2022-05-25,1222.5
2022-05-26,1245.0
2022-05-27,1282.5
2022-05-31,1365.0
2022-06-01,1342.5
2022-06-02,1327.5
2022-06-03,1290.0
2022-06-06,1260.0
2022-06-07,1215.0
2022-06-08,1260.0
2022-06-09,1237.5
2022-06-10,1177.5
2022-06-13,1080.0
2022-06-14,900.0
2022-06-15,915.0
2022-06-16,945.0
2022-06-17,975.0
2022-06-21,1050.0
2022-06-22,997.5
2022-06-23,1057.5
2022-06-24,1012.5
2022-06-27,1005.0
2022-06-28,1012.5
2022-06-29,1147.5
2022-06-30,1275.0
2022-07-01,1192.5
2022-07-05,1117.5
2022-07-06,1087.5
2022-07-07,1125.0
2022-07-08,1372.5
2022-07-11,1462.5
2022-07-12,1245.0
2022-07-13,1170.0
2022-07-14,1072.5
2022-07-15,1080.0
2022-07-18,1102.5
2022-07-19,1140.0
2022-07-20,1170.0
2022-07-21,1215.0
2022-07-22,1162.5
2022-07-25,1087.5
2022-07-26,997.5
2022-07-27,1065.0
2022-07-28,1102.5
2022-07-29,1102.5
2022-08-01,1155.0
2022-08-02,1252.5
2022-08-03,1230.0
2022-08-04,1260.0
2022-08-05,1192.5
2022-08-08,1207.5
2022-08-09,1125.0
2022-08-10,1185.0
2022-08-11,1215.0
2022-08-12,1260.0
2022-08-15,1342.5
2022-08-16,1200.0
2022-08-17,1222.5
2022-08-18,1200.0
2022-08-19,1132.5
2022-08-22,1080.0
2022-08-23,1012.5
2022-08-24,1065.0
2022-08-25,1087.5
2022-08-26,1110.0
2022-08-29,1072.5
2022-08-30,1050.0
2022-08-31,1035.0
2022-09-01,1027.5
2022-09-02,1005.0
2022-09-06,967.5
2022-09-07,1005.0
2022-09-08,1027.5
2022-09-09,1072.5
2022-09-12,1050.0
2022-09-13,1057.5
2022-09-14,1012.5
2022-09-15,1012.5
2022-09-16,1012.5
2022-09-19,930.0
2022-09-20,907.5
2022-09-21,930.0
2022-09-22,900.0
2022-09-23,870.0
2022-09-26,1057.5
2022-09-27,975.0
2022-09-28,967.5
2022-09-29,930.0
2022-09-30,922.5
2022-10-03,922.5
2022-10-04,937.5
2022-10-05,945.0
2022-10-06,817.5
2022-10-07,613.0
2022-10-10,545.0
2022-10-11,506.0
2022-10-12,491.0
2022-10-13,435.0
2022-10-14,478.0
2022-10-17,911.0
2022-10-18,513.0
2022-10-19,436.0
2022-10-20,408.0
2022-10-21,369.0
2022-10-24,349.0
2022-10-25,367.0
2022-10-26,355.0
2022-10-27,331.0
2022-10-28,308.0
2022-10-31,316.0
2022-11-01,296.0
2022-11-02,288.0
2022-11-03,280.0
2022-11-04,285.0
2022-11-07,294.0
2022-11-08,316.0
2022-11-09,306.0
2022-11-10,335.0
2022-11-11,345.0
2022-11-14,348.0
2022-11-15,325.0
2022-11-16,304.0
2022-11-17,297.0
2022-11-18,287.0
2022-11-21,274.0
2022-11-22,263.0
2022-11-23,259.0
2022-11-25,264.0
2022-11-28,260.0
2022-11-29,256.0
2022-11-30,260.0
2022-12-01,260.0
2022-12-02,259.0
2022-12-05,243.0
2022-12-06,216.0
2022-12-07,197.0
2022-12-08,193.0
2022-12-09,190.0
2022-12-12,192.60000610351562
2022-12-13,177.0
2022-12-14,187.0
2022-12-15,183.0
2022-12-16,180.0
2022-12-19,180.0
2022-12-20,175.0
2022-12-21,175.0
2022-12-22,173.0
2022-12-23,169.0
2022-12-27,168.0
2022-12-28,160.0
2022-12-29,167.0
2022-12-30,170.0
2023-01-03,176.0
2023-01-04,179.0
2023-01-05,177.0
2023-01-06,163.0
2023-01-09,165.0
2023-01-10,172.0
2023-01-11,185.0
2023-01-12,181.0
2023-01-13,166.0
2023-01-17,168.0
2023-01-18,152.0
2023-01-19,154.0
2023-01-20,155.0
2023-01-23,147.0
2023-01-24,156.0
2023-01-25,153.0
2023-01-26,146.0
2023-01-27,116.0
2023-01-30,109.0
2023-01-31,126.0
2023-02-01,117.0
2023-02-02,122.0
2023-02-03,119.0
2023-02-06,115.0
2023-02-07,112.0
2023-02-08,105.0
2023-02-09,101.0
2023-02-10,91.5
2023-02-13,101.0
2023-02-14,107.0
2023-02-15,131.0
2023-02-16,126.0
2023-02-17,125.0
2023-02-21,110.0
2023-02-22,120.0
2023-02-23,116.0
2023-02-24,115.0
2023-02-27,137.0
2023-02-28,119.0
2023-03-01,101.0
2023-03-02,91.80000305175781
2023-03-03,93.0
2023-03-06,83.5
2023-03-07,75.0
2023-03-08,77.5
2023-03-09,74.0999984741211
2023-03-10,67.0999984741211
2023-03-13,65.5999984741211
2023-03-14,70.5999984741211
2023-03-15,44.0
2023-03-16,40.0
2023-03-17,34.099998474121094
2023-03-20,37.0
2023-03-21,38.0
2023-03-22,39.29999923706055
2023-03-23,35.099998474121094
2023-03-24,32.79999923706055
2023-03-27,33.5
2023-03-28,32.79999923706055
2023-03-29,34.79999923706055
2023-03-30,37.0
2023-03-31,43.0
2023-04-03,36.900001525878906
2023-04-04,36.5
2023-04-05,35.099998474121094
2023-04-06,34.70000076293945
2023-04-10,33.0
2023-04-11,32.5
2023-04-12,31.5
2023-04-13,72.0
2023-04-14,95.0
2023-04-17,68.0
2023-04-18,55.79999923706055
2023-04-19,51.20000076293945
2023-04-20,50.0
2023-04-21,43.5
2023-04-24,39.70000076293945
2023-04-25,40.599998474121094
2023-04-26,37.20000076293945
2023-04-27,39.20000076293945
2023-04-28,38.0
2023-05-01,37.599998474121094
2023-05-02,36.70000076293945
2023-05-03,35.29999923706055
2023-05-04,34.5
2023-05-05,36.900001525878906
2023-05-08,33.599998474121094
2023-05-09,33.0
2023-05-10,31.899999618530273
2023-05-11,29.799999237060547
2023-05-12,20.0
2023-05-15,25.600000381469727
2023-05-16,21.399999618530273
2023-05-17,22.600000381469727
2023-05-18,23.0
2023-05-19,22.299999237060547
2023-05-22,22.5
2023-05-23,22.100000381469727
2023-05-24,20.700000762939453
2023-05-25,20.5
2023-05-26,20.0
2023-05-30,23.0
2023-05-31,20.0
2023-06-01,19.5
2023-06-02,20.0
2023-06-05,20.899999618530273
2023-06-06,20.899999618530273
2023-06-07,20.0
2023-06-08,20.299999237060547
2023-06-09,20.0
2023-06-12,20.399999618530273
2023-06-13,20.799999237060547
2023-06-14,20.799999237060547
2023-06-15,21.100000381469727
2023-06-16,19.600000381469727
2023-06-20,20.0
2023-06-21,20.0
2023-06-22,18.899999618530273
2023-06-23,18.0
2023-06-26,18.0
2023-06-27,18.0
2023-06-28,17.899999618530273
2023-06-29,17.899999618530273
2023-06-30,17.899999618530273
2023-07-03,18.600000381469727
2023-07-05,18.799999237060547
2023-07-06,18.299999237060547
2023-07-07,18.399999618530273
2023-07-10,17.5
2023-07-11,18.299999237060547
2023-07-12,18.299999237060547
2023-07-13,17.600000381469727
2023-07-14,16.899999618530273
2023-07-17,16.200000762939453
2023-07-18,16.0
2023-07-19,16.0
2023-07-20,16.0
2023-07-21,15.300000190734863
2023-07-24,15.199999809265137
2023-07-25,28.899999618530273
