Date,MRSN
2022-02-28,4.389999866485596
2022-03-01,4.679999828338623
2022-03-02,4.630000114440918
2022-03-03,4.329999923706055
2022-03-04,4.130000114440918
2022-03-07,4.150000095367432
2022-03-08,4.239999771118164
2022-03-09,4.449999809265137
2022-03-10,4.380000114440918
2022-03-11,4.150000095367432
2022-03-14,3.8399999141693115
2022-03-15,3.9100000858306885
2022-03-16,4.179999828338623
2022-03-17,4.239999771118164
2022-03-18,4.119999885559082
2022-03-21,4.0
2022-03-22,4.159999847412109
2022-03-23,4.03000020980835
2022-03-24,4.059999942779541
2022-03-25,3.950000047683716
2022-03-28,3.9700000286102295
2022-03-29,4.210000038146973
2022-03-30,4.019999980926514
2022-03-31,3.990000009536743
2022-04-01,4.320000171661377
2022-04-04,4.539999961853027
2022-04-05,4.429999828338623
2022-04-06,4.269999980926514
2022-04-07,4.21999979019165
2022-04-08,4.309999942779541
2022-04-11,4.360000133514404
2022-04-12,3.990000009536743
2022-04-13,4.53000020980835
2022-04-14,4.909999847412109
2022-04-18,4.079999923706055
2022-04-19,4.139999866485596
2022-04-20,4.090000152587891
2022-04-21,3.9200000762939453
2022-04-22,3.8499999046325684
2022-04-25,4.010000228881836
2022-04-26,3.7100000381469727
2022-04-27,3.559999942779541
2022-04-28,3.619999885559082
2022-04-29,3.4800000190734863
2022-05-02,3.700000047683716
2022-05-03,3.930000066757202
2022-05-04,3.9600000381469727
2022-05-05,3.7699999809265137
2022-05-06,3.6700000762939453
2022-05-09,3.180000066757202
2022-05-10,3.259999990463257
2022-05-11,2.8499999046325684
2022-05-12,2.8399999141693115
2022-05-13,2.9800000190734863
2022-05-16,3.119999885559082
2022-05-17,3.369999885559082
2022-05-18,3.2899999618530273
2022-05-19,3.450000047683716
2022-05-20,3.490000009536743
2022-05-23,3.359999895095825
2022-05-24,3.259999990463257
2022-05-25,3.2100000381469727
2022-05-26,3.1500000953674316
2022-05-27,3.3299999237060547
2022-05-31,3.3399999141693115
2022-06-01,3.2100000381469727
2022-06-02,3.2200000286102295
2022-06-03,3.390000104904175
2022-06-06,3.319999933242798
2022-06-07,3.4000000953674316
2022-06-08,3.6700000762939453
2022-06-09,3.619999885559082
2022-06-10,3.259999990463257
2022-06-13,3.0899999141693115
2022-06-14,2.9800000190734863
2022-06-15,3.1700000762939453
2022-06-16,3.1500000953674316
2022-06-17,3.700000047683716
2022-06-21,4.150000095367432
2022-06-22,4.579999923706055
2022-06-23,4.909999847412109
2022-06-24,5.0
2022-06-27,4.880000114440918
2022-06-28,4.630000114440918
2022-06-29,4.449999809265137
2022-06-30,4.619999885559082
2022-07-01,4.630000114440918
2022-07-05,4.880000114440918
2022-07-06,4.909999847412109
2022-07-07,5.28000020980835
2022-07-08,5.400000095367432
2022-07-11,5.190000057220459
2022-07-12,5.179999828338623
2022-07-13,5.630000114440918
2022-07-14,5.610000133514404
2022-07-15,5.630000114440918
2022-07-18,5.190000057220459
2022-07-19,5.489999771118164
2022-07-20,5.690000057220459
2022-07-21,5.769999980926514
2022-07-22,5.449999809265137
2022-07-25,5.590000152587891
2022-07-26,5.599999904632568
2022-07-27,5.659999847412109
2022-07-28,5.099999904632568
2022-07-29,5.070000171661377
2022-08-01,4.849999904632568
2022-08-02,4.96999979019165
2022-08-03,4.960000038146973
2022-08-04,4.949999809265137
2022-08-05,5.039999961853027
2022-08-08,5.25
2022-08-09,7.0
2022-08-10,7.820000171661377
2022-08-11,7.449999809265137
2022-08-12,7.570000171661377
2022-08-15,7.710000038146973
2022-08-16,7.230000019073486
2022-08-17,7.380000114440918
2022-08-18,7.429999828338623
2022-08-19,7.480000019073486
2022-08-22,7.590000152587891
2022-08-23,7.71999979019165
2022-08-24,8.0
2022-08-25,7.900000095367432
2022-08-26,7.599999904632568
2022-08-29,7.570000171661377
2022-08-30,7.650000095367432
2022-08-31,7.5
2022-09-01,7.849999904632568
2022-09-02,7.75
2022-09-06,7.550000190734863
2022-09-07,7.730000019073486
2022-09-08,7.989999771118164
