Date,ACRS
2022-02-28,14.899999618530273
2022-03-01,14.9399995803833
2022-03-02,15.609999656677246
2022-03-03,15.369999885559082
2022-03-04,15.8100004196167
2022-03-07,16.6200008392334
2022-03-08,15.850000381469727
2022-03-09,16.0
2022-03-10,16.0
2022-03-11,15.8100004196167
2022-03-14,14.399999618530273
2022-03-15,15.199999809265137
2022-03-16,15.84000015258789
2022-03-17,15.949999809265137
2022-03-18,16.889999389648438
2022-03-21,16.1299991607666
2022-03-22,17.25
2022-03-23,17.270000457763672
2022-03-24,17.639999389648438
2022-03-25,17.920000076293945
2022-03-28,17.639999389648438
2022-03-29,17.850000381469727
2022-03-30,17.639999389648438
2022-03-31,17.239999771118164
2022-04-01,16.899999618530273
2022-04-04,17.079999923706055
2022-04-05,16.770000457763672
2022-04-06,16.889999389648438
2022-04-07,16.18000030517578
2022-04-08,15.40999984741211
2022-04-11,15.899999618530273
2022-04-12,15.539999961853027
2022-04-13,15.680000305175781
2022-04-14,17.010000228881836
2022-04-18,16.100000381469727
2022-04-19,16.270000457763672
2022-04-20,15.819999694824219
2022-04-21,15.050000190734863
2022-04-22,15.100000381469727
2022-04-25,15.279999732971191
2022-04-26,14.069999694824219
2022-04-27,13.390000343322754
2022-04-28,12.380000114440918
2022-04-29,12.319999694824219
2022-05-02,12.949999809265137
2022-05-03,13.069999694824219
2022-05-04,13.119999885559082
2022-05-05,12.470000267028809
2022-05-06,11.819999694824219
2022-05-09,11.149999618530273
2022-05-10,11.119999885559082
2022-05-11,10.15999984741211
2022-05-12,10.180000305175781
2022-05-13,10.649999618530273
2022-05-16,11.029999732971191
2022-05-17,12.319999694824219
2022-05-18,11.920000076293945
2022-05-19,12.029999732971191
2022-05-20,12.109999656677246
2022-05-23,12.25
2022-05-24,11.920000076293945
2022-05-25,12.079999923706055
2022-05-26,12.470000267028809
2022-05-27,13.0
2022-05-31,12.789999961853027
2022-06-01,13.380000114440918
2022-06-02,14.479999542236328
2022-06-03,14.760000228881836
2022-06-06,14.75
2022-06-07,15.430000305175781
2022-06-08,15.470000267028809
2022-06-09,15.09000015258789
2022-06-10,14.4399995803833
2022-06-13,12.9399995803833
2022-06-14,13.989999771118164
2022-06-15,14.75
2022-06-16,14.800000190734863
2022-06-17,15.609999656677246
2022-06-21,15.989999771118164
2022-06-22,15.470000267028809
2022-06-23,15.850000381469727
2022-06-24,14.420000076293945
2022-06-27,15.100000381469727
2022-06-28,14.0600004196167
2022-06-29,14.359999656677246
2022-06-30,13.960000038146973
2022-07-01,13.829999923706055
2022-07-05,14.729999542236328
2022-07-06,15.989999771118164
2022-07-07,16.649999618530273
2022-07-08,16.34000015258789
2022-07-11,15.489999771118164
2022-07-12,15.319999694824219
2022-07-13,15.84000015258789
2022-07-14,15.220000267028809
2022-07-15,15.239999771118164
2022-07-18,15.069999694824219
2022-07-19,16.110000610351562
2022-07-20,16.079999923706055
2022-07-21,15.899999618530273
2022-07-22,15.069999694824219
2022-07-25,15.359999656677246
2022-07-26,15.279999732971191
2022-07-27,15.880000114440918
2022-07-28,15.729999542236328
2022-07-29,15.40999984741211
2022-08-01,13.619999885559082
2022-08-02,14.199999809265137
2022-08-03,14.399999618530273
2022-08-04,16.770000457763672
2022-08-05,18.0
2022-08-08,18.0
2022-08-09,17.649999618530273
2022-08-10,16.899999618530273
2022-08-11,16.799999237060547
2022-08-12,16.799999237060547
2022-08-15,16.760000228881836
2022-08-16,16.8799991607666
2022-08-17,16.469999313354492
2022-08-18,16.3700008392334
2022-08-19,16.530000686645508
2022-08-22,16.09000015258789
2022-08-23,17.06999969482422
2022-08-24,17.309999465942383
2022-08-25,18.219999313354492
2022-08-26,16.459999084472656
2022-08-29,16.59000015258789
2022-08-30,16.239999771118164
2022-08-31,15.90999984741211
2022-09-01,17.219999313354492
2022-09-02,17.1200008392334
2022-09-06,15.6899995803833
2022-09-07,16.209999084472656
2022-09-08,16.979999542236328
2022-09-09,16.25
2022-09-12,17.290000915527344
2022-09-13,16.06999969482422
2022-09-14,15.010000228881836
2022-09-15,14.390000343322754
2022-09-16,13.470000267028809
2022-09-19,13.899999618530273
2022-09-20,14.289999961853027
2022-09-21,13.5
2022-09-22,13.850000381469727
2022-09-23,13.069999694824219
2022-09-26,13.859999656677246
2022-09-27,14.300000190734863
2022-09-28,14.670000076293945
2022-09-29,14.819999694824219
2022-09-30,15.739999771118164
2022-10-03,15.350000381469727
2022-10-04,16.020000457763672
2022-10-05,15.75
2022-10-06,16.700000762939453
2022-10-07,15.819999694824219
2022-10-10,15.479999542236328
2022-10-11,15.15999984741211
2022-10-12,15.420000076293945
2022-10-13,15.640000343322754
2022-10-14,15.720000267028809
2022-10-17,16.100000381469727
2022-10-18,17.0
2022-10-19,16.1200008392334
2022-10-20,16.549999237060547
2022-10-21,16.579999923706055
2022-10-24,16.8799991607666
2022-10-25,16.510000228881836
2022-10-26,16.479999542236328
2022-10-27,14.329999923706055
2022-10-28,15.369999885559082
2022-10-31,15.609999656677246
2022-11-01,16.0
2022-11-02,15.180000305175781
2022-11-03,15.229999542236328
2022-11-04,15.15999984741211
2022-11-07,15.539999961853027
2022-11-08,16.209999084472656
2022-11-09,16.209999084472656
2022-11-10,16.950000762939453
2022-11-11,16.989999771118164
2022-11-14,17.43000030517578
2022-11-15,17.979999542236328
2022-11-16,17.969999313354492
2022-11-17,18.0
2022-11-18,18.3700008392334
2022-11-21,18.239999771118164
2022-11-22,17.940000534057617
2022-11-23,17.700000762939453
2022-11-25,17.530000686645508
2022-11-28,16.989999771118164
