Date,TFFP
2022-02-28,169.75
2022-03-01,171.5
2022-03-02,168.75
2022-03-03,159.75
2022-03-04,167.5
2022-03-07,152.25
2022-03-08,153.25
2022-03-09,163.25
2022-03-10,159.0
2022-03-11,156.75
2022-03-14,142.0
2022-03-15,145.25
2022-03-16,150.25
2022-03-17,161.5
2022-03-18,163.25
2022-03-21,158.25
2022-03-22,165.25
2022-03-23,165.5
2022-03-24,162.25
2022-03-25,162.0
2022-03-28,160.25
2022-03-29,161.5
2022-03-30,160.75
2022-03-31,157.75
2022-04-01,161.25
2022-04-04,174.0
2022-04-05,175.0
2022-04-06,180.5
2022-04-07,175.5
2022-04-08,170.5
2022-04-11,166.75
2022-04-12,154.25
2022-04-13,162.0
2022-04-14,151.75
2022-04-18,144.25
2022-04-19,143.5
2022-04-20,144.5
2022-04-21,137.5
2022-04-22,136.25
2022-04-25,134.0
2022-04-26,127.5
2022-04-27,125.25
2022-04-28,128.25
2022-04-29,126.75
2022-05-02,128.75
2022-05-03,127.75
2022-05-04,125.25
2022-05-05,117.5
2022-05-06,112.5
2022-05-09,106.75
2022-05-10,105.0
2022-05-11,99.75
2022-05-12,103.0
2022-05-13,107.75
2022-05-16,119.0
2022-05-17,127.5
2022-05-18,124.75
2022-05-19,134.0
2022-05-20,137.25
2022-05-23,146.75
2022-05-24,140.75
2022-05-25,144.5
2022-05-26,144.75
2022-05-27,152.0
2022-05-31,141.0
2022-06-01,138.75
2022-06-02,144.0
2022-06-03,144.25
2022-06-06,141.25
2022-06-07,143.5
2022-06-08,145.0
2022-06-09,145.0
2022-06-10,143.0
2022-06-13,138.5
2022-06-14,138.0
2022-06-15,137.0
2022-06-16,133.0
2022-06-17,140.5
2022-06-21,144.75
2022-06-22,140.5
2022-06-23,146.75
2022-06-24,142.25
2022-06-27,150.75
2022-06-28,144.0
2022-06-29,144.0
2022-06-30,141.25
2022-07-01,144.0
2022-07-05,143.75
2022-07-06,143.5
2022-07-07,142.25
2022-07-08,144.5
2022-07-11,148.25
2022-07-12,145.25
2022-07-13,143.75
2022-07-14,142.75
2022-07-15,142.5
2022-07-18,141.5
2022-07-19,143.0
2022-07-20,143.0
2022-07-21,140.25
2022-07-22,137.75
2022-07-25,132.25
2022-07-26,131.0
2022-07-27,132.25
2022-07-28,130.25
2022-07-29,130.25
2022-08-01,127.25
2022-08-02,135.0
2022-08-03,138.75
2022-08-04,146.5
2022-08-05,160.25
2022-08-08,165.75
2022-08-09,152.5
2022-08-10,158.0
2022-08-11,154.25
2022-08-12,150.75
2022-08-15,145.5
2022-08-16,139.75
2022-08-17,137.0
2022-08-18,134.75
2022-08-19,135.25
2022-08-22,129.0
2022-08-23,127.5
2022-08-24,130.5
2022-08-25,130.25
2022-08-26,125.75
2022-08-29,125.5
2022-08-30,120.25
2022-08-31,115.25
2022-09-01,117.5
2022-09-02,126.0
2022-09-06,125.25
2022-09-07,125.0
2022-09-08,142.0
2022-09-09,132.75
2022-09-12,138.25
2022-09-13,139.0
2022-09-14,146.25
2022-09-15,142.75
2022-09-16,129.75
2022-09-19,132.5
2022-09-20,134.0
2022-09-21,137.75
2022-09-22,133.5
2022-09-23,119.0
2022-09-26,112.875
2022-09-27,111.75
2022-09-28,116.0
2022-09-29,106.75
2022-09-30,101.5
2022-10-03,99.25
