Date,TFFP
2022-10-04,100.0
2022-10-05,100.75
2022-10-06,92.25
2022-10-07,88.75
2022-10-10,85.25
2022-10-11,88.25
2022-10-12,80.25
2022-10-13,79.75
2022-10-14,76.0
2022-10-17,78.5
2022-10-18,80.5
2022-10-19,76.25
2022-10-20,71.5
2022-10-21,72.5
2022-10-24,62.75
2022-10-25,73.25
2022-10-26,72.5
2022-10-27,65.75
2022-10-28,67.25
2022-10-31,62.5
2022-11-01,67.5
2022-11-02,43.5
2022-11-03,50.0
2022-11-04,45.0
2022-11-07,39.75
2022-11-08,39.75
2022-11-09,35.625
2022-11-10,38.25
2022-11-11,42.25
2022-11-14,37.0
2022-11-15,30.0
2022-11-16,31.25
2022-11-17,32.25
2022-11-18,29.25
2022-11-21,31.0
2022-11-22,36.0
2022-11-23,33.75
2022-11-25,31.5
2022-11-28,30.5
2022-11-29,30.0
2022-11-30,30.25
2022-12-01,29.5
2022-12-02,30.0
2022-12-05,28.75
2022-12-06,29.0
2022-12-07,28.5
2022-12-08,26.75
2022-12-09,24.5
2022-12-12,24.0
2022-12-13,25.25
2022-12-14,26.75
2022-12-15,25.5
2022-12-16,25.5
2022-12-19,24.049999237060547
2022-12-20,23.274999618530273
2022-12-21,23.5
2022-12-22,23.25
2022-12-23,22.950000762939453
2022-12-27,21.125
2022-12-28,21.5
2022-12-29,21.0
2022-12-30,26.25
2023-01-03,24.25
2023-01-04,26.5
2023-01-05,26.0
2023-01-06,26.25
2023-01-09,27.5
2023-01-10,27.5
2023-01-11,26.75
2023-01-12,26.75
2023-01-13,26.274999618530273
2023-01-17,26.5
2023-01-18,24.75
2023-01-19,23.25
2023-01-20,23.75
2023-01-23,23.225000381469727
2023-01-24,23.875
2023-01-25,23.75
2023-01-26,23.75
2023-01-27,23.625
2023-01-30,23.25
2023-01-31,23.25
2023-02-01,22.75
2023-02-02,23.024999618530273
2023-02-03,23.75
2023-02-06,23.375
2023-02-07,24.225000381469727
2023-02-08,23.5
2023-02-09,23.5
2023-02-10,22.5
2023-02-13,22.674999237060547
2023-02-14,22.5
2023-02-15,22.375
2023-02-16,23.875
2023-02-17,17.924999237060547
2023-02-21,16.5
2023-02-22,15.524999618530273
2023-02-23,18.225000381469727
2023-02-24,20.325000762939453
2023-02-27,18.75
2023-02-28,20.0
2023-03-01,19.850000381469727
2023-03-02,18.825000762939453
2023-03-03,20.850000381469727
2023-03-06,21.600000381469727
2023-03-07,21.649999618530273
2023-03-08,20.825000762939453
2023-03-09,18.299999237060547
2023-03-10,18.049999237060547
2023-03-13,19.5
2023-03-14,20.75
2023-03-15,20.725000381469727
2023-03-16,20.25
2023-03-17,18.600000381469727
2023-03-20,18.575000762939453
2023-03-21,18.825000762939453
2023-03-22,18.75
2023-03-23,18.375
2023-03-24,17.100000381469727
2023-03-27,17.274999618530273
2023-03-28,17.0
2023-03-29,17.549999237060547
2023-03-30,16.825000762939453
2023-03-31,17.125
2023-04-03,16.549999237060547
2023-04-04,16.350000381469727
2023-04-05,14.975000381469727
2023-04-06,14.625
2023-04-10,15.100000381469727
2023-04-11,15.899999618530273
2023-04-12,16.25
2023-04-13,16.75
2023-04-14,16.75
2023-04-17,17.0
2023-04-18,15.75
2023-04-19,15.949999809265137
2023-04-20,16.799999237060547
2023-04-21,16.325000762939453
2023-04-24,15.074999809265137
2023-04-25,13.75
2023-04-26,14.375
2023-04-27,14.0
2023-04-28,14.25
2023-05-01,14.925000190734863
2023-05-02,15.75
2023-05-03,15.350000381469727
2023-05-04,17.75
2023-05-05,18.924999237060547
2023-05-08,19.299999237060547
2023-05-09,19.25
2023-05-10,17.0
2023-05-11,16.75
2023-05-12,17.75
2023-05-15,16.899999618530273
2023-05-16,16.450000762939453
2023-05-17,16.25
2023-05-18,16.0
2023-05-19,15.5
2023-05-22,16.274999618530273
2023-05-23,16.25
2023-05-24,14.800000190734863
2023-05-25,13.75
2023-05-26,12.550000190734863
2023-05-30,12.100000381469727
2023-05-31,11.5
2023-06-01,11.5
2023-06-02,11.925000190734863
2023-06-05,11.25
2023-06-06,12.100000381469727
2023-06-07,11.524999618530273
2023-06-08,11.975000381469727
2023-06-09,11.675000190734863
2023-06-12,11.475000381469727
2023-06-13,10.800000190734863
2023-06-14,11.25
2023-06-15,11.75
2023-06-16,11.75
2023-06-20,11.649999618530273
2023-06-21,11.5
2023-06-22,12.25
2023-06-23,11.875
2023-06-26,11.899999618530273
2023-06-27,11.5
2023-06-28,10.800000190734863
2023-06-29,11.25
2023-06-30,11.75
2023-07-03,12.0
2023-07-05,10.975000381469727
2023-07-06,9.800000190734863
2023-07-07,8.774999618530273
2023-07-10,8.5
2023-07-11,9.475000381469727
2023-07-12,8.75
2023-07-13,8.75
2023-07-14,8.199999809265137
2023-07-17,8.550000190734863
2023-07-18,8.149999618530273
2023-07-19,8.125
2023-07-20,9.149999618530273
2023-07-21,8.324999809265137
2023-07-24,8.399999618530273
2023-07-25,8.75
2023-07-26,9.0
2023-07-27,9.225000381469727
2023-07-28,9.524999618530273
2023-07-31,10.600000381469727
2023-08-01,10.600000381469727
2023-08-02,10.925000190734863
2023-08-03,10.274999618530273
2023-08-04,10.725000381469727
2023-08-07,9.774999618530273
2023-08-08,9.5
2023-08-09,9.25
2023-08-10,10.5
2023-08-11,10.375
2023-08-14,11.25
2023-08-15,10.25
2023-08-16,9.25
2023-08-17,9.25
2023-08-18,9.300000190734863
2023-08-21,10.100000381469727
2023-08-22,10.5
2023-08-23,9.949999809265137
2023-08-24,9.774999618530273
2023-08-25,9.600000381469727
2023-08-28,9.625
2023-08-29,9.375
2023-08-30,9.574999809265137
2023-08-31,9.725000381469727
2023-09-01,9.550000190734863
2023-09-05,9.5
2023-09-06,9.475000381469727
2023-09-07,9.324999809265137
2023-09-08,9.274999618530273
2023-09-11,9.0
2023-09-12,9.149999618530273
2023-09-13,9.024999618530273
2023-09-14,9.5
2023-09-15,10.0
2023-09-18,8.475000381469727
2023-09-19,8.5
2023-09-20,8.399999618530273
2023-09-21,8.725000381469727
2023-09-22,8.024999618530273
2023-09-25,7.800000190734863
2023-09-26,8.399999618530273
2023-09-27,8.225000381469727
2023-09-28,8.625
2023-09-29,8.75
2023-10-02,8.350000381469727
2023-10-03,8.149999618530273
2023-10-04,8.5
2023-10-05,8.274999618530273
2023-10-06,8.274999618530273
2023-10-09,8.699999809265137
2023-10-10,8.024999618530273
2023-10-11,9.024999618530273
2023-10-12,8.725000381469727
2023-10-13,8.875
2023-10-16,9.149999618530273
2023-10-17,8.5
2023-10-18,8.375
2023-10-19,8.25
2023-10-20,8.425000190734863
2023-10-23,8.425000190734863
2023-10-24,8.5
2023-10-25,7.949999809265137
2023-10-26,7.875
2023-10-27,7.849999904632568
2023-10-30,7.025000095367432
2023-10-31,6.974999904632568
2023-11-01,7.050000190734863
2023-11-02,7.5
2023-11-03,7.300000190734863
2023-11-06,7.025000095367432
2023-11-07,6.599999904632568
2023-11-08,5.949999809265137
2023-11-09,6.199999809265137
2023-11-10,5.650000095367432
2023-11-13,5.5
2023-11-14,5.949999809265137
2023-11-15,5.699999809265137
2023-11-16,5.75
2023-11-17,7.125
2023-11-20,7.0
2023-11-21,7.025000095367432
2023-11-22,7.449999809265137
2023-11-24,7.375
2023-11-27,7.625
2023-11-28,7.574999809265137
2023-11-29,7.775000095367432
2023-11-30,8.975000381469727
2023-12-01,9.0
2023-12-04,9.425000190734863
2023-12-05,9.5
2023-12-06,9.25
2023-12-07,8.75
2023-12-08,9.050000190734863
2023-12-11,8.925000190734863
2023-12-12,8.274999618530273
2023-12-13,8.625
2023-12-14,9.074999809265137
2023-12-15,7.800000190734863
2023-12-18,8.0
2023-12-19,7.309999942779541
2023-12-20,7.809999942779541
2023-12-21,6.809999942779541
2023-12-22,7.369999885559082
2023-12-26,7.010000228881836
2023-12-27,6.650000095367432
2023-12-28,7.468999862670898
2023-12-29,7.019999980926514
2024-01-02,6.909999847412109
2024-01-03,6.670000076293945
2024-01-04,6.019999980926514
2024-01-05,5.980000019073486
2024-01-08,5.940000057220459
2024-01-09,6.230000019073486
2024-01-10,6.050000190734863
2024-01-11,5.75
2024-01-12,5.849999904632568
2024-01-16,5.539999961853027
2024-01-17,5.329999923706055
2024-01-18,4.940000057220459
2024-01-19,4.989999771118164
2024-01-22,4.980000019073486
2024-01-23,4.78000020980835
2024-01-24,5.300000190734863
2024-01-25,5.070000171661377
2024-01-26,5.0320000648498535
2024-01-29,5.355000019073486
2024-01-30,5.420000076293945
2024-01-31,5.40500020980835
2024-02-01,5.235000133514404
2024-02-02,5.815000057220459
2024-02-05,6.130000114440918
2024-02-06,6.269999980926514
2024-02-07,7.0279998779296875
2024-02-08,7.074999809265137
2024-02-09,7.099999904632568
2024-02-12,7.289999961853027
2024-02-13,6.559999942779541
2024-02-14,6.710000038146973
2024-02-15,6.739999771118164
2024-02-16,6.940000057220459
2024-02-20,6.519999980926514
2024-02-21,6.619999885559082
2024-02-22,5.900000095367432
2024-02-23,5.9019999504089355
2024-02-26,5.760000228881836
2024-02-27,5.260000228881836
2024-02-28,6.150000095367432
2024-02-29,6.130000114440918
2024-03-01,6.748000144958496
2024-03-04,8.989999771118164
2024-03-05,8.619999885559082
2024-03-06,8.027999877929688
2024-03-07,8.23799991607666
2024-03-08,7.889999866485596
2024-03-11,8.5
2024-03-12,7.809999942779541
2024-03-13,7.809999942779541
2024-03-14,7.619999885559082
2024-03-15,7.369999885559082
2024-03-18,7.599999904632568
2024-03-19,8.869999885559082
2024-03-20,7.949999809265137
2024-03-21,8.210000038146973
2024-03-22,7.690000057220459
2024-03-25,7.400000095367432
2024-03-26,6.489999771118164
2024-03-27,6.590000152587891
2024-03-28,6.039999961853027
2024-04-01,6.409999847412109
2024-04-02,4.929999828338623
2024-04-03,5.0
2024-04-04,4.829999923706055
2024-04-05,4.489999771118164
2024-04-08,4.260000228881836
2024-04-09,4.420000076293945
2024-04-10,4.070000171661377
2024-04-11,3.9600000381469727
2024-04-12,3.8499999046325684
2024-04-15,3.5199999809265137
2024-04-16,3.309999942779541
2024-04-17,3.240999937057495
2024-04-18,3.134999990463257
2024-04-19,3.109999895095825
2024-04-22,2.5799999237060547
2024-04-23,2.9700000286102295
2024-04-24,3.009999990463257
2024-04-25,3.049999952316284
2024-04-26,2.921999931335449
2024-04-29,2.7100000381469727
2024-04-30,2.7300000190734863
2024-05-01,2.6700000762939453
2024-05-02,2.4700000286102295
2024-05-03,2.0299999713897705
2024-05-06,2.1600000858306885
2024-05-07,2.200000047683716
2024-05-08,2.0899999141693115
2024-05-09,2.180000066757202
2024-05-10,1.9500000476837158
2024-05-13,1.809999942779541
2024-05-14,1.8600000143051147
2024-05-15,2.009999990463257
2024-05-16,2.1600000858306885
2024-05-17,2.1600000858306885
2024-05-20,2.2899999618530273
2024-05-21,2.240000009536743
2024-05-22,2.180000066757202
2024-05-23,2.0399999618530273
2024-05-24,2.2100000381469727
2024-05-28,2.2100000381469727
2024-05-29,2.049999952316284
2024-05-30,2.049999952316284
2024-05-31,2.059999942779541
2024-06-03,2.130000114440918
2024-06-04,2.0399999618530273
2024-06-05,1.937999963760376
2024-06-06,1.8700000047683716
2024-06-07,1.7599999904632568
2024-06-10,1.850000023841858
2024-06-11,1.9500000476837158
2024-06-12,1.8200000524520874
2024-06-13,1.909999966621399
2024-06-14,1.940000057220459
2024-06-17,1.9299999475479126
2024-06-18,1.9500000476837158
2024-06-20,1.9900000095367432
2024-06-21,1.7400000095367432
2024-06-24,1.899999976158142
2024-06-25,1.9700000286102295
2024-06-26,1.7300000190734863
2024-06-27,1.5700000524520874
2024-06-28,1.659999966621399
2024-07-01,1.7799999713897705
2024-07-02,1.7799999713897705
2024-07-03,1.809999942779541
2024-07-05,1.75
2024-07-08,1.9500000476837158
2024-07-09,1.909999966621399
2024-07-10,2.0199999809265137
2024-07-11,2.0399999618530273
2024-07-12,2.0
2024-07-15,1.9900000095367432
2024-07-16,1.9700000286102295
2024-07-17,1.934999942779541
2024-07-18,1.850000023841858
2024-07-19,1.8899999856948853
2024-07-22,1.809999942779541
2024-07-23,1.7400000095367432
2024-07-24,1.7000000476837158
2024-07-25,1.7699999809265137
2024-07-26,1.875
2024-07-29,1.7799999713897705
2024-07-30,1.899999976158142
2024-07-31,1.909999966621399
2024-08-01,1.8650000095367432
2024-08-02,1.8200000524520874
2024-08-05,1.6299999952316284
2024-08-06,1.649999976158142
2024-08-07,1.3799999952316284
2024-08-08,1.6200000047683716
2024-08-09,1.7599999904632568
2024-08-12,1.7400000095367432
2024-08-13,1.9700000286102295
2024-08-14,2.0399999618530273
2024-08-15,2.009999990463257
2024-08-16,2.0399999618530273
2024-08-19,2.180000066757202
2024-08-20,2.174999952316284
2024-08-21,2.0799999237060547
2024-08-22,2.6500000953674316
2024-08-23,2.2300000190734863
2024-08-26,2.130000114440918
2024-08-27,2.119999885559082
2024-08-28,2.059999942779541
2024-08-29,2.200000047683716
2024-08-30,2.009999990463257
2024-09-03,1.8700000047683716
2024-09-04,1.8600000143051147
2024-09-05,1.9600000381469727
2024-09-06,1.7899999618530273
2024-09-09,1.9500000476837158
2024-09-10,1.9500000476837158
2024-09-11,2.1700000762939453
2024-09-12,2.2100000381469727
2024-09-13,2.2100000381469727
2024-09-16,2.190000057220459
2024-09-17,2.359999895095825
2024-09-18,2.2799999713897705
2024-09-19,2.309999942779541
2024-09-20,2.309999942779541
2024-09-23,2.009999990463257
2024-09-24,1.940000057220459
2024-09-25,1.9500000476837158
2024-09-26,2.1600000858306885
2024-09-27,2.0
2024-09-30,2.009999990463257
2024-10-01,1.7999999523162842
2024-10-02,1.8899999856948853
2024-10-03,1.8700000047683716
2024-10-04,1.8700000047683716
2024-10-07,1.8300000429153442
2024-10-08,2.009999990463257
2024-10-09,1.8799999952316284
2024-10-10,1.909999966621399
2024-10-11,2.2699999809265137
2024-10-14,2.3299999237060547
2024-10-15,2.1600000858306885
2024-10-16,2.0899999141693115
2024-10-17,2.059999942779541
2024-10-18,2.069999933242798
2024-10-21,2.299999952316284
2024-10-22,2.299999952316284
2024-10-23,2.3450000286102295
2024-10-24,2.059999942779541
2024-10-25,2.369999885559082
2024-10-28,2.450000047683716
2024-10-29,2.0999999046325684
2024-10-30,2.509999990463257
2024-10-31,2.5
2024-11-01,1.9700000286102295
2024-11-04,1.899999976158142
2024-11-05,1.840000033378601
2024-11-06,1.6200000047683716
2024-11-07,1.6299999952316284
2024-11-08,1.6799999475479126
2024-11-11,1.850000023841858
2024-11-12,1.809999942779541
2024-11-13,1.6799999475479126
2024-11-14,1.600000023841858
2024-11-15,0.37599998712539673
2024-11-18,0.36399999260902405
2024-11-19,0.3959999978542328
2024-11-20,0.3720000088214874
2024-11-21,0.3499999940395355
