Date,SNOA
2022-02-28,63.599998474121094
2022-03-01,61.0
2022-03-02,63.20000076293945
2022-03-03,58.599998474121094
2022-03-04,59.0
2022-03-07,53.0
2022-03-08,57.0
2022-03-09,59.599998474121094
2022-03-10,61.20000076293945
2022-03-11,57.599998474121094
2022-03-14,53.400001525878906
2022-03-15,56.0
2022-03-16,59.20000076293945
2022-03-17,61.20000076293945
2022-03-18,62.0
2022-03-21,59.79999923706055
2022-03-22,59.79999923706055
2022-03-23,63.599998474121094
2022-03-24,66.19999694824219
2022-03-25,66.5999984741211
2022-03-28,65.19999694824219
2022-03-29,67.19999694824219
2022-03-30,76.19999694824219
2022-03-31,80.19999694824219
2022-04-01,73.4000015258789
2022-04-04,71.4000015258789
2022-04-05,67.19999694824219
2022-04-06,69.19999694824219
2022-04-07,67.80000305175781
2022-04-08,67.5999984741211
2022-04-11,63.0
2022-04-12,62.400001525878906
2022-04-13,63.79999923706055
2022-04-14,63.79999923706055
2022-04-18,62.20000076293945
2022-04-19,61.599998474121094
2022-04-20,60.400001525878906
2022-04-21,55.599998474121094
2022-04-22,56.20000076293945
2022-04-25,56.20000076293945
2022-04-26,53.400001525878906
2022-04-27,53.0
2022-04-28,54.599998474121094
2022-04-29,53.20000076293945
2022-05-02,53.20000076293945
2022-05-03,70.0
2022-05-04,68.19999694824219
2022-05-05,69.80000305175781
2022-05-06,74.0
2022-05-09,58.599998474121094
2022-05-10,57.599998474121094
2022-05-11,57.79999923706055
2022-05-12,60.0
2022-05-13,68.80000305175781
2022-05-16,75.0
2022-05-17,78.4000015258789
2022-05-18,78.19999694824219
2022-05-19,82.4000015258789
2022-05-20,73.0
2022-05-23,72.19999694824219
2022-05-24,67.0
2022-05-25,65.4000015258789
2022-05-26,66.4000015258789
2022-05-27,67.4000015258789
2022-05-31,69.0
2022-06-01,61.0
2022-06-02,62.599998474121094
2022-06-03,66.80000305175781
2022-06-06,66.19999694824219
2022-06-07,66.5999984741211
2022-06-08,67.0
2022-06-09,67.4000015258789
2022-06-10,65.0
2022-06-13,62.599998474121094
2022-06-14,59.599998474121094
2022-06-15,60.0
2022-06-16,57.599998474121094
2022-06-17,61.400001525878906
2022-06-21,59.0
2022-06-22,61.0
2022-06-23,59.400001525878906
2022-06-24,61.0
2022-06-27,60.599998474121094
2022-06-28,60.599998474121094
2022-06-29,59.20000076293945
2022-06-30,58.400001525878906
2022-07-01,58.599998474121094
2022-07-05,58.599998474121094
