Date,SGMO
2022-02-28,5.849999904632568
2022-03-01,5.880000114440918
2022-03-02,5.840000152587891
2022-03-03,5.619999885559082
2022-03-04,5.489999771118164
2022-03-07,5.559999942779541
2022-03-08,5.619999885559082
2022-03-09,5.940000057220459
2022-03-10,5.849999904632568
2022-03-11,5.590000152587891
2022-03-14,5.230000019073486
2022-03-15,5.239999771118164
2022-03-16,5.550000190734863
2022-03-17,5.860000133514404
2022-03-18,6.170000076293945
2022-03-21,5.78000020980835
2022-03-22,6.099999904632568
2022-03-23,5.760000228881836
2022-03-24,5.920000076293945
2022-03-25,5.75
2022-03-28,5.730000019073486
2022-03-29,6.28000020980835
2022-03-30,5.929999828338623
2022-03-31,5.809999942779541
2022-04-01,6.050000190734863
2022-04-04,6.210000038146973
2022-04-05,6.150000095367432
2022-04-06,6.210000038146973
2022-04-07,5.860000133514404
2022-04-08,5.690000057220459
2022-04-11,5.400000095367432
2022-04-12,5.409999847412109
2022-04-13,5.550000190734863
2022-04-14,5.260000228881836
2022-04-18,5.019999980926514
2022-04-19,5.119999885559082
2022-04-20,5.099999904632568
2022-04-21,4.760000228881836
2022-04-22,4.699999809265137
2022-04-25,4.829999923706055
2022-04-26,4.5
2022-04-27,4.360000133514404
2022-04-28,4.320000171661377
2022-04-29,4.150000095367432
2022-05-02,4.440000057220459
2022-05-03,4.46999979019165
2022-05-04,4.579999923706055
2022-05-05,4.300000190734863
2022-05-06,4.139999866485596
2022-05-09,3.700000047683716
2022-05-10,3.869999885559082
2022-05-11,3.559999942779541
2022-05-12,3.7799999713897705
2022-05-13,4.019999980926514
2022-05-16,3.880000114440918
2022-05-17,3.950000047683716
2022-05-18,3.7699999809265137
2022-05-19,4.0
2022-05-20,4.139999866485596
2022-05-23,4.010000228881836
2022-05-24,3.549999952316284
2022-05-25,3.4200000762939453
2022-05-26,3.5399999618530273
2022-05-27,3.680000066757202
2022-05-31,3.6500000953674316
2022-06-01,3.549999952316284
2022-06-02,3.6700000762939453
2022-06-03,3.7200000286102295
2022-06-06,3.700000047683716
2022-06-07,4.019999980926514
2022-06-08,4.269999980926514
2022-06-09,4.130000114440918
2022-06-10,3.759999990463257
2022-06-13,3.2799999713897705
2022-06-14,3.299999952316284
2022-06-15,3.450000047683716
2022-06-16,3.319999933242798
2022-06-17,3.5799999237060547
2022-06-21,3.940000057220459
2022-06-22,4.0
2022-06-23,4.369999885559082
2022-06-24,4.309999942779541
2022-06-27,4.269999980926514
2022-06-28,4.090000152587891
2022-06-29,4.139999866485596
2022-06-30,4.139999866485596
2022-07-01,4.28000020980835
2022-07-05,4.670000076293945
2022-07-06,4.590000152587891
2022-07-07,4.670000076293945
2022-07-08,4.630000114440918
2022-07-11,4.380000114440918
2022-07-12,4.480000019073486
2022-07-13,4.570000171661377
2022-07-14,4.539999961853027
2022-07-15,4.539999961853027
2022-07-18,4.460000038146973
2022-07-19,4.710000038146973
2022-07-20,4.75
2022-07-21,4.710000038146973
2022-07-22,4.5
2022-07-25,4.460000038146973
2022-07-26,4.460000038146973
2022-07-27,4.570000171661377
2022-07-28,4.449999809265137
2022-07-29,4.289999961853027
2022-08-01,4.269999980926514
2022-08-02,4.440000057220459
2022-08-03,4.800000190734863
2022-08-04,4.769999980926514
2022-08-05,5.199999809265137
2022-08-08,5.289999961853027
2022-08-09,5.239999771118164
2022-08-10,5.849999904632568
2022-08-11,5.820000171661377
2022-08-12,6.329999923706055
2022-08-15,6.389999866485596
2022-08-16,6.090000152587891
2022-08-17,5.889999866485596
2022-08-18,5.96999979019165
2022-08-19,5.670000076293945
2022-08-22,5.53000020980835
2022-08-23,5.579999923706055
2022-08-24,5.849999904632568
2022-08-25,5.849999904632568
2022-08-26,5.400000095367432
2022-08-29,5.25
2022-08-30,5.329999923706055
2022-08-31,5.400000095367432
2022-09-01,5.570000171661377
2022-09-02,5.53000020980835
2022-09-06,5.329999923706055
2022-09-07,5.650000095367432
2022-09-08,5.769999980926514
2022-09-09,5.699999809265137
2022-09-12,5.75
2022-09-13,5.460000038146973
2022-09-14,5.590000152587891
2022-09-15,5.800000190734863
2022-09-16,5.25
2022-09-19,5.309999942779541
2022-09-20,5.300000190734863
2022-09-21,5.070000171661377
2022-09-22,5.039999961853027
2022-09-23,4.949999809265137
2022-09-26,4.78000020980835
2022-09-27,5.010000228881836
2022-09-28,5.210000038146973
2022-09-29,4.869999885559082
2022-09-30,4.900000095367432
2022-10-03,4.78000020980835
2022-10-04,5.070000171661377
2022-10-05,4.989999771118164
2022-10-06,5.0
2022-10-07,4.840000152587891
2022-10-10,4.710000038146973
2022-10-11,4.75
2022-10-12,4.739999771118164
2022-10-13,4.860000133514404
2022-10-14,4.630000114440918
2022-10-17,4.800000190734863
2022-10-18,4.789999961853027
2022-10-19,4.400000095367432
2022-10-20,4.309999942779541
2022-10-21,4.320000171661377
2022-10-24,4.289999961853027
2022-10-25,4.320000171661377
2022-10-26,4.349999904632568
2022-10-27,4.300000190734863
2022-10-28,4.420000076293945
2022-10-31,4.389999866485596
2022-11-01,4.389999866485596
2022-11-02,4.260000228881836
2022-11-03,4.150000095367432
2022-11-04,3.619999885559082
2022-11-07,3.390000104904175
2022-11-08,3.450000047683716
2022-11-09,3.3399999141693115
2022-11-10,3.990000009536743
2022-11-11,4.03000020980835
2022-11-14,3.9200000762939453
2022-11-15,3.9100000858306885
2022-11-16,3.7100000381469727
2022-11-17,3.6600000858306885
2022-11-18,3.6500000953674316
2022-11-21,3.5999999046325684
2022-11-22,3.5999999046325684
