Date,LU
2022-02-28,25.8799991607666
2022-03-01,24.719999313354492
2022-03-02,23.239999771118164
2022-03-03,22.15999984741211
2022-03-04,20.079999923706055
2022-03-07,21.040000915527344
2022-03-08,21.200000762939453
2022-03-09,22.440000534057617
2022-03-10,23.520000457763672
2022-03-11,18.719999313354492
2022-03-14,18.040000915527344
2022-03-15,18.559999465942383
2022-03-16,25.399999618530273
2022-03-17,25.200000762939453
2022-03-18,26.639999389648438
2022-03-21,25.440000534057617
2022-03-22,26.68000030517578
2022-03-23,27.0
2022-03-24,26.200000762939453
2022-03-25,24.079999923706055
2022-03-28,24.0
2022-03-29,23.799999237060547
2022-03-30,23.239999771118164
2022-03-31,22.280000686645508
2022-04-01,22.760000228881836
2022-04-04,24.239999771118164
2022-04-05,23.639999389648438
2022-04-06,23.799999237060547
2022-04-07,21.799999237060547
2022-04-08,22.399999618530273
2022-04-11,22.440000534057617
2022-04-12,22.440000534057617
2022-04-13,22.600000381469727
2022-04-14,21.84000015258789
2022-04-18,21.639999389648438
2022-04-19,22.280000686645508
2022-04-20,22.040000915527344
2022-04-21,21.31999969482422
2022-04-22,21.959999084472656
2022-04-25,20.8799991607666
2022-04-26,19.920000076293945
2022-04-27,20.600000381469727
2022-04-28,21.280000686645508
2022-04-29,22.200000762939453
2022-05-02,22.280000686645508
2022-05-03,22.0
2022-05-04,22.399999618530273
2022-05-05,21.079999923706055
2022-05-06,20.559999465942383
2022-05-09,18.8799991607666
2022-05-10,19.920000076293945
2022-05-11,19.959999084472656
2022-05-12,20.399999618530273
2022-05-13,22.239999771118164
2022-05-16,22.84000015258789
2022-05-17,24.1200008392334
2022-05-18,24.079999923706055
2022-05-19,24.280000686645508
2022-05-20,23.959999084472656
2022-05-23,24.399999618530273
2022-05-24,23.200000762939453
2022-05-25,23.920000076293945
2022-05-26,23.799999237060547
2022-05-27,25.040000915527344
2022-05-31,25.15999984741211
2022-06-01,24.1200008392334
2022-06-02,24.1200008392334
2022-06-03,24.040000915527344
2022-06-06,25.360000610351562
2022-06-07,25.639999389648438
2022-06-08,25.399999618530273
2022-06-09,25.0
2022-06-10,24.0
2022-06-13,24.200000762939453
2022-06-14,24.440000534057617
2022-06-15,24.799999237060547
2022-06-16,24.360000610351562
2022-06-17,25.639999389648438
2022-06-21,27.280000686645508
2022-06-22,25.84000015258789
2022-06-23,25.280000686645508
2022-06-24,25.360000610351562
2022-06-27,25.1200008392334
2022-06-28,24.760000228881836
2022-06-29,24.520000457763672
2022-06-30,24.0
2022-07-01,24.84000015258789
2022-07-05,23.959999084472656
2022-07-06,23.0
2022-07-07,23.040000915527344
2022-07-08,22.719999313354492
2022-07-11,21.0
2022-07-12,21.239999771118164
2022-07-13,20.959999084472656
2022-07-14,19.920000076293945
2022-07-15,19.639999389648438
2022-07-18,20.15999984741211
2022-07-19,20.15999984741211
2022-07-20,19.399999618530273
2022-07-21,19.600000381469727
2022-07-22,18.959999084472656
2022-07-25,19.200000762939453
2022-07-26,19.15999984741211
2022-07-27,19.280000686645508
2022-07-28,18.799999237060547
2022-07-29,18.31999969482422
2022-08-01,17.84000015258789
2022-08-02,18.31999969482422
2022-08-03,18.15999984741211
2022-08-04,18.040000915527344
2022-08-05,17.040000915527344
2022-08-08,17.0
2022-08-09,16.280000686645508
2022-08-10,17.040000915527344
2022-08-11,17.1200008392334
2022-08-12,16.0
