Date,VERO
2022-02-28,24.75
2022-03-01,24.299999237060547
2022-03-02,23.399999618530273
2022-03-03,23.100000381469727
2022-03-04,22.649999618530273
2022-03-07,22.350000381469727
2022-03-08,21.149999618530273
2022-03-09,22.350000381469727
2022-03-10,21.149999618530273
2022-03-11,21.0
2022-03-14,19.5
2022-03-15,19.350000381469727
2022-03-16,20.399999618530273
2022-03-17,20.549999237060547
2022-03-18,20.700000762939453
2022-03-21,21.0
2022-03-22,20.850000381469727
2022-03-23,20.850000381469727
2022-03-24,20.700000762939453
2022-03-25,20.700000762939453
2022-03-28,21.299999237060547
2022-03-29,21.299999237060547
2022-03-30,21.299999237060547
2022-03-31,21.450000762939453
2022-04-01,22.799999237060547
2022-04-04,23.549999237060547
2022-04-05,22.350000381469727
2022-04-06,20.700000762939453
2022-04-07,20.549999237060547
2022-04-08,21.450000762939453
2022-04-11,20.25
2022-04-12,20.100000381469727
2022-04-13,20.100000381469727
2022-04-14,19.5
2022-04-18,18.75
2022-04-19,19.350000381469727
2022-04-20,17.700000762939453
2022-04-21,16.950000762939453
2022-04-22,16.049999237060547
2022-04-25,15.449999809265137
2022-04-26,14.625
2022-04-27,14.819999694824219
2022-04-28,15.074999809265137
2022-04-29,12.510000228881836
2022-05-02,12.65999984741211
2022-05-03,12.149999618530273
2022-05-04,12.930000305175781
2022-05-05,12.149999618530273
2022-05-06,11.699999809265137
2022-05-09,10.859999656677246
2022-05-10,11.039999961853027
2022-05-11,10.079999923706055
2022-05-12,10.5
2022-05-13,12.84000015258789
2022-05-16,11.850000381469727
2022-05-17,11.760000228881836
2022-05-18,10.664999961853027
2022-05-19,10.5
2022-05-20,10.890000343322754
2022-05-23,10.199999809265137
2022-05-24,9.960000038146973
2022-05-25,10.305000305175781
2022-05-26,10.800000190734863
2022-05-27,11.460000038146973
2022-05-31,11.024999618530273
2022-06-01,10.305000305175781
2022-06-02,10.5
2022-06-03,10.529999732971191
2022-06-06,10.725000381469727
2022-06-07,11.010000228881836
2022-06-08,10.364999771118164
2022-06-09,10.229999542236328
2022-06-10,10.199999809265137
2022-06-13,9.149999618530273
2022-06-14,9.3149995803833
2022-06-15,9.0
2022-06-16,8.729999542236328
2022-06-17,7.800000190734863
2022-06-21,8.25
2022-06-22,7.619999885559082
2022-06-23,7.514999866485596
2022-06-24,7.349999904632568
2022-06-27,6.75
2022-06-28,6.704999923706055
2022-06-29,6.704999923706055
2022-06-30,6.960000038146973
2022-07-01,7.079999923706055
2022-07-05,7.170000076293945
2022-07-06,7.380000114440918
2022-07-07,7.514999866485596
2022-07-08,7.784999847412109
2022-07-11,7.184999942779541
2022-07-12,7.949999809265137
2022-07-13,7.934999942779541
2022-07-14,8.100000381469727
2022-07-15,8.414999961853027
2022-07-18,7.5
2022-07-19,7.949999809265137
2022-07-20,7.934999942779541
2022-07-21,8.204999923706055
2022-07-22,7.875
2022-07-25,7.800000190734863
2022-07-26,9.0
2022-07-27,8.699999809265137
2022-07-28,8.625
2022-07-29,8.699999809265137
2022-08-01,8.520000457763672
2022-08-02,8.234999656677246
2022-08-03,8.34000015258789
2022-08-04,8.175000190734863
2022-08-05,8.3100004196167
2022-08-08,8.550000190734863
2022-08-09,7.84499979019165
2022-08-10,8.024999618530273
2022-08-11,8.625
2022-08-12,7.590000152587891
2022-08-15,6.840000152587891
2022-08-16,6.764999866485596
2022-08-17,6.074999809265137
2022-08-18,6.135000228881836
2022-08-19,6.03000020980835
2022-08-22,5.684999942779541
2022-08-23,5.519999980926514
2022-08-24,5.579999923706055
2022-08-25,5.699999809265137
2022-08-26,5.21999979019165
2022-08-29,4.739999771118164
2022-08-30,4.800000190734863
2022-08-31,4.635000228881836
2022-09-01,5.25
2022-09-02,8.130000114440918
2022-09-06,8.324999809265137
2022-09-07,9.6899995803833
2022-09-08,11.204999923706055
2022-09-09,10.5
2022-09-12,10.529999732971191
2022-09-13,8.265000343322754
2022-09-14,8.505000114440918
2022-09-15,8.324999809265137
2022-09-16,9.270000457763672
2022-09-19,9.479999542236328
2022-09-20,8.640000343322754
2022-09-21,8.279999732971191
2022-09-22,7.09499979019165
2022-09-23,6.389999866485596
2022-09-26,6.75
2022-09-27,6.599999904632568
2022-09-28,7.409999847412109
2022-09-29,7.275000095367432
2022-09-30,6.599999904632568
2022-10-03,6.494999885559082
2022-10-04,6.105000019073486
2022-10-05,5.625
2022-10-06,5.505000114440918
2022-10-07,5.400000095367432
2022-10-10,5.039999961853027
2022-10-11,4.920000076293945
2022-10-12,4.664999961853027
2022-10-13,4.514999866485596
2022-10-14,4.184999942779541
2022-10-17,4.09499979019165
2022-10-18,4.019999980926514
2022-10-19,3.8399999141693115
2022-10-20,3.8550000190734863
2022-10-21,4.005000114440918
2022-10-24,3.5999999046325684
2022-10-25,3.7799999713897705
2022-10-26,3.9000000953674316
2022-10-27,3.9000000953674316
2022-10-28,3.7049999237060547
2022-10-31,3.450000047683716
2022-11-01,3.450000047683716
2022-11-02,3.375
2022-11-03,3.2850000858306885
2022-11-04,3.3450000286102295
2022-11-07,3.2850000858306885
2022-11-08,3.375
2022-11-09,3.2850000858306885
2022-11-10,3.180000066757202
2022-11-11,3.299999952316284
2022-11-14,3.299999952316284
2022-11-15,3.1649999618530273
2022-11-16,3.194999933242798
2022-11-17,2.4600000381469727
2022-11-18,2.700000047683716
2022-11-21,3.0
2022-11-22,3.2850000858306885
2022-11-23,5.25
2022-11-25,4.394999980926514
2022-11-28,3.765000104904175
2022-11-29,3.630000114440918
2022-11-30,3.5999999046325684
