Date,TSHA
2022-02-28,6.369999885559082
2022-03-01,6.579999923706055
2022-03-02,6.389999866485596
2022-03-03,6.090000152587891
2022-03-04,5.71999979019165
2022-03-07,5.739999771118164
2022-03-08,5.849999904632568
2022-03-09,6.5
2022-03-10,6.380000114440918
2022-03-11,5.949999809265137
2022-03-14,5.224999904632568
2022-03-15,5.349999904632568
2022-03-16,5.900000095367432
2022-03-17,6.230000019073486
2022-03-18,6.539999961853027
2022-03-21,6.309999942779541
2022-03-22,6.409999847412109
2022-03-23,6.199999809265137
2022-03-24,6.239999771118164
2022-03-25,5.920000076293945
2022-03-28,5.800000190734863
2022-03-29,6.079999923706055
2022-03-30,6.150000095367432
2022-03-31,6.519999980926514
2022-04-01,6.340000152587891
2022-04-04,6.769999980926514
2022-04-05,6.670000076293945
2022-04-06,6.519999980926514
2022-04-07,6.340000152587891
2022-04-08,5.909999847412109
2022-04-11,5.789999961853027
2022-04-12,5.650000095367432
2022-04-13,5.909999847412109
2022-04-14,5.539999961853027
2022-04-18,5.130000114440918
2022-04-19,5.420000076293945
2022-04-20,5.21999979019165
2022-04-21,4.980000019073486
2022-04-22,4.679999828338623
2022-04-25,4.760000228881836
2022-04-26,4.349999904632568
2022-04-27,4.420000076293945
2022-04-28,4.21999979019165
2022-04-29,3.6600000858306885
2022-05-02,3.940000057220459
2022-05-03,4.289999961853027
2022-05-04,4.269999980926514
2022-05-05,3.9700000286102295
2022-05-06,3.6500000953674316
2022-05-09,3.5899999141693115
2022-05-10,3.7300000190734863
2022-05-11,3.190000057220459
2022-05-12,3.069999933242798
2022-05-13,3.440000057220459
2022-05-16,3.319999933242798
2022-05-17,3.299999952316284
2022-05-18,3.0299999713897705
2022-05-19,2.9800000190734863
2022-05-20,2.7699999809265137
2022-05-23,2.700000047683716
2022-05-24,2.569999933242798
2022-05-25,2.490000009536743
2022-05-26,2.619999885559082
2022-05-27,2.680000066757202
2022-05-31,2.549999952316284
2022-06-01,2.4700000286102295
2022-06-02,2.509999990463257
2022-06-03,2.740000009536743
2022-06-06,3.109999895095825
2022-06-07,3.7200000286102295
2022-06-08,3.6600000858306885
2022-06-09,3.5799999237060547
2022-06-10,3.309999942779541
2022-06-13,2.740000009536743
2022-06-14,3.009999990463257
2022-06-15,3.009999990463257
2022-06-16,2.869999885559082
2022-06-17,2.809999942779541
2022-06-21,3.049999952316284
2022-06-22,3.430000066757202
2022-06-23,4.039999961853027
2022-06-24,3.9600000381469727
2022-06-27,4.0
2022-06-28,3.950000047683716
2022-06-29,3.8499999046325684
2022-06-30,3.7200000286102295
2022-07-01,3.450000047683716
2022-07-05,3.5199999809265137
2022-07-06,3.819999933242798
2022-07-07,4.130000114440918
2022-07-08,4.420000076293945
2022-07-11,4.130000114440918
2022-07-12,4.429999828338623
2022-07-13,4.429999828338623
2022-07-14,4.179999828338623
2022-07-15,4.260000228881836
2022-07-18,4.409999847412109
2022-07-19,4.519999980926514
2022-07-20,4.789999961853027
2022-07-21,4.940000057220459
2022-07-22,4.71999979019165
2022-07-25,4.369999885559082
2022-07-26,4.320000171661377
2022-07-27,4.53000020980835
2022-07-28,4.329999923706055
2022-07-29,4.070000171661377
2022-08-01,4.099999904632568
2022-08-02,4.099999904632568
2022-08-03,4.340000152587891
2022-08-04,4.28000020980835
2022-08-05,4.300000190734863
2022-08-08,4.579999923706055
2022-08-09,4.820000171661377
2022-08-10,4.880000114440918
2022-08-11,3.950000047683716
2022-08-12,4.099999904632568
2022-08-15,4.340000152587891
2022-08-16,4.079999923706055
2022-08-17,3.940000057220459
2022-08-18,3.880000114440918
2022-08-19,3.740000009536743
2022-08-22,3.430000066757202
2022-08-23,3.4700000286102295
2022-08-24,3.6600000858306885
