Date,EVO
2022-02-28,14.670000076293945
2022-03-01,14.479999542236328
2022-03-02,14.40999984741211
2022-03-03,14.289999961853027
2022-03-04,13.5
2022-03-07,13.119999885559082
2022-03-08,12.930000305175781
2022-03-09,14.15999984741211
2022-03-10,13.699999809265137
2022-03-11,13.460000038146973
2022-03-14,13.579999923706055
2022-03-15,13.90999984741211
2022-03-16,14.90999984741211
2022-03-17,15.15999984741211
2022-03-18,15.399999618530273
2022-03-21,15.319999694824219
2022-03-22,15.399999618530273
2022-03-23,15.0600004196167
2022-03-24,14.670000076293945
2022-03-25,14.420000076293945
2022-03-28,14.619999885559082
2022-03-29,15.399999618530273
2022-03-30,15.489999771118164
2022-03-31,15.130000114440918
2022-04-01,15.399999618530273
2022-04-04,15.5
2022-04-05,15.460000038146973
2022-04-06,15.010000228881836
2022-04-07,15.279999732971191
2022-04-08,14.859999656677246
2022-04-11,14.430000305175781
2022-04-12,13.390000343322754
2022-04-13,13.550000190734863
2022-04-14,13.579999923706055
2022-04-18,13.619999885559082
2022-04-19,13.609999656677246
2022-04-20,14.199999809265137
2022-04-21,14.0600004196167
2022-04-22,13.720000267028809
2022-04-25,13.1899995803833
2022-04-26,12.119999885559082
2022-04-27,12.109999656677246
2022-04-28,12.279999732971191
2022-04-29,12.0
2022-05-02,12.0
2022-05-03,12.109999656677246
2022-05-04,12.220000267028809
2022-05-05,11.930000305175781
2022-05-06,11.430000305175781
2022-05-09,10.779999732971191
2022-05-10,12.550000190734863
2022-05-11,10.890000343322754
2022-05-12,11.050000190734863
2022-05-13,12.420000076293945
2022-05-16,12.609999656677246
2022-05-17,13.069999694824219
2022-05-18,12.390000343322754
2022-05-19,13.069999694824219
2022-05-20,13.420000076293945
2022-05-23,13.300000190734863
2022-05-24,13.229999542236328
2022-05-25,13.239999771118164
2022-05-26,13.550000190734863
2022-05-27,13.920000076293945
2022-05-31,13.84000015258789
2022-06-01,13.399999618530273
2022-06-02,14.0
2022-06-03,13.770000457763672
2022-06-06,13.920000076293945
2022-06-07,14.199999809265137
2022-06-08,14.199999809265137
2022-06-09,13.229999542236328
2022-06-10,12.970000267028809
2022-06-13,12.199999809265137
2022-06-14,11.680000305175781
2022-06-15,12.239999771118164
2022-06-16,11.880000114440918
2022-06-17,12.199999809265137
2022-06-21,12.079999923706055
2022-06-22,12.460000038146973
2022-06-23,12.430000305175781
2022-06-24,13.029999732971191
2022-06-27,13.050000190734863
2022-06-28,12.710000038146973
2022-06-29,12.489999771118164
2022-06-30,11.979999542236328
2022-07-01,12.600000381469727
2022-07-05,12.479999542236328
2022-07-06,12.710000038146973
2022-07-07,12.9399995803833
2022-07-08,12.970000267028809
2022-07-11,12.609999656677246
2022-07-12,12.119999885559082
2022-07-13,12.420000076293945
2022-07-14,12.289999961853027
2022-07-15,12.359999656677246
2022-07-18,12.399999618530273
2022-07-19,12.850000381469727
2022-07-20,12.729999542236328
2022-07-21,13.180000305175781
2022-07-22,13.359999656677246
2022-07-25,13.180000305175781
2022-07-26,12.9399995803833
2022-07-27,13.239999771118164
2022-07-28,13.149999618530273
2022-07-29,12.670000076293945
2022-08-01,13.170000076293945
2022-08-02,13.789999961853027
2022-08-03,14.59000015258789
2022-08-04,14.90999984741211
2022-08-05,14.289999961853027
2022-08-08,14.34000015258789
2022-08-09,14.130000114440918
2022-08-10,13.130000114440918
2022-08-11,13.140000343322754
2022-08-12,13.970000267028809
2022-08-15,13.800000190734863
2022-08-16,13.710000038146973
2022-08-17,13.649999618530273
2022-08-18,13.369999885559082
2022-08-19,13.079999923706055
2022-08-22,12.760000228881836
2022-08-23,11.680000305175781
2022-08-24,11.739999771118164
2022-08-25,11.699999809265137
2022-08-26,11.359999656677246
2022-08-29,11.119999885559082
2022-08-30,11.300000190734863
2022-08-31,11.0600004196167
2022-09-01,10.670000076293945
2022-09-02,10.729999542236328
2022-09-06,10.670000076293945
2022-09-07,11.079999923706055
2022-09-08,11.199999809265137
2022-09-09,11.489999771118164
2022-09-12,11.579999923706055
2022-09-13,10.789999961853027
2022-09-14,10.680000305175781
2022-09-15,10.479999542236328
2022-09-16,10.170000076293945
2022-09-19,9.989999771118164
2022-09-20,9.420000076293945
2022-09-21,9.170000076293945
2022-09-22,8.949999809265137
2022-09-23,8.579999923706055
2022-09-26,8.399999618530273
2022-09-27,8.430000305175781
2022-09-28,8.710000038146973
2022-09-29,8.470000267028809
2022-09-30,8.789999961853027
2022-10-03,9.0
2022-10-04,9.479999542236328
2022-10-05,8.859999656677246
2022-10-06,9.010000228881836
2022-10-07,8.6899995803833
2022-10-10,8.300000190734863
2022-10-11,8.140000343322754
2022-10-12,8.050000190734863
2022-10-13,8.350000381469727
2022-10-14,8.3100004196167
2022-10-17,8.770000457763672
2022-10-18,9.109999656677246
2022-10-19,8.640000343322754
2022-10-20,8.680000305175781
2022-10-21,8.8100004196167
2022-10-24,8.869999885559082
2022-10-25,9.449999809265137
2022-10-26,9.789999961853027
2022-10-27,9.619999885559082
2022-10-28,9.609999656677246
2022-10-31,9.729999542236328
2022-11-01,9.720000267028809
2022-11-02,9.479999542236328
2022-11-03,8.9399995803833
2022-11-04,9.380000114440918
2022-11-07,9.5
2022-11-08,9.529999732971191
2022-11-09,8.539999961853027
2022-11-10,9.369999885559082
2022-11-11,9.850000381469727
2022-11-14,9.680000305175781
2022-11-15,9.25
2022-11-16,8.760000228881836
2022-11-17,8.800000190734863
2022-11-18,8.449999809265137
2022-11-21,8.270000457763672
2022-11-22,8.1899995803833
2022-11-23,8.569999694824219
