Date,QMMM
2024-07-19,4.070000171661377
2024-07-22,4.010000228881836
2024-07-23,4.0
2024-07-24,4.03000020980835
2024-07-25,4.014999866485596
2024-07-26,4.039999961853027
2024-07-29,4.034999847412109
2024-07-30,4.0
2024-07-31,4.099999904632568
2024-08-01,4.119999885559082
2024-08-02,4.239999771118164
2024-08-05,4.255000114440918
2024-08-06,4.210000038146973
2024-08-07,4.289999961853027
2024-08-08,4.019999980926514
2024-08-09,4.019999980926514
2024-08-12,4.010000228881836
2024-08-13,3.950000047683716
2024-08-14,3.9600000381469727
2024-08-15,4.019999980926514
2024-08-16,4.0
2024-08-19,4.179999828338623
2024-08-20,4.474999904632568
2024-08-21,5.139999866485596
2024-08-22,4.869999885559082
2024-08-23,4.75
2024-08-26,5.150000095367432
2024-08-27,4.909999847412109
2024-08-28,5.150000095367432
2024-08-29,5.090000152587891
2024-08-30,6.289999961853027
2024-09-03,7.260000228881836
2024-09-04,5.869999885559082
2024-09-05,6.019999980926514
2024-09-06,6.159999847412109
2024-09-09,6.46999979019165
2024-09-10,7.340000152587891
2024-09-11,6.664999961853027
2024-09-12,5.860000133514404
2024-09-13,6.190000057220459
2024-09-16,5.639999866485596
2024-09-17,5.420000076293945
2024-09-18,5.630000114440918
2024-09-19,5.630000114440918
2024-09-20,5.409999847412109
2024-09-23,5.5
2024-09-24,6.139999866485596
2024-09-25,6.320000171661377
2024-09-26,6.369999885559082
2024-09-27,6.400000095367432
2024-09-30,6.21999979019165
2024-10-01,6.570000171661377
2024-10-02,6.429999828338623
2024-10-03,6.71999979019165
2024-10-04,7.5
2024-10-07,6.809999942779541
2024-10-08,7.179999828338623
2024-10-09,7.389999866485596
2024-10-10,7.710000038146973
2024-10-11,7.699999809265137
2024-10-14,7.860000133514404
2024-10-15,8.670000076293945
2024-10-16,8.510000228881836
2024-10-17,9.079999923706055
2024-10-18,10.079999923706055
2024-10-21,9.890000343322754
2024-10-22,10.859999656677246
2024-10-23,9.619999885559082
2024-10-24,9.25
2024-10-25,9.359999656677246
2024-10-28,8.890000343322754
2024-10-29,9.300000190734863
2024-10-30,9.800000190734863
2024-10-31,9.479999542236328
2024-11-01,11.399999618530273
2024-11-04,11.979999542236328
2024-11-05,12.390000343322754
2024-11-06,7.760000228881836
2024-11-07,7.880000114440918
2024-11-08,9.380000114440918
2024-11-11,11.140000343322754
2024-11-12,11.869999885559082
2024-11-13,9.789999961853027
2024-11-14,8.4399995803833
2024-11-15,7.329999923706055
2024-11-18,1.7300000190734863
2024-11-19,1.2699999809265137
2024-11-20,0.7120000123977661
2024-11-21,0.5830000042915344
