Date,APVO
2022-02-28,253.44000244140625
2022-03-01,243.75999450683594
2022-03-02,243.75999450683594
2022-03-03,235.83999633789062
2022-03-04,233.1999969482422
2022-03-07,224.39999389648438
2022-03-08,213.83999633789062
2022-03-09,223.52000427246094
2022-03-10,214.72000122070312
2022-03-11,209.0
2022-03-14,197.1199951171875
2022-03-15,197.1199951171875
2022-03-16,208.55999755859375
2022-03-17,220.0
2022-03-18,223.52000427246094
2022-03-21,221.75999450683594
2022-03-22,229.24000549316406
2022-03-23,230.55999755859375
2022-03-24,306.239990234375
2022-03-25,267.0799865722656
2022-03-28,267.0799865722656
2022-03-29,267.0799865722656
2022-03-30,267.5199890136719
2022-03-31,258.2799987792969
2022-04-01,277.20001220703125
2022-04-04,273.67999267578125
2022-04-05,266.6400146484375
2022-04-06,267.0799865722656
2022-04-07,260.0400085449219
2022-04-08,237.16000366210938
2022-04-11,206.8000030517578
2022-04-12,215.16000366210938
2022-04-13,211.63999938964844
2022-04-14,209.44000244140625
2022-04-18,207.67999267578125
2022-04-19,212.9600067138672
2022-04-20,223.52000427246094
2022-04-21,207.67999267578125
2022-04-22,205.9199981689453
2022-04-25,204.16000366210938
2022-04-26,186.55999755859375
2022-04-27,177.32000732421875
2022-04-28,187.44000244140625
2022-04-29,187.44000244140625
2022-05-02,197.1199951171875
2022-05-03,192.72000122070312
2022-05-04,194.0399932861328
2022-05-05,179.52000427246094
2022-05-06,177.75999450683594
2022-05-09,155.75999450683594
2022-05-10,171.60000610351562
2022-05-11,168.0800018310547
2022-05-12,187.0
2022-05-13,202.39999389648438
2022-05-16,203.72000122070312
2022-05-17,212.9600067138672
2022-05-18,205.9199981689453
2022-05-19,212.52000427246094
2022-05-20,200.1999969482422
2022-05-23,212.52000427246094
2022-05-24,209.0
2022-05-25,212.9600067138672
2022-05-26,206.8000030517578
2022-05-27,214.72000122070312
2022-05-31,201.52000427246094
2022-06-01,198.8800048828125
2022-06-02,207.67999267578125
2022-06-03,219.55999755859375
2022-06-06,226.60000610351562
2022-06-07,242.8800048828125
2022-06-08,249.9199981689453
2022-06-09,213.83999633789062
2022-06-10,175.1199951171875
2022-06-13,155.32000732421875
2022-06-14,146.0800018310547
2022-06-15,145.1999969482422
2022-06-16,143.44000244140625
2022-06-17,153.1199951171875
2022-06-21,162.8000030517578
2022-06-22,172.0399932861328
2022-06-23,176.44000244140625
2022-06-24,170.72000122070312
2022-06-27,160.60000610351562
2022-06-28,153.1199951171875
2022-06-29,155.32000732421875
2022-06-30,157.52000427246094
2022-07-01,157.52000427246094
2022-07-05,165.8800048828125
2022-07-06,171.60000610351562
2022-07-07,176.8800048828125
2022-07-08,183.47999572753906
2022-07-11,182.60000610351562
2022-07-12,179.0800018310547
2022-07-13,180.83999633789062
2022-07-14,178.1999969482422
2022-07-15,172.47999572753906
2022-07-18,176.9239959716797
2022-07-19,184.8000030517578
2022-07-20,186.55999755859375
2022-07-21,190.0800018310547
2022-07-22,176.8800048828125
2022-07-25,184.8000030517578
2022-07-26,175.55999755859375
2022-07-27,182.60000610351562
2022-07-28,181.27999877929688
2022-07-29,173.36000061035156
2022-08-01,172.25999450683594
2022-08-02,176.8800048828125
2022-08-03,175.55999755859375
2022-08-04,179.9600067138672
2022-08-05,188.75999450683594
2022-08-08,197.1199951171875
2022-08-09,190.0800018310547
2022-08-10,197.1199951171875
2022-08-11,193.60000610351562
2022-08-12,194.47999572753906
2022-08-15,201.9600067138672
2022-08-16,190.9600067138672
2022-08-17,170.27999877929688
2022-08-18,172.9199981689453
2022-08-19,150.9199981689453
2022-08-22,156.1999969482422
2022-08-23,160.16000366210938
2022-08-24,162.8000030517578
2022-08-25,163.24000549316406
2022-08-26,159.27999877929688
2022-08-29,157.9600067138672
2022-08-30,155.32000732421875
2022-08-31,155.75999450683594
2022-09-01,157.9600067138672
2022-09-02,157.0800018310547
2022-09-06,154.44000244140625
2022-09-07,157.0800018310547
2022-09-08,164.1199951171875
2022-09-09,168.3000030517578
2022-09-12,161.0399932861328
2022-09-13,171.16000366210938
2022-09-14,162.8000030517578
2022-09-15,164.55999755859375
2022-09-16,157.52000427246094
2022-09-19,160.60000610351562
2022-09-20,150.9199981689453
2022-09-21,149.60000610351562
2022-09-22,144.75999450683594
2022-09-23,137.27999877929688
2022-09-26,137.27999877929688
2022-09-27,132.44000244140625
2022-09-28,142.55999755859375
2022-09-29,129.8000030517578
2022-09-30,133.75999450683594
2022-10-03,128.0399932861328
2022-10-04,132.44000244140625
2022-10-05,135.52000427246094
2022-10-06,138.16000366210938
2022-10-07,129.36000061035156
2022-10-10,128.0399932861328
2022-10-11,127.5999984741211
2022-10-12,129.8000030517578
2022-10-13,131.55999755859375
2022-10-14,124.5199966430664
2022-10-17,129.36000061035156
2022-10-18,127.5999984741211
2022-10-19,123.63999938964844
2022-10-20,117.4800033569336
2022-10-21,125.4000015258789
2022-10-24,121.0
2022-10-25,124.08000183105469
2022-10-26,130.24000549316406
2022-10-27,131.55999755859375
2022-10-28,131.55999755859375
2022-10-31,132.8800048828125
2022-11-01,132.44000244140625
2022-11-02,134.1999969482422
2022-11-03,133.32000732421875
2022-11-04,126.27999877929688
2022-11-07,125.83999633789062
2022-11-08,124.95999908447266
2022-11-09,121.87999725341797
2022-11-10,124.95999908447266
2022-11-11,138.60000610351562
2022-11-14,141.67999267578125
2022-11-15,147.39999389648438
2022-11-16,136.83999633789062
2022-11-17,136.39999389648438
2022-11-18,137.27999877929688
2022-11-21,126.72000122070312
2022-11-22,128.9199981689453
