Date,AQMS
2022-02-28,21.399999618530273
2022-03-01,21.399999618530273
2022-03-02,22.0
2022-03-03,21.200000762939453
2022-03-04,21.0
2022-03-07,19.979999542236328
2022-03-08,20.799999237060547
2022-03-09,23.399999618530273
2022-03-10,26.0
2022-03-11,26.799999237060547
2022-03-14,22.799999237060547
2022-03-15,23.200000762939453
2022-03-16,23.799999237060547
2022-03-17,25.600000381469727
2022-03-18,28.0
2022-03-21,31.200000762939453
2022-03-22,29.200000762939453
2022-03-23,28.799999237060547
2022-03-24,28.600000381469727
2022-03-25,28.600000381469727
2022-03-28,27.600000381469727
2022-03-29,31.200000762939453
2022-03-30,29.399999618530273
2022-03-31,30.200000762939453
2022-04-01,31.200000762939453
2022-04-04,31.799999237060547
2022-04-05,30.600000381469727
2022-04-06,27.799999237060547
2022-04-07,26.0
2022-04-08,23.799999237060547
2022-04-11,24.0
2022-04-12,23.399999618530273
2022-04-13,25.0
2022-04-14,23.799999237060547
2022-04-18,22.600000381469727
2022-04-19,23.0
2022-04-20,22.799999237060547
2022-04-21,21.799999237060547
2022-04-22,20.799999237060547
2022-04-25,20.799999237060547
2022-04-26,19.579999923706055
2022-04-27,19.979999542236328
2022-04-28,20.600000381469727
2022-04-29,19.219999313354492
2022-05-02,19.200000762939453
2022-05-03,19.600000381469727
2022-05-04,20.399999618530273
2022-05-05,19.31999969482422
2022-05-06,18.780000686645508
2022-05-09,17.280000686645508
2022-05-10,16.700000762939453
2022-05-11,15.84000015258789
2022-05-12,15.5
2022-05-13,16.31999969482422
2022-05-16,16.0
2022-05-17,17.059999465942383
2022-05-18,16.100000381469727
2022-05-19,15.779999732971191
2022-05-20,15.460000038146973
2022-05-23,15.460000038146973
2022-05-24,14.579999923706055
2022-05-25,14.84000015258789
2022-05-26,15.800000190734863
2022-05-27,17.040000915527344
2022-05-31,17.0
2022-06-01,16.5
2022-06-02,18.860000610351562
2022-06-03,19.3799991607666
2022-06-06,18.239999771118164
2022-06-07,19.100000381469727
2022-06-08,19.399999618530273
2022-06-09,19.15999984741211
2022-06-10,18.239999771118164
2022-06-13,17.020000457763672
2022-06-14,17.139999389648438
2022-06-15,18.420000076293945
2022-06-16,21.399999618530273
2022-06-17,18.799999237060547
2022-06-21,18.600000381469727
2022-06-22,18.34000015258789
2022-06-23,18.5
2022-06-24,18.84000015258789
2022-06-27,18.399999618530273
2022-06-28,17.360000610351562
2022-06-29,16.200000762939453
2022-06-30,16.200000762939453
2022-07-01,16.520000457763672
2022-07-05,16.81999969482422
2022-07-06,15.800000190734863
2022-07-07,15.380000114440918
2022-07-08,15.760000228881836
2022-07-11,15.65999984741211
2022-07-12,15.600000381469727
2022-07-13,15.9399995803833
2022-07-14,16.360000610351562
2022-07-15,16.559999465942383
2022-07-18,15.979999542236328
2022-07-19,16.600000381469727
2022-07-20,17.0
2022-07-21,18.31999969482422
2022-07-22,16.799999237060547
2022-07-25,17.040000915527344
2022-07-26,16.299999237060547
2022-07-27,16.600000381469727
2022-07-28,17.3799991607666
2022-07-29,17.260000228881836
2022-08-01,18.84000015258789
2022-08-02,18.31999969482422
2022-08-03,18.360000610351562
2022-08-04,19.200000762939453
2022-08-05,19.760000228881836
2022-08-08,20.600000381469727
2022-08-09,18.399999618530273
2022-08-10,19.979999542236328
2022-08-11,20.0
2022-08-12,21.0
2022-08-15,21.600000381469727
2022-08-16,21.799999237060547
2022-08-17,20.200000762939453
2022-08-18,20.200000762939453
2022-08-19,19.799999237060547
2022-08-22,18.979999542236328
2022-08-23,18.299999237060547
2022-08-24,18.799999237060547
2022-08-25,19.600000381469727
2022-08-26,19.0
2022-08-29,19.0
2022-08-30,19.0
2022-08-31,18.299999237060547
2022-09-01,17.18000030517578
2022-09-02,17.579999923706055
2022-09-06,16.860000610351562
2022-09-07,16.739999771118164
2022-09-08,17.100000381469727
2022-09-09,17.440000534057617
2022-09-12,18.399999618530273
