Date,NKTX
2022-02-28,9.0600004196167
2022-03-01,8.65999984741211
2022-03-02,9.0
2022-03-03,8.859999656677246
2022-03-04,9.100000381469727
2022-03-07,9.6899995803833
2022-03-08,9.569999694824219
2022-03-09,10.34000015258789
2022-03-10,10.079999923706055
2022-03-11,9.960000038146973
2022-03-14,9.4399995803833
2022-03-15,9.619999885559082
2022-03-16,10.359999656677246
2022-03-17,11.470000267028809
2022-03-18,12.039999961853027
2022-03-21,11.539999961853027
2022-03-22,11.0
2022-03-23,11.369999885559082
2022-03-24,11.859999656677246
2022-03-25,11.479999542236328
2022-03-28,11.149999618530273
2022-03-29,11.90999984741211
2022-03-30,11.420000076293945
2022-03-31,11.380000114440918
2022-04-01,11.4399995803833
2022-04-04,12.5
2022-04-05,12.010000228881836
2022-04-06,12.050000190734863
2022-04-07,12.039999961853027
2022-04-08,11.229999542236328
2022-04-11,10.140000343322754
2022-04-12,9.039999961853027
2022-04-13,9.109999656677246
2022-04-14,8.789999961853027
2022-04-18,8.3100004196167
2022-04-19,8.4399995803833
2022-04-20,8.399999618530273
2022-04-21,7.96999979019165
2022-04-22,7.769999980926514
2022-04-25,18.719999313354492
2022-04-26,16.790000915527344
2022-04-27,18.299999237060547
2022-04-28,18.020000457763672
2022-04-29,18.440000534057617
2022-05-02,18.770000457763672
2022-05-03,18.700000762939453
2022-05-04,19.440000534057617
2022-05-05,16.489999771118164
2022-05-06,15.289999961853027
2022-05-09,13.3100004196167
2022-05-10,13.1899995803833
2022-05-11,12.430000305175781
2022-05-12,12.680000305175781
2022-05-13,14.020000457763672
2022-05-16,13.859999656677246
2022-05-17,13.8100004196167
2022-05-18,13.079999923706055
2022-05-19,12.899999618530273
2022-05-20,12.670000076293945
2022-05-23,12.770000457763672
2022-05-24,12.350000381469727
2022-05-25,12.600000381469727
2022-05-26,12.470000267028809
2022-05-27,13.550000190734863
2022-05-31,14.430000305175781
2022-06-01,13.609999656677246
2022-06-02,14.3100004196167
2022-06-03,15.050000190734863
2022-06-06,14.329999923706055
2022-06-07,14.930000305175781
2022-06-08,14.949999809265137
2022-06-09,14.270000457763672
2022-06-10,13.289999961853027
2022-06-13,12.329999923706055
2022-06-14,12.180000305175781
2022-06-15,11.930000305175781
2022-06-16,11.4399995803833
2022-06-17,12.25
2022-06-21,12.989999771118164
2022-06-22,12.8100004196167
2022-06-23,12.880000114440918
2022-06-24,13.020000457763672
2022-06-27,12.359999656677246
2022-06-28,12.140000343322754
2022-06-29,12.020000457763672
2022-06-30,12.319999694824219
2022-07-01,13.180000305175781
2022-07-05,13.970000267028809
2022-07-06,13.760000228881836
2022-07-07,14.539999961853027
2022-07-08,14.470000267028809
2022-07-11,13.4399995803833
2022-07-12,13.90999984741211
2022-07-13,14.039999961853027
2022-07-14,13.739999771118164
2022-07-15,14.1899995803833
2022-07-18,13.59000015258789
