Date,PIII
2022-02-28,5.599999904632568
2022-03-01,5.940000057220459
2022-03-02,6.150000095367432
2022-03-03,6.269999980926514
2022-03-04,6.289999961853027
2022-03-07,6.699999809265137
2022-03-08,6.920000076293945
2022-03-09,6.5
2022-03-10,6.960000038146973
2022-03-11,6.869999885559082
2022-03-14,6.489999771118164
2022-03-15,6.639999866485596
2022-03-16,6.860000133514404
2022-03-17,7.119999885559082
2022-03-18,7.010000228881836
2022-03-21,7.119999885559082
2022-03-22,8.029999732971191
2022-03-23,8.0
2022-03-24,7.949999809265137
2022-03-25,7.619999885559082
2022-03-28,7.619999885559082
2022-03-29,7.699999809265137
2022-03-30,7.699999809265137
2022-03-31,7.820000171661377
2022-04-01,8.1899995803833
2022-04-04,7.900000095367432
2022-04-05,7.5
2022-04-06,7.800000190734863
2022-04-07,8.050000190734863
2022-04-08,7.53000020980835
2022-04-11,7.659999847412109
2022-04-12,7.71999979019165
2022-04-13,7.659999847412109
2022-04-14,7.429999828338623
2022-04-18,7.619999885559082
2022-04-19,7.820000171661377
2022-04-20,7.619999885559082
2022-04-21,7.050000190734863
2022-04-22,6.489999771118164
2022-04-25,6.690000057220459
2022-04-26,6.860000133514404
2022-04-27,6.690000057220459
2022-04-28,6.210000038146973
2022-04-29,6.070000171661377
2022-05-02,6.079999923706055
2022-05-03,5.989999771118164
2022-05-04,6.03000020980835
2022-05-05,6.010000228881836
2022-05-06,6.28000020980835
2022-05-09,6.0
2022-05-10,5.289999961853027
2022-05-11,5.010000228881836
2022-05-12,4.980000019073486
2022-05-13,5.03000020980835
2022-05-16,5.010000228881836
2022-05-17,4.940000057220459
2022-05-18,4.840000152587891
2022-05-19,4.869999885559082
2022-05-20,4.800000190734863
2022-05-23,4.820000171661377
2022-05-24,5.110000133514404
2022-05-25,4.940000057220459
2022-05-26,4.909999847412109
2022-05-27,5.0
2022-05-31,4.800000190734863
2022-06-01,4.630000114440918
2022-06-02,4.929999828338623
2022-06-03,4.699999809265137
2022-06-06,4.940000057220459
2022-06-07,4.360000133514404
2022-06-08,4.320000171661377
2022-06-09,4.190000057220459
2022-06-10,3.930000066757202
2022-06-13,3.8499999046325684
2022-06-14,3.799999952316284
2022-06-15,3.9600000381469727
2022-06-16,3.990000009536743
2022-06-17,4.239999771118164
2022-06-21,4.059999942779541
2022-06-22,4.170000076293945
2022-06-23,4.449999809265137
2022-06-24,4.389999866485596
2022-06-27,4.070000171661377
2022-06-28,3.8499999046325684
2022-06-29,3.619999885559082
2022-06-30,3.7200000286102295
2022-07-01,3.7799999713897705
2022-07-05,4.019999980926514
2022-07-06,3.819999933242798
2022-07-07,3.7799999713897705
