Date,FATE
2022-02-28,34.54999923706055
2022-03-01,34.41999816894531
2022-03-02,34.970001220703125
2022-03-03,33.04999923706055
2022-03-04,32.470001220703125
2022-03-07,31.860000610351562
2022-03-08,32.77000045776367
2022-03-09,35.40999984741211
2022-03-10,35.47999954223633
2022-03-11,33.54999923706055
2022-03-14,29.670000076293945
2022-03-15,31.309999465942383
2022-03-16,34.04999923706055
2022-03-17,36.06999969482422
2022-03-18,37.75
2022-03-21,37.709999084472656
2022-03-22,37.90999984741211
2022-03-23,36.95000076293945
2022-03-24,38.689998626708984
2022-03-25,38.0
2022-03-28,38.0
2022-03-29,41.939998626708984
2022-03-30,39.86000061035156
2022-03-31,38.77000045776367
2022-04-01,41.31999969482422
2022-04-04,42.38999938964844
2022-04-05,40.08000183105469
2022-04-06,40.72999954223633
2022-04-07,39.56999969482422
2022-04-08,37.97999954223633
2022-04-11,35.83000183105469
2022-04-12,36.939998626708984
2022-04-13,38.93000030517578
2022-04-14,37.77000045776367
2022-04-18,35.47999954223633
2022-04-19,36.77000045776367
2022-04-20,36.599998474121094
2022-04-21,34.52000045776367
2022-04-22,34.630001068115234
2022-04-25,35.45000076293945
2022-04-26,32.439998626708984
2022-04-27,31.8700008392334
2022-04-28,31.649999618530273
2022-04-29,28.559999465942383
2022-05-02,29.770000457763672
2022-05-03,28.780000686645508
2022-05-04,30.690000534057617
2022-05-05,27.190000534057617
2022-05-06,24.15999984741211
2022-05-09,22.350000381469727
2022-05-10,23.75
2022-05-11,21.450000762939453
2022-05-12,21.809999465942383
2022-05-13,24.219999313354492
2022-05-16,22.639999389648438
2022-05-17,23.729999542236328
2022-05-18,21.829999923706055
2022-05-19,22.399999618530273
2022-05-20,23.100000381469727
2022-05-23,22.600000381469727
2022-05-24,21.139999389648438
2022-05-25,21.850000381469727
2022-05-26,22.43000030517578
2022-05-27,23.579999923706055
2022-05-31,23.100000381469727
2022-06-01,22.6299991607666
2022-06-02,23.360000610351562
2022-06-03,23.649999618530273
2022-06-06,22.0
2022-06-07,24.290000915527344
2022-06-08,24.260000228881836
2022-06-09,23.479999542236328
2022-06-10,19.809999465942383
2022-06-13,17.780000686645508
2022-06-14,18.6299991607666
2022-06-15,19.3799991607666
2022-06-16,19.360000610351562
2022-06-17,21.040000915527344
2022-06-21,22.229999542236328
2022-06-22,23.610000610351562
2022-06-23,25.610000610351562
2022-06-24,26.799999237060547
2022-06-27,26.25
2022-06-28,24.75
2022-06-29,24.8799991607666
2022-06-30,24.780000686645508
2022-07-01,25.139999389648438
2022-07-05,29.100000381469727
2022-07-06,28.6299991607666
2022-07-07,30.93000030517578
2022-07-08,30.010000228881836
2022-07-11,28.510000228881836
2022-07-12,29.780000686645508
2022-07-13,31.290000915527344
2022-07-14,31.510000228881836
2022-07-15,31.700000762939453
2022-07-18,30.68000030517578
2022-07-19,32.5
2022-07-20,32.63999938964844
2022-07-21,33.34000015258789
2022-07-22,31.040000915527344
2022-07-25,30.739999771118164
2022-07-26,31.3799991607666
2022-07-27,33.16999816894531
2022-07-28,32.150001525878906
2022-07-29,30.530000686645508
2022-08-01,30.040000915527344
2022-08-02,30.6299991607666
2022-08-03,32.810001373291016
2022-08-04,32.54999923706055
2022-08-05,33.41999816894531
2022-08-08,34.13999938964844
2022-08-09,32.84000015258789
2022-08-10,32.41999816894531
2022-08-11,32.650001525878906
2022-08-12,33.81999969482422
2022-08-15,36.060001373291016
2022-08-16,32.900001525878906
2022-08-17,30.209999084472656
2022-08-18,30.290000915527344
2022-08-19,29.030000686645508
2022-08-22,28.889999389648438
2022-08-23,29.84000015258789
2022-08-24,30.6200008392334
2022-08-25,30.8700008392334
2022-08-26,27.530000686645508
2022-08-29,26.940000534057617
2022-08-30,25.979999542236328
2022-08-31,26.139999389648438
2022-09-01,27.030000686645508
2022-09-02,26.719999313354492
2022-09-06,25.299999237060547
2022-09-07,27.309999465942383
2022-09-08,28.260000228881836
2022-09-09,28.100000381469727
2022-09-12,29.1200008392334
2022-09-13,25.59000015258789
2022-09-14,26.079999923706055
2022-09-15,27.049999237060547
2022-09-16,25.0
2022-09-19,25.309999465942383
2022-09-20,24.25
2022-09-21,23.469999313354492
2022-09-22,22.469999313354492
2022-09-23,21.969999313354492
2022-09-26,21.040000915527344
2022-09-27,21.8799991607666
2022-09-28,23.100000381469727
2022-09-29,22.34000015258789
2022-09-30,22.40999984741211
2022-10-03,22.670000076293945
2022-10-04,23.829999923706055
2022-10-05,23.559999465942383
2022-10-06,23.219999313354492
2022-10-07,21.469999313354492
2022-10-10,21.31999969482422
2022-10-11,20.93000030517578
2022-10-12,21.329999923706055
2022-10-13,21.450000762939453
2022-10-14,20.360000610351562
2022-10-17,21.079999923706055
2022-10-18,21.639999389648438
2022-10-19,19.68000030517578
2022-10-20,19.040000915527344
2022-10-21,19.290000915527344
2022-10-24,18.90999984741211
2022-10-25,19.65999984741211
2022-10-26,20.850000381469727
2022-10-27,20.649999618530273
2022-10-28,21.799999237060547
2022-10-31,20.920000076293945
2022-11-01,20.989999771118164
2022-11-02,20.040000915527344
2022-11-03,19.450000762939453
2022-11-04,19.84000015258789
2022-11-07,19.68000030517578
2022-11-08,19.610000610351562
2022-11-09,18.780000686645508
2022-11-10,20.969999313354492
2022-11-11,22.959999084472656
2022-11-14,22.15999984741211
2022-11-15,22.280000686645508
2022-11-16,20.610000610351562
2022-11-17,20.110000610351562
2022-11-18,19.8700008392334
2022-11-21,19.639999389648438
2022-11-22,19.549999237060547
2022-11-23,19.649999618530273
