Date,WCT
2024-10-02,4.110000133514404
2024-10-03,3.9800000190734863
2024-10-04,3.819999933242798
2024-10-07,4.639999866485596
2024-10-08,5.179999828338623
2024-10-09,5.590000152587891
2024-10-10,5.989999771118164
2024-10-11,5.900000095367432
2024-10-14,5.960000038146973
2024-10-15,7.230000019073486
2024-10-16,6.670000076293945
2024-10-17,7.0
2024-10-18,7.699999809265137
2024-10-21,7.760000228881836
2024-10-22,7.949999809265137
2024-10-23,8.130000114440918
2024-10-24,7.96999979019165
2024-10-25,8.460000038146973
2024-10-28,7.869999885559082
2024-10-29,8.369999885559082
2024-10-30,8.130000114440918
2024-10-31,8.649999618530273
2024-11-01,8.350000381469727
2024-11-04,8.760000228881836
2024-11-05,7.619999885559082
2024-11-06,7.460000038146973
2024-11-07,7.75
2024-11-08,8.979999542236328
2024-11-11,8.989999771118164
2024-11-12,8.449999809265137
2024-11-13,7.900000095367432
2024-11-14,4.150000095367432
2024-11-15,4.0
2024-11-18,3.490000009536743
2024-11-19,3.190000057220459
2024-11-20,3.319999933242798
2024-11-21,1.25
